#Create Time :2023-04-12 16:23:08.172466 
87151.860743 9.820503 0.163312 -2.422702
87151.865656 10.086507 -0.121324 -1.944794
87151.870600 9.701467 0.238087 -2.540936
87151.875544 9.827799 0.526021 -2.133496
87151.880487 9.791541 0.580653 -1.846498
87151.885431 9.684860 0.477878 -1.897544
87151.890375 9.734018 0.350637 -1.909956
87151.895319 9.789947 0.276705 -1.845569
87151.900232 9.819035 0.204550 -1.900215
87151.905176 9.851000 0.141231 -1.997537
87151.910120 9.844553 0.071885 -2.090533
87151.915064 9.831925 0.012308 -2.125551
87151.920008 9.789876 -0.016230 -2.181291
87151.924921 9.737037 0.017621 -2.179243
87151.929865 9.716468 0.073224 -2.181831
87151.934809 9.704667 0.102514 -2.152577
87151.939753 9.722468 0.093248 -2.103674
87151.944696 9.730809 0.036857 -2.166537
87151.949640 9.718355 0.048147 -2.149560
87151.954584 9.676042 0.044568 -2.079684
87151.959497 9.690603 0.045554 -2.033925
87151.964441 9.732070 0.083788 -2.058416
87151.969385 9.745875 0.147519 -1.960178
87151.974329 9.756038 0.141602 -1.957376
87151.979273 9.773896 0.167344 -2.037128
87151.984186 9.846303 0.194826 -2.051894
87151.989130 9.866696 0.202909 -2.065004
87151.994074 9.832588 0.207406 -2.131897
87151.999018 9.773742 0.138497 -2.218902
87152.003962 9.708702 0.045994 -2.262930
87152.008905 9.685851 -0.084214 -2.291153
87152.013819 9.678515 -0.137619 -2.332787
87152.018763 9.757086 -0.244730 -2.291162
87152.023706 9.744505 -0.305907 -2.269817
87152.028650 9.730106 -0.239738 -2.231119
87152.033594 9.735041 -0.173090 -2.141657
87152.038538 9.788223 -0.231330 -2.168164
87152.043451 9.800502 -0.291175 -2.161869
87152.048395 9.776976 -0.213855 -2.128368
87152.053339 9.788681 -0.146776 -2.118310
87152.058283 9.760258 -0.123533 -2.054206
87152.063227 9.771172 -0.119889 -1.991814
87152.068171 9.763238 -0.055348 -1.990300
87152.073084 9.699676 0.008525 -2.033601
87152.078028 9.682455 0.049053 -2.028281
87152.082941 9.693703 0.061092 -2.001684
87152.087885 9.643679 0.155642 -1.994769
87152.092829 9.568158 0.252259 -1.961102
87152.097773 9.624202 0.292346 -1.962784
87152.102716 9.635836 0.320618 -2.027100
87152.107660 9.611809 0.290099 -2.091703
87152.112604 9.651036 0.160111 -2.223291
87152.117548 9.684794 0.149252 -2.359299
87152.122492 9.668387 0.147648 -2.464451
87152.127405 9.654771 0.157133 -2.571870
87152.132349 9.650579 0.169234 -2.637179
87152.137293 9.664098 0.173292 -2.763076
87152.142206 9.653251 0.160744 -2.861874
87152.147150 9.623852 0.163195 -2.884665
87152.152094 9.603174 0.141953 -2.879303
87152.157038 9.616584 0.154888 -2.808962
87152.161982 9.636727 0.205659 -2.690450
87152.166895 9.660614 0.254542 -2.588279
87152.171839 9.694376 0.282236 -2.525911
87152.176783 9.754311 0.327433 -2.437966
87152.181726 9.840277 0.341889 -2.346844
87152.186670 9.869320 0.411040 -2.260706
87152.191614 9.889992 0.400083 -2.203390
87152.196558 9.920736 0.349519 -2.158794
87152.201471 9.955096 0.337112 -2.085967
87152.206415 9.939139 0.330287 -2.028987
87152.211359 9.914087 0.413019 -1.983245
87152.216303 9.903782 0.425327 -1.959119
87152.221216 9.860677 0.405427 -1.972404
87152.226160 9.782775 0.376826 -2.009559
87152.231104 9.769754 0.329389 -2.000993
87152.236048 9.789407 0.277603 -1.959429
87152.240992 9.803538 0.239147 -2.029400
