,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,87151860742554,-0.746307,10.025101,-1.130875,6.375103,-1.598091,-7.690422,0.043777,0.147736,0.085846,0.128368,0.084249,-0.086808,0.629483,0.683728,0.290054,0.228332,-0.005212,-0.002476
1,87151865655884,-0.187256,10.225616,-0.967468,6.914499,-1.386023,-7.470156,0.025665,0.126434,0.065613,0.101765,0.062964,-0.081418,0.629312,0.683746,0.290139,0.228645,-0.005291,-0.002668
2,87151870599732,-0.893555,9.92215,-1.176361,6.208594,-1.659539,-7.702649,-0.005234,0.124313,0.046432,0.078922,0.040615,-0.098787,0.629205,0.6837,0.290268,0.228912,-0.005372,-0.002861
3,87151875543580,-0.816345,10.014328,-0.67897,6.305651,-1.160741,-7.765667,-0.039322,0.10939,0.066681,0.042947,0.057624,-0.113109,0.629175,0.683606,0.290308,0.229222,-0.005457,-0.003055
4,87151880487427,-0.667297,9.949081,-0.437759,6.358479,-0.902634,-7.640417,-0.028671,0.056137,0.064545,0.014333,0.058783,-0.066922,0.629175,0.68355,0.290266,0.229441,-0.005545,-0.003251
5,87151885431275,-0.63916,9.84433,-0.553268,6.314136,-1.011215,-7.532244,-0.005234,0.036957,0.057098,0.01861,0.054681,-0.036292,0.629148,0.683542,0.290222,0.229597,-0.005636,-0.003449
6,87151890375123,-0.550583,9.889221,-0.649643,6.415417,-1.100671,-7.493526,0.00116,0.042282,0.057098,0.026927,0.055152,-0.035813,0.6291,0.683546,0.290187,0.229761,-0.005728,-0.00365
7,87151895318970,-0.447632,9.934723,-0.653229,6.522655,-1.096538,-7.455088,0.006485,0.038025,0.050705,0.028217,0.049538,-0.028439,0.629048,0.683557,0.290156,0.229908,-0.005821,-0.003852
8,87151900232300,-0.429077,9.966446,-0.743011,6.563362,-1.186712,-7.455205,0.015015,0.0327,0.042175,0.031201,0.042187,-0.017894,0.628987,0.683582,0.290136,0.230025,-0.005911,-0.004053
9,87151905176148,-0.445236,10.005951,-0.857346,6.58552,-1.305529,-7.481899,0.021408,0.033752,0.037918,0.036788,0.038593,-0.013873,0.628912,0.683617,0.290132,0.230132,-0.006001,-0.004262
10,87151910119996,-0.457809,10.006546,-0.974655,6.583628,-1.425575,-7.477587,0.023529,0.0327,0.038986,0.037562,0.039916,-0.011776,0.628829,0.683662,0.290127,0.230234,-0.006086,-0.004468
11,87151915063843,-0.43866,9.995178,-1.043488,6.593846,-1.493548,-7.448179,0.022476,0.026306,0.037918,0.032472,0.038996,-0.007738,0.628749,0.68371,0.290114,0.230324,-0.006162,-0.004663
12,87151920007691,-0.459,9.958054,-1.107529,6.557422,-1.560079,-7.427403,0.024597,0.025238,0.038986,0.033233,0.04032,-0.005632,0.628663,0.683765,0.290101,0.23041,-0.006236,-0.004862
13,87151924921021,-0.486542,9.906586,-1.087189,6.501827,-1.542866,-7.4098,0.024597,0.027374,0.037918,0.034761,0.039164,-0.007073,0.628579,0.683817,0.290095,0.230496,-0.0063,-0.005052
14,87151929864869,-0.529633,9.888626,-1.053665,6.457257,-1.515562,-7.428484,0.025665,0.026306,0.037918,0.03481,0.039315,-0.005572,0.628494,0.683869,0.290088,0.230579,-0.006356,-0.005232
15,87151934808716,-0.530823,9.874863,-1.014755,6.445631,-1.478888,-7.422359,0.032059,0.02417,0.040054,0.037884,0.042202,0.000103,0.628402,0.683933,0.290077,0.230658,-0.006404,-0.005402
16,87151939752564,-0.487137,9.886841,-0.986633,6.484448,-1.449463,-7.40348,0.040573,0.015656,0.038986,0.038273,0.042404,0.012178,0.628302,0.684013,0.290058,0.230716,-0.006445,-0.005563
17,87151944696412,-0.485931,9.899399,-1.07222,6.498352,-1.537667,-7.402086,0.044846,0.013519,0.034714,0.040119,0.038704,0.017073,0.628195,0.684101,0.290046,0.23076,-0.006482,-0.005714
18,87151949640259,-0.48175,9.885635,-1.05426,6.491373,-1.521453,-7.390305,0.044846,0.014587,0.031525,0.041012,0.035488,0.016626,0.62809,0.684185,0.290042,0.230802,-0.006511,-0.005797
19,87151954584107,-0.433868,9.835953,-1.009369,6.489851,-1.472092,-7.32582,0.045898,0.007126,0.025131,0.036964,0.029569,0.023417,0.627993,0.68427,0.290034,0.230822,-0.006531,-0.005863
20,87151959497437,-0.39975,9.845535,-0.975845,6.5194,-1.437892,-7.312771,0.046967,-0.000336,0.019806,0.032874,0.024718,0.03011,0.627905,0.684356,0.290023,0.230823,-0.006544,-0.005914
21,87151964441285,-0.437454,9.891022,-0.966278,6.522458,-1.436705,-7.372292,0.049103,-0.006714,0.01767,0.030149,0.023106,0.036408,0.627819,0.684446,0.290008,0.230807,-0.006552,-0.005955
22,87151969385132,-0.412918,9.897003,-0.851349,6.538251,-1.322516,-7.372135,0.055496,-0.013107,0.013412,0.030604,0.019849,0.045835,0.627735,0.684543,0.289991,0.230772,-0.006556,-0.005989
23,87151974328980,-0.40274,9.906586,-0.853745,6.551543,-1.326862,-7.372135,0.062943,-0.018433,0.014481,0.032304,0.021956,0.054642,0.627641,0.684655,0.289967,0.230725,-0.006554,-0.006017
24,87151979272828,-0.470383,9.934113,-0.893845,6.522286,-1.378089,-7.434219,0.070404,-0.024826,0.014481,0.033335,0.023057,0.064342,0.627538,0.684783,0.289941,0.230658,-0.00655,-0.006043
25,87151984186158,-0.488937,10.008942,-0.883072,6.55865,-1.375952,-7.502585,0.078934,-0.024826,0.016617,0.039432,0.026119,0.0699,0.627422,0.684923,0.289917,0.230588,-0.006544,-0.006073
26,87151989130005,-0.497314,10.031082,-0.887268,6.566796,-1.385822,-7.524213,0.087448,-0.026962,0.02301,0.04385,0.033507,0.076537,0.627288,0.685083,0.289883,0.230518,-0.006536,-0.00611
27,87151994073853,-0.545197,10.004745,-0.935745,6.515021,-1.442086,-7.532774,0.091705,-0.029099,0.028336,0.045235,0.039381,0.080389,0.627145,0.685255,0.289843,0.230447,-0.006526,-0.006152
28,87151999017701,-0.555969,9.952667,-1.050674,6.475637,-1.559448,-7.490193,0.091705,-0.02803,0.034714,0.045682,0.045695,0.078903,0.626993,0.685436,0.289795,0.230384,-0.006515,-0.006195
29,87152003961548,-0.521255,9.888626,-1.15123,6.460437,-1.657107,-7.409359,0.08638,-0.024826,0.041107,0.04373,0.051343,0.072244,0.626838,0.685615,0.289739,0.230341,-0.006502,-0.006238
30,87152008905396,-0.444046,9.862885,-1.264359,6.503099,-1.764422,-7.325891,0.081055,-0.019501,0.044312,0.043384,0.053719,0.064388,0.626681,0.685791,0.289682,0.230316,-0.006485,-0.006278
31,87152013818726,-0.430267,9.857498,-1.333786,6.511785,-1.836026,-7.304804,0.075729,-0.014175,0.044312,0.043186,0.052905,0.056881,0.626527,0.685958,0.289631,0.230304,-0.006467,-0.00631
32,87152018762574,-0.311752,9.925735,-1.375687,6.645554,-1.872302,-7.269191,0.070404,-0.018433,0.043243,0.036466,0.051478,0.056451,0.626381,0.686122,0.289568,0.230292,-0.00645,-0.006333
33,87152023706421,-0.250702,9.907776,-1.405014,6.677774,-1.897887,-7.211545,0.060822,-0.021637,0.041107,0.027426,0.048478,0.052488,0.626253,0.686273,0.289497,0.230279,-0.006434,-0.006349
34,87152028650269,-0.271057,9.892227,-1.334381,6.647753,-1.832757,-7.2221,0.052292,-0.025894,0.038986,0.018426,0.045658,0.050007,0.626147,0.686409,0.289417,0.230263,-0.006416,-0.006361
35,87152033594117,-0.255493,9.890427,-1.225449,6.651466,-1.725998,-7.222646,0.049103,-0.02803,0.034714,0.014857,0.041182,0.049851,0.626055,0.686534,0.289337,0.230241,-0.006396,-0.006369
36,87152038537964,-0.22258,9.9431,-1.284103,6.713033,-1.786367,-7.232416,0.048035,-0.023758,0.032593,0.017121,0.038761,0.046245,0.62596,0.686656,0.289266,0.230224,-0.006376,-0.006372
37,87152043451294,-0.171097,9.951477,-1.321808,6.756788,-1.821432,-7.199757,0.040573,-0.023758,0.029388,0.011857,0.034772,0.041528,0.625878,0.686765,0.289195,0.23021,-0.006356,-0.00637
38,87152048395142,-0.205215,9.928131,-1.246994,6.711565,-1.752012,-7.214589,0.033127,-0.021637,0.02301,0.008199,0.027529,0.035636,0.625814,0.686855,0.289134,0.230193,-0.006339,-0.006354
39,87152053338990,-0.244125,9.941895,-1.194321,6.688989,-1.706471,-7.257577,0.028854,-0.032288,0.016617,-0.001905,0.02125,0.041183,0.625771,0.686936,0.289065,0.230152,-0.006319,-0.006332
40,87152058282837,-0.218979,9.907776,-1.133865,6.679475,-1.643612,-7.22363,0.029922,-0.044006,0.009155,-0.008806,0.014549,0.051249,0.625742,0.687019,0.28899,0.23008,-0.006299,-0.006304
41,87152063226685,-0.176483,9.911972,-1.085983,6.709331,-1.592928,-7.204508,0.028854,-0.047195,0.001694,-0.011415,0.007192,0.053673,0.625722,0.687095,0.288919,0.229994,-0.006277,-0.006272
42,87152068170533,-0.221375,9.907181,-1.041092,6.669631,-1.554245,-7.237785,0.035248,-0.049332,-0.005753,-0.007875,0.000614,0.060389,0.6257,0.687175,0.288863,0.229888,-0.006254,-0.006237
43,87152073083863,-0.302185,9.852112,-1.031525,6.570955,-1.551912,-7.25489,0.038452,-0.0504,-0.010025,-0.006065,-0.003212,0.063813,0.625677,0.687255,0.288817,0.229767,-0.006231,-0.006199
44,87152078027710,-0.327927,9.836548,-1.000397,6.538196,-1.524137,-7.266036,0.03952,-0.056793,-0.011093,-0.009596,-0.003822,0.069308,0.62566,0.687339,0.288764,0.229633,-0.006207,-0.006161
45,87152082941041,-0.315353,9.845535,-0.971664,6.549859,-1.495484,-7.269198,0.03952,-0.068512,-0.018539,-0.017248,-0.010611,0.078673,0.625656,0.687422,0.288705,0.229469,-0.006181,-0.006124
46,87152087884888,-0.38298,9.800049,-0.903427,6.463631,-1.433512,-7.291804,0.040573,-0.080231,-0.021744,-0.024315,-0.013073,0.088283,0.625664,0.687508,0.288635,0.229276,-0.006151,-0.006087
47,87152092828736,-0.436859,9.726425,-0.815445,6.366842,-1.349006,-7.287161,0.043777,-0.091934,-0.022797,-0.029889,-0.01316,0.099103,0.62568,0.687601,0.288551,0.229059,-0.006115,-0.00605
48,87152097772583,-0.458405,9.784485,-0.785507,6.385819,-1.325228,-7.350396,0.051224,-0.104721,-0.02919,-0.032846,-0.01802,0.114188,0.625698,0.687706,0.288463,0.228804,-0.006068,-0.006013
49,87152102716431,-0.518265,9.804825,-0.811249,6.353214,-1.359219,-7.40611,0.057617,-0.11644,-0.031326,-0.036016,-0.018816,0.127311,0.625715,0.687826,0.288366,0.228519,-0.006004,-0.005974
50,87152107660279,-0.539215,9.78688,-0.878891,6.324383,-1.428577,-7.403215,0.058685,-0.128159,-0.034515,-0.042998,-0.021241,0.136967,0.625737,0.687955,0.288259,0.228206,-0.005909,-0.00593
51,87152112604126,-0.525436,9.834167,-1.060242,6.370498,-1.610215,-7.411823,0.055496,-0.13562,-0.036652,-0.050216,-0.02331,0.140538,0.625764,0.688088,0.288144,0.227877,-0.005797,-0.005889
52,87152117547974,-0.602051,9.882645,-1.163803,6.347952,-1.724713,-7.490841,0.052292,-0.131363,-0.036652,-0.04956,-0.023857,0.13531,0.62579,0.688216,0.288038,0.227554,-0.00566,-0.005846
53,87152122491822,-0.670288,9.878448,-1.241013,6.294765,-1.809465,-7.528266,0.049103,-0.119644,-0.033463,-0.043979,-0.021621,0.124274,0.625808,0.688336,0.287947,0.227253,-0.005505,-0.005806
54,87152127405152,-0.748108,9.877853,-1.312241,6.237233,-1.889435,-7.575011,0.042709,-0.106857,-0.031326,-0.039986,-0.020848,0.11041,0.625826,0.688442,0.287873,0.226979,-0.005335,-0.005768
