,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,87244.729991680,-0.298350,-0.048314,-0.327805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,87244.734935528,-0.298350,-0.048314,-0.327805,0.000682,-0.000181,0.000251,-0.000062,-0.000004,0.000025
2,87244.739879375,-0.298353,-0.048315,-0.327803,0.001445,-0.000158,0.000381,-0.000124,-0.000008,0.000049
3,87244.744792705,-0.298360,-0.048318,-0.327801,0.002193,-0.000301,0.000457,-0.000186,-0.000013,0.000074
4,87244.749736553,-0.298369,-0.048323,-0.327799,0.002905,-0.000334,0.000583,-0.000248,-0.000017,0.000099
5,87244.754680401,-0.298382,-0.048329,-0.327796,0.003680,-0.000352,0.000592,-0.000311,-0.000021,0.000123
6,87244.759624248,-0.298399,-0.048338,-0.327792,0.004283,-0.000463,0.000523,-0.000373,-0.000025,0.000148
7,87244.764568096,-0.298418,-0.048347,-0.327789,0.004725,-0.000556,0.000449,-0.000435,-0.000030,0.000173
8,87244.769511944,-0.298439,-0.048357,-0.327786,0.004938,-0.000892,0.000486,-0.000497,-0.000034,0.000197
9,87244.774425274,-0.298461,-0.048367,-0.327783,0.004981,-0.001173,0.000512,-0.000559,-0.000038,0.000222
10,87244.779369121,-0.298485,-0.048375,-0.327780,0.004927,-0.001435,0.000555,-0.000621,-0.000042,0.000247
11,87244.784312969,-0.298509,-0.048383,-0.327777,0.004826,-0.001615,0.000471,-0.000684,-0.000046,0.000271
12,87244.789256817,-0.298534,-0.048389,-0.327774,0.004608,-0.001711,0.000309,-0.000746,-0.000051,0.000296
13,87244.794170147,-0.298557,-0.048394,-0.327772,0.004114,-0.001746,0.000170,-0.000808,-0.000055,0.000321
14,87244.799113994,-0.298579,-0.048398,-0.327771,0.003547,-0.001787,0.000048,-0.000870,-0.000059,0.000345
15,87244.804057842,-0.298598,-0.048400,-0.327770,0.003095,-0.001777,-0.000050,-0.000932,-0.000063,0.000370
16,87244.809001690,-0.298616,-0.048401,-0.327770,0.002732,-0.001668,-0.000226,-0.000994,-0.000067,0.000395
17,87244.813945537,-0.298632,-0.048401,-0.327771,0.002500,-0.001579,-0.000243,-0.001056,-0.000072,0.000419
18,87244.818889385,-0.298647,-0.048402,-0.327772,0.002537,-0.001417,-0.000185,-0.001119,-0.000076,0.000444
19,87244.823802715,-0.298661,-0.048403,-0.327773,0.002561,-0.001140,-0.000041,-0.001181,-0.000080,0.000469
20,87244.828746563,-0.298674,-0.048405,-0.327773,0.002743,-0.000733,0.000107,-0.001243,-0.000084,0.000493
21,87244.833690410,-0.298688,-0.048409,-0.327772,0.003065,-0.000336,0.000369,-0.001305,-0.000089,0.000518
22,87244.838634258,-0.298701,-0.048416,-0.327770,0.003417,0.000086,0.000650,-0.001367,-0.000093,0.000543
23,87244.843578106,-0.298715,-0.048425,-0.327766,0.003591,0.000329,0.000875,-0.001429,-0.000097,0.000567
24,87244.848491436,-0.298729,-0.048436,-0.327761,0.003602,0.000498,0.001054,-0.001491,-0.000101,0.000592
25,87244.853435283,-0.298743,-0.048448,-0.327756,0.003474,0.000633,0.001017,-0.001553,-0.000105,0.000617
26,87244.858409649,-0.298755,-0.048460,-0.327750,0.003310,0.000587,0.001094,-0.001616,-0.000110,0.000642
27,87244.863322979,-0.298767,-0.048471,-0.327744,0.003029,0.000571,0.000959,-0.001678,-0.000114,0.000666
28,87244.868266826,-0.298778,-0.048481,-0.327739,0.002621,0.000549,0.000713,-0.001740,-0.000118,0.000691
29,87244.873180156,-0.298788,-0.048490,-0.327735,0.002177,0.000461,0.000571,-0.001802,-0.000122,0.000715
30,87244.878154522,-0.298795,-0.048498,-0.327732,0.001674,0.000506,0.000438,-0.001864,-0.000126,0.000740
31,87244.883067852,-0.298801,-0.048505,-0.327730,0.001196,0.000610,0.000445,-0.001926,-0.000131,0.000765
32,87244.888011699,-0.298804,-0.048510,-0.327727,0.000800,0.000721,0.000543,-0.001989,-0.000135,0.000789
33,87244.892925030,-0.298806,-0.048515,-0.327724,0.000498,0.000949,0.000747,-0.002050,-0.000139,0.000814
34,87244.897868877,-0.298805,-0.048521,-0.327721,0.000458,0.001196,0.000988,-0.002113,-0.000143,0.000839
35,87244.902843242,-0.298804,-0.048527,-0.327716,0.000508,0.001501,0.001249,-0.002175,-0.000148,0.000864
36,87244.907787090,-0.298802,-0.048534,-0.327709,0.000618,0.001850,0.001514,-0.002237,-0.000152,0.000888
37,87244.912730938,-0.298799,-0.048543,-0.327701,0.000918,0.001957,0.001692,-0.002300,-0.000156,0.000913
38,87244.917674785,-0.298797,-0.048554,-0.327693,0.001046,0.002053,0.001716,-0.002362,-0.000160,0.000938
39,87244.922618633,-0.298796,-0.048565,-0.327684,0.001190,0.002160,0.001737,-0.002424,-0.000164,0.000962
40,87244.927562481,-0.298795,-0.048577,-0.327675,0.001521,0.002091,0.001652,-0.002486,-0.000169,0.000987
41,87244.932506328,-0.298796,-0.048589,-0.327667,0.001603,0.001831,0.001493,-0.002548,-0.000173,0.001012
42,87244.937419658,-0.298797,-0.048601,-0.327659,0.001574,0.001659,0.001342,-0.002610,-0.000177,0.001036
43,87244.942363506,-0.298799,-0.048612,-0.327652,0.001336,0.001587,0.001417,-0.002672,-0.000181,0.001061
44,87244.947307354,-0.298800,-0.048622,-0.327645,0.000987,0.001426,0.001367,-0.002735,-0.000185,0.001086
45,87244.952251201,-0.298801,-0.048630,-0.327638,0.000747,0.001492,0.001409,-0.002797,-0.000190,0.001110
46,87244.957164531,-0.298800,-0.048638,-0.327631,0.000416,0.001379,0.001521,-0.002859,-0.000194,0.001135
47,87244.962108379,-0.298798,-0.048645,-0.327623,0.000030,0.001576,0.001686,-0.002921,-0.000198,0.001160
48,87244.967052227,-0.298793,-0.048651,-0.327615,-0.000254,0.001972,0.002013,-0.002983,-0.000202,0.001184
49,87244.971996074,-0.298787,-0.048658,-0.327604,-0.000434,0.002344,0.002228,-0.003045,-0.000207,0.001209
50,87244.976939922,-0.298779,-0.048667,-0.327593,-0.000577,0.002939,0.002402,-0.003108,-0.000211,0.001234
51,87244.981853252,-0.298768,-0.048677,-0.327581,-0.000727,0.003546,0.002557,-0.003169,-0.000215,0.001258
52,87244.986797100,-0.298755,-0.048689,-0.327569,-0.000895,0.003929,0.002544,-0.003232,-0.000219,0.001283
53,87244.991710430,-0.298741,-0.048703,-0.327556,-0.000958,0.004407,0.002626,-0.003293,-0.000223,0.001308
54,87244.996623760,-0.298725,-0.048718,-0.327543,-0.001041,0.004842,0.002734,-0.003355,-0.000228,0.001332
55,87245.001567608,-0.298708,-0.048735,-0.327529,-0.001161,0.005305,0.002742,-0.003418,-0.000232,0.001357
56,87245.006511455,-0.298688,-0.048753,-0.327515,-0.001320,0.005632,0.002630,-0.003480,-0.000236,0.001382
57,87245.011455303,-0.298667,-0.048773,-0.327502,-0.001457,0.005784,0.002433,-0.003542,-0.000240,0.001406
58,87245.016399151,-0.298646,-0.048793,-0.327490,-0.001679,0.005943,0.002228,-0.003604,-0.000244,0.001431
59,87245.021342998,-0.298623,-0.048812,-0.327479,-0.001924,0.006170,0.002051,-0.003666,-0.000249,0.001456
60,87245.026286846,-0.298598,-0.048833,-0.327468,-0.002129,0.006329,0.002049,-0.003729,-0.000253,0.001480
61,87245.031200176,-0.298572,-0.048853,-0.327458,-0.002379,0.006581,0.002132,-0.003790,-0.000257,0.001505
62,87245.036144024,-0.298544,-0.048873,-0.327447,-0.002698,0.006664,0.002288,-0.003853,-0.000261,0.001530
63,87245.041087871,-0.298515,-0.048893,-0.327436,-0.003193,0.006628,0.002310,-0.003915,-0.000266,0.001554
64,87245.046031719,-0.298484,-0.048912,-0.327424,-0.003581,0.006836,0.002167,-0.003977,-0.000270,0.001579
65,87245.050975567,-0.298450,-0.048930,-0.327414,-0.004023,0.006940,0.001917,-0.004039,-0.000274,0.001604
66,87245.055888897,-0.298415,-0.048948,-0.327404,-0.004431,0.007127,0.001693,-0.004101,-0.000278,0.001628
67,87245.060832744,-0.298377,-0.048965,-0.327396,-0.004696,0.007484,0.001570,-0.004163,-0.000282,0.001653
68,87245.065776592,-0.298338,-0.048984,-0.327388,-0.004765,0.007917,0.001468,-0.004226,-0.000287,0.001678
69,87245.070750957,-0.298296,-0.049004,-0.327381,-0.004580,0.008601,0.001582,-0.004288,-0.000291,0.001702
70,87245.075664287,-0.298254,-0.049027,-0.327373,-0.004173,0.009385,0.001694,-0.004350,-0.000295,0.001727
71,87245.080608135,-0.298212,-0.049054,-0.327365,-0.003886,0.010118,0.001905,-0.004412,-0.000299,0.001752
72,87245.085521465,-0.298168,-0.049085,-0.327355,-0.003492,0.010923,0.002012,-0.004474,-0.000303,0.001776
73,87245.090495830,-0.298124,-0.049121,-0.327345,-0.003191,0.011616,0.002151,-0.004537,-0.000308,0.001801
74,87245.095439678,-0.298079,-0.049160,-0.327334,-0.002940,0.011859,0.002371,-0.004599,-0.000312,0.001826
75,87245.100383526,-0.298035,-0.049201,-0.327322,-0.002786,0.011912,0.002764,-0.004661,-0.000316,0.001851
76,87245.105327373,-0.297991,-0.049243,-0.327307,-0.002610,0.011973,0.002790,-0.004723,-0.000320,0.001875
77,87245.110240703,-0.297948,-0.049285,-0.327293,-0.002563,0.012002,0.002818,-0.004785,-0.000325,0.001900
78,87245.115184551,-0.297905,-0.049327,-0.327279,-0.002584,0.011936,0.003013,-0.004847,-0.000329,0.001924
79,87245.120097881,-0.297863,-0.049369,-0.327263,-0.002911,0.011919,0.003239,-0.004909,-0.000333,0.001949
80,87245.125041729,-0.297818,-0.049410,-0.327247,-0.003237,0.011936,0.003447,-0.004971,-0.000337,0.001974
81,87245.129985576,-0.297772,-0.049451,-0.327229,-0.003484,0.011807,0.003594,-0.005034,-0.000341,0.001998
82,87245.134929424,-0.297726,-0.049490,-0.327211,-0.003945,0.011723,0.003708,-0.005096,-0.000346,0.002023
