,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,87244.729991680,-0.289188,-0.062270,-0.326434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,87244.734935528,-0.289188,-0.062270,-0.326434,0.000682,-0.000181,0.000251,-0.000211,0.000006,0.000116
2,87244.739879375,-0.289192,-0.062271,-0.326433,0.001446,-0.000158,0.000381,-0.000423,0.000013,0.000232
3,87244.744792705,-0.289198,-0.062274,-0.326431,0.002195,-0.000302,0.000457,-0.000633,0.000019,0.000347
4,87244.749736553,-0.289208,-0.062279,-0.326428,0.002910,-0.000334,0.000582,-0.000844,0.000026,0.000463
5,87244.754680401,-0.289221,-0.062285,-0.326425,0.003688,-0.000353,0.000592,-0.001055,0.000032,0.000579
6,87244.759624248,-0.289237,-0.062293,-0.326422,0.004296,-0.000463,0.000523,-0.001266,0.000039,0.000695
7,87244.764568096,-0.289256,-0.062303,-0.326419,0.004743,-0.000556,0.000449,-0.001478,0.000045,0.000811
8,87244.769511944,-0.289277,-0.062313,-0.326416,0.004962,-0.000893,0.000485,-0.001689,0.000052,0.000927
9,87244.774425274,-0.289300,-0.062323,-0.326413,0.005012,-0.001175,0.000512,-0.001899,0.000058,0.001043
10,87244.779369121,-0.289324,-0.062331,-0.326410,0.004966,-0.001436,0.000555,-0.002110,0.000065,0.001159
11,87244.784312969,-0.289349,-0.062339,-0.326407,0.004874,-0.001617,0.000470,-0.002322,0.000071,0.001275
12,87244.789256817,-0.289373,-0.062345,-0.326404,0.004665,-0.001713,0.000309,-0.002533,0.000078,0.001391
13,87244.794170147,-0.289397,-0.062350,-0.326402,0.004182,-0.001748,0.000169,-0.002743,0.000084,0.001506
14,87244.799113994,-0.289419,-0.062354,-0.326401,0.003626,-0.001791,0.000047,-0.002954,0.000090,0.001622
15,87244.804057842,-0.289439,-0.062356,-0.326400,0.003185,-0.001781,-0.000050,-0.003165,0.000097,0.001738
16,87244.809001690,-0.289457,-0.062357,-0.326400,0.002836,-0.001673,-0.000226,-0.003377,0.000103,0.001854
17,87244.813945537,-0.289473,-0.062358,-0.326401,0.002618,-0.001584,-0.000244,-0.003588,0.000110,0.001970
18,87244.818889385,-0.289488,-0.062359,-0.326402,0.002669,-0.001423,-0.000185,-0.003799,0.000116,0.002086
19,87244.823802715,-0.289503,-0.062360,-0.326402,0.002709,-0.001146,-0.000042,-0.004009,0.000123,0.002202
20,87244.828746563,-0.289517,-0.062362,-0.326402,0.002907,-0.000739,0.000106,-0.004221,0.000129,0.002318
21,87244.833690410,-0.289531,-0.062367,-0.326402,0.003246,-0.000343,0.000368,-0.004432,0.000136,0.002434
22,87244.838634258,-0.289546,-0.062374,-0.326399,0.003617,0.000078,0.000650,-0.004643,0.000142,0.002550
23,87244.843578106,-0.289561,-0.062384,-0.326396,0.003809,0.000320,0.000874,-0.004854,0.000149,0.002666
24,87244.848491436,-0.289575,-0.062395,-0.326391,0.003840,0.000488,0.001053,-0.005064,0.000155,0.002781
25,87244.853435283,-0.289590,-0.062408,-0.326385,0.003733,0.000623,0.001016,-0.005276,0.000161,0.002897
26,87244.858409649,-0.289604,-0.062420,-0.326380,0.003590,0.000576,0.001093,-0.005488,0.000168,0.003014
27,87244.863322979,-0.289617,-0.062432,-0.326374,0.003332,0.000559,0.000958,-0.005698,0.000174,0.003129
28,87244.868266826,-0.289629,-0.062443,-0.326369,0.002947,0.000536,0.000711,-0.005910,0.000181,0.003245
29,87244.873180156,-0.289640,-0.062453,-0.326365,0.002527,0.000447,0.000570,-0.006120,0.000187,0.003360
30,87244.878154522,-0.289649,-0.062462,-0.326361,0.002049,0.000491,0.000436,-0.006332,0.000194,0.003477
31,87244.883067852,-0.289657,-0.062469,-0.326359,0.001597,0.000594,0.000444,-0.006542,0.000200,0.003593
32,87244.888011699,-0.289662,-0.062476,-0.326357,0.001228,0.000704,0.000541,-0.006753,0.000207,0.003709
33,87244.892925030,-0.289665,-0.062482,-0.326354,0.000954,0.000931,0.000746,-0.006963,0.000213,0.003824
34,87244.897868877,-0.289666,-0.062488,-0.326350,0.000942,0.001176,0.000986,-0.007175,0.000220,0.003940
35,87244.902843242,-0.289667,-0.062495,-0.326345,0.001022,0.001480,0.001248,-0.007387,0.000226,0.004057
36,87244.907787090,-0.289667,-0.062504,-0.326338,0.001162,0.001828,0.001512,-0.007599,0.000233,0.004173
37,87244.912730938,-0.289667,-0.062515,-0.326331,0.001493,0.001934,0.001690,-0.007810,0.000239,0.004289
