,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,87244.729991680,0.063236,-0.005909,0.035580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,87244.734935528,0.063236,-0.005909,0.000000,0.000682,-0.000181,0.000251,0.000000,0.000000,0.000000
2,87244.739879375,0.063239,-0.005910,0.000000,0.001445,-0.000158,0.000381,0.000000,0.000000,0.000000
3,87244.744792705,0.063246,-0.005911,0.000000,0.002192,-0.000301,0.000457,0.000000,0.000000,0.000000
4,87244.749736553,0.063257,-0.005912,0.000000,0.002903,-0.000333,0.000583,0.000000,0.000000,0.000000
5,87244.754680401,0.063272,-0.005914,0.000000,0.003676,-0.000352,0.000593,0.000000,0.000000,0.000000
6,87244.759624248,0.063290,-0.005916,0.000000,0.004279,-0.000462,0.000523,0.000000,0.000000,0.000000
7,87244.764568096,0.063311,-0.005918,0.000000,0.004718,-0.000554,0.000449,0.000000,0.000000,0.000000
8,87244.769511944,0.063334,-0.005921,0.000000,0.004929,-0.000890,0.000487,0.000000,0.000000,0.000000
9,87244.774425274,0.063359,-0.005925,0.000000,0.004970,-0.001171,0.000513,0.000000,0.000000,0.000000
10,87244.779369121,0.063383,-0.005931,0.000000,0.004913,-0.001431,0.000556,0.000000,0.000000,0.000000
11,87244.784312969,0.063407,-0.005938,0.000000,0.004809,-0.001611,0.000473,0.000000,0.000000,0.000000
12,87244.789256817,0.063431,-0.005946,0.000000,0.004587,-0.001706,0.000311,0.000000,0.000000,0.000000
13,87244.794170147,0.063454,-0.005954,0.000000,0.004089,-0.001740,0.000173,0.000000,0.000000,0.000000
14,87244.799113994,0.063474,-0.005963,0.000000,0.003518,-0.001781,0.000051,0.000000,0.000000,0.000000
15,87244.804057842,0.063491,-0.005972,0.000000,0.003061,-0.001769,-0.000046,0.000000,0.000000,0.000000
16,87244.809001690,0.063506,-0.005980,0.000000,0.002694,-0.001660,-0.000221,0.000000,0.000000,0.000000
17,87244.813945537,0.063520,-0.005989,0.000000,0.002457,-0.001570,-0.000238,0.000000,0.000000,0.000000
18,87244.818889385,0.063532,-0.005996,0.000000,0.002488,-0.001406,-0.000179,0.000000,0.000000,0.000000
19,87244.823802715,0.063544,-0.006003,0.000000,0.002506,-0.001128,-0.000035,0.000000,0.000000,0.000000
20,87244.828746563,0.063557,-0.006009,0.000000,0.002682,-0.000719,0.000114,0.000000,0.000000,0.000000
21,87244.833690410,0.063570,-0.006012,0.000000,0.002997,-0.000320,0.000377,0.000000,0.000000,0.000000
22,87244.838634258,0.063585,-0.006014,0.000000,0.003343,0.000103,0.000659,0.000000,0.000000,0.000000
23,87244.843578106,0.063601,-0.006013,0.000000,0.003510,0.000347,0.000884,0.000000,0.000000,0.000000
