,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,87244.729991680,-0.267806,-0.033795,-0.327054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,87244.734935528,-0.267806,-0.033795,-0.327054,0.000682,-0.000181,0.000251,-0.000125,-0.000036,-0.000295
2,87244.739879375,-0.267804,-0.033798,-0.327053,0.001445,-0.000159,0.000381,-0.000250,-0.000072,-0.000590
3,87244.744792705,-0.267799,-0.033803,-0.327051,0.002191,-0.000306,0.000457,-0.000374,-0.000108,-0.000883
4,87244.749736553,-0.267791,-0.033811,-0.327048,0.002901,-0.000343,0.000583,-0.000499,-0.000144,-0.001178
5,87244.754680401,-0.267781,-0.033821,-0.327045,0.003673,-0.000367,0.000592,-0.000624,-0.000180,-0.001473
6,87244.759624248,-0.267768,-0.033834,-0.327042,0.004274,-0.000485,0.000523,-0.000749,-0.000216,-0.001768
7,87244.764568096,-0.267753,-0.033848,-0.327040,0.004712,-0.000587,0.000449,-0.000874,-0.000252,-0.002063
8,87244.769511944,-0.267736,-0.033865,-0.327037,0.004921,-0.000934,0.000485,-0.000999,-0.000288,-0.002358
9,87244.774425274,-0.267720,-0.033883,-0.327035,0.004958,-0.001227,0.000512,-0.001124,-0.000324,-0.002651
10,87244.779369121,-0.267704,-0.033903,-0.327032,0.004899,-0.001501,0.000555,-0.001249,-0.000360,-0.002946
11,87244.784312969,-0.267690,-0.033924,-0.327029,0.004792,-0.001697,0.000470,-0.001374,-0.000396,-0.003241
12,87244.789256817,-0.267676,-0.033945,-0.327026,0.004567,-0.001809,0.000309,-0.001499,-0.000432,-0.003536
13,87244.794170147,-0.267664,-0.033966,-0.327024,0.004065,-0.001861,0.000169,-0.001623,-0.000468,-0.003829
14,87244.799113994,-0.267654,-0.033985,-0.327023,0.003490,-0.001923,0.000047,-0.001748,-0.000504,-0.004124
15,87244.804057842,-0.267646,-0.034004,-0.327022,0.003029,-0.001933,-0.000050,-0.001873,-0.000540,-0.004419
16,87244.809001690,-0.267640,-0.034020,-0.327022,0.002657,-0.001847,-0.000226,-0.001998,-0.000576,-0.004714
17,87244.813945537,-0.267635,-0.034036,-0.327023,0.002415,-0.001782,-0.000244,-0.002123,-0.000612,-0.005009
18,87244.818889385,-0.267631,-0.034050,-0.327024,0.002441,-0.001645,-0.000185,-0.002248,-0.000648,-0.005304
19,87244.823802715,-0.267627,-0.034064,-0.327025,0.002454,-0.001395,-0.000042,-0.002372,-0.000684,-0.005597
20,87244.828746563,-0.267622,-0.034077,-0.327024,0.002623,-0.001015,0.000106,-0.002497,-0.000720,-0.005892
21,87244.833690410,-0.267614,-0.034089,-0.327024,0.002933,-0.000648,0.000368,-0.002622,-0.000756,-0.006187
22,87244.838634258,-0.267605,-0.034100,-0.327022,0.003272,-0.000257,0.000650,-0.002747,-0.000792,-0.006482
23,87244.843578106,-0.267593,-0.034111,-0.327018,0.003432,-0.000048,0.000874,-0.002872,-0.000828,-0.006777
24,87244.848491436,-0.267580,-0.034121,-0.327014,0.003428,0.000088,0.001053,-0.002996,-0.000864,-0.007071
25,87244.853435283,-0.267566,-0.034131,-0.327009,0.003285,0.000187,0.001016,-0.003121,-0.000900,-0.007365
26,87244.858409649,-0.267552,-0.034140,-0.327004,0.003105,0.000104,0.001093,-0.003247,-0.000936,-0.007662
27,87244.863322979,-0.267540,-0.034149,-0.326998,0.002808,0.000049,0.000958,-0.003372,-0.000972,-0.007955
28,87244.868266826,-0.267529,-0.034158,-0.326993,0.002383,-0.000013,0.000711,-0.003497,-0.001008,-0.008250
29,87244.873180156,-0.267520,-0.034165,-0.326990,0.001922,-0.000143,0.000569,-0.003621,-0.001043,-0.008544
30,87244.878154522,-0.267513,-0.034171,-0.326987,0.001400,-0.000141,0.000436,-0.003747,-0.001080,-0.008840
31,87244.883067852,-0.267508,-0.034176,-0.326985,0.000903,-0.000082,0.000443,-0.003871,-0.001116,-0.009134
32,87244.888011699,-0.267504,-0.034179,-0.326983,0.000488,-0.000016,0.000541,-0.003996,-0.001152,-0.009429
33,87244.892925030,-0.267502,-0.034180,-0.326980,0.000166,0.000164,0.000745,-0.004120,-0.001187,-0.009722
34,87244.897868877,-0.267501,-0.034180,-0.326976,0.000106,0.000362,0.000985,-0.004245,-0.001223,-0.010017
35,87244.902843242,-0.267500,-0.034179,-0.326971,0.000134,0.000616,0.001247,-0.004371,-0.001260,-0.010314
36,87244.907787090,-0.267497,-0.034177,-0.326965,0.000223,0.000913,0.001511,-0.004496,-0.001296,-0.010609
37,87244.912730938,-0.267493,-0.034174,-0.326958,0.000499,0.000966,0.001689,-0.004621,-0.001332,-0.010903
38,87244.917674785,-0.267488,-0.034171,-0.326950,0.000605,0.001007,0.001713,-0.004746,-0.001368,-0.011198
39,87244.922618633,-0.267483,-0.034169,-0.326941,0.000724,0.001058,0.001734,-0.004871,-0.001404,-0.011493
40,87244.927562481,-0.267477,-0.034167,-0.326933,0.001031,0.000931,0.001649,-0.004996,-0.001440,-0.011788
41,87244.932506328,-0.267470,-0.034166,-0.326925,0.001088,0.000610,0.001489,-0.005121,-0.001476,-0.012083
42,87244.937419658,-0.267463,-0.034167,-0.326918,0.001033,0.000378,0.001338,-0.005245,-0.001512,-0.012377
43,87244.942363506,-0.267458,-0.034168,-0.326911,0.000769,0.000244,0.001413,-0.005370,-0.001548,-0.012672
44,87244.947307354,-0.267454,-0.034169,-0.326904,0.000392,0.000019,0.001362,-0.005495,-0.001584,-0.012967
45,87244.952251201,-0.267453,-0.034170,-0.326897,0.000125,0.000019,0.001404,-0.005620,-0.001620,-0.013262
46,87244.957164531,-0.267452,-0.034171,-0.326891,-0.000234,-0.000161,0.001516,-0.005744,-0.001655,-0.013555
47,87244.962108379,-0.267453,-0.034170,-0.326883,-0.000649,-0.000032,0.001680,-0.005869,-0.001692,-0.013850
48,87244.967052227,-0.267456,-0.034168,-0.326875,-0.000963,0.000293,0.002007,-0.005995,-0.001728,-0.014145
49,87244.971996074,-0.267459,-0.034164,-0.326865,-0.001173,0.000594,0.002222,-0.006120,-0.001764,-0.014440
50,87244.976939922,-0.267461,-0.034158,-0.326854,-0.001347,0.001117,0.002395,-0.006245,-0.001800,-0.014735
51,87244.981853252,-0.267463,-0.034149,-0.326842,-0.001527,0.001649,0.002551,-0.006369,-0.001835,-0.015028
52,87244.986797100,-0.267464,-0.034138,-0.326830,-0.001727,0.001956,0.002537,-0.006494,-0.001871,-0.015323
53,87244.991710430,-0.267464,-0.034125,-0.326818,-0.001824,0.002357,0.002618,-0.006618,-0.001907,-0.015616
54,87244.996623760,-0.267464,-0.034110,-0.326806,-0.001939,0.002714,0.002726,-0.006742,-0.001943,-0.015909
55,87245.001567608,-0.267463,-0.034093,-0.326792,-0.002094,0.003097,0.002734,-0.006867,-0.001979,-0.016204
56,87245.006511455,-0.267462,-0.034074,-0.326779,-0.002287,0.003341,0.002621,-0.006992,-0.002015,-0.016499
57,87245.011455303,-0.267460,-0.034054,-0.326767,-0.002459,0.003410,0.002424,-0.007117,-0.002051,-0.016794
58,87245.016399151,-0.267459,-0.034033,-0.326756,-0.002716,0.003484,0.002218,-0.007242,-0.002087,-0.017089
59,87245.021342998,-0.267459,-0.034010,-0.326745,-0.002998,0.003625,0.002041,-0.007367,-0.002123,-0.017384
60,87245.026286846,-0.267459,-0.033987,-0.326736,-0.003240,0.003696,0.002039,-0.007492,-0.002159,-0.017679
61,87245.031200176,-0.267461,-0.033963,-0.326726,-0.003527,0.003859,0.002121,-0.007617,-0.002195,-0.017972
62,87245.036144024,-0.267462,-0.033937,-0.326717,-0.003885,0.003851,0.002277,-0.007742,-0.002231,-0.018267
63,87245.041087871,-0.267466,-0.033909,-0.326706,-0.004419,0.003723,0.002299,-0.007867,-0.002267,-0.018562
64,87245.046031719,-0.267471,-0.033881,-0.326695,-0.004846,0.003837,0.002154,-0.007992,-0.002303,-0.018857
65,87245.050975567,-0.267478,-0.033851,-0.326685,-0.005329,0.003846,0.001904,-0.008117,-0.002339,-0.019152
66,87245.055888897,-0.267487,-0.033820,-0.326677,-0.005777,0.003937,0.001679,-0.008241,-0.002375,-0.019445
67,87245.060832744,-0.267498,-0.033787,-0.326669,-0.006083,0.004195,0.001557,-0.008366,-0.002411,-0.019740
68,87245.065776592,-0.267509,-0.033752,-0.326662,-0.006195,0.004529,0.001454,-0.008491,-0.002447,-0.020035
69,87245.070750957,-0.267519,-0.033715,-0.326656,-0.006053,0.005111,0.001567,-0.008617,-0.002483,-0.020332
70,87245.075664287,-0.267527,-0.033677,-0.326649,-0.005689,0.005793,0.001678,-0.008741,-0.002519,-0.020625
71,87245.080608135,-0.267531,-0.033636,-0.326641,-0.005446,0.006421,0.001889,-0.008866,-0.002555,-0.020920
72,87245.085521465,-0.267533,-0.033595,-0.326633,-0.005096,0.007121,0.001995,-0.008990,-0.002591,-0.021213
73,87245.090495830,-0.267531,-0.033551,-0.326624,-0.004840,0.007707,0.002134,-0.009116,-0.002627,-0.021510
74,87245.095439678,-0.267526,-0.033506,-0.326615,-0.004636,0.007840,0.002353,-0.009241,-0.002663,-0.021805
75,87245.100383526,-0.267520,-0.033461,-0.326605,-0.004528,0.007783,0.002746,-0.009366,-0.002699,-0.022100
76,87245.105327373,-0.267514,-0.033417,-0.326592,-0.004400,0.007733,0.002771,-0.009491,-0.002735,-0.022395
77,87245.110240703,-0.267507,-0.033373,-0.326580,-0.004401,0.007649,0.002798,-0.009615,-0.002771,-0.022688
78,87245.115184551,-0.267501,-0.033330,-0.326567,-0.004469,0.007468,0.002992,-0.009740,-0.002807,-0.022983
79,87245.120097881,-0.267495,-0.033287,-0.326554,-0.004846,0.007336,0.003217,-0.009865,-0.002843,-0.023276
80,87245.125041729,-0.267492,-0.033243,-0.326539,-0.005221,0.007235,0.003425,-0.009990,-0.002879,-0.023571
81,87245.129985576,-0.267490,-0.033199,-0.326523,-0.005519,0.006988,0.003571,-0.010115,-0.002915,-0.023866
82,87245.134929424,-0.267490,-0.033154,-0.326507,-0.006031,0.006783,0.003684,-0.010240,-0.002951,-0.024161
83,87245.139842754,-0.267492,-0.033109,-0.326490,-0.006430,0.006544,0.003583,-0.010364,-0.002987,-0.024455
84,87245.144786602,-0.267497,-0.033064,-0.326473,-0.006783,0.006256,0.003341,-0.010489,-0.003023,-0.024750
85,87245.149730449,-0.267504,-0.033018,-0.326458,-0.007123,0.005967,0.002943,-0.010614,-0.003059,-0.025045
86,87245.154674297,-0.267513,-0.032973,-0.326444,-0.007426,0.005843,0.002671,-0.010739,-0.003095,-0.025340
87,87245.159618145,-0.267524,-0.032927,-0.326432,-0.007705,0.005828,0.002318,-0.010864,-0.003131,-0.025634
88,87245.164531475,-0.267536,-0.032881,-0.326422,-0.007736,0.006031,0.002165,-0.010988,-0.003167,-0.025928
89,87245.169475323,-0.267548,-0.032834,-0.326412,-0.007720,0.006605,0.002206,-0.011113,-0.003203,-0.026223
90,87245.174419170,-0.267558,-0.032784,-0.326402,-0.007553,0.007213,0.002261,-0.011238,-0.003239,-0.026518
91,87245.179393535,-0.267565,-0.032733,-0.326392,-0.007371,0.007790,0.002209,-0.011364,-0.003275,-0.026814
