,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,87244.729991680,0.626171,0.909216,-0.403675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,87244.734935528,0.626171,0.909216,-0.403675,0.000682,-0.000181,0.000251,-0.004092,0.000956,0.008962
2,87244.739879375,0.626168,0.909215,-0.403674,0.001487,-0.000132,0.000381,-0.008184,0.001912,0.017924
3,87244.744792705,0.626161,0.909212,-0.403671,0.002316,-0.000225,0.000457,-0.012250,0.002863,0.026830
4,87244.749736553,0.626151,0.909207,-0.403669,0.003152,-0.000180,0.000582,-0.016342,0.003819,0.035792
5,87244.754680401,0.626137,0.909200,-0.403665,0.004092,-0.000096,0.000592,-0.020434,0.004775,0.044754
6,87244.759624248,0.626120,0.909190,-0.403662,0.004903,-0.000078,0.000523,-0.024525,0.005731,0.053716
7,87244.764568096,0.626099,0.909178,-0.403659,0.005592,-0.000017,0.000449,-0.028617,0.006687,0.062678
8,87244.769511944,0.626075,0.909163,-0.403656,0.006095,-0.000174,0.000486,-0.032709,0.007644,0.071640
9,87244.774425274,0.626049,0.909149,-0.403652,0.006466,-0.000251,0.000512,-0.036776,0.008594,0.080546
10,87244.779369121,0.626021,0.909134,-0.403649,0.006785,-0.000281,0.000555,-0.040867,0.009550,0.089508
11,87244.784312969,0.625992,0.909118,-0.403645,0.007097,-0.000205,0.000471,-0.044959,0.010506,0.098470
12,87244.789256817,0.625961,0.909100,-0.403642,0.007333,-0.000018,0.000310,-0.049051,0.011463,0.107432
13,87244.794170147,0.625930,0.909082,-0.403639,0.007332,0.000253,0.000171,-0.053117,0.012413,0.116339
14,87244.799113994,0.625900,0.909062,-0.403637,0.007301,0.000545,0.000049,-0.057209,0.013369,0.125301
15,87244.804057842,0.625870,0.909041,-0.403636,0.007427,0.000915,-0.000049,-0.061301,0.014325,0.134262
16,87244.809001690,0.625841,0.909019,-0.403635,0.007684,0.001409,-0.000224,-0.065393,0.015281,0.143224
17,87244.813945537,0.625812,0.908993,-0.403634,0.008113,0.001909,-0.000241,-0.069485,0.016238,0.152186
18,87244.818889385,0.625783,0.908964,-0.403634,0.008852,0.002508,-0.000182,-0.073576,0.017194,0.161148
19,87244.823802715,0.625752,0.908931,-0.403634,0.009615,0.003244,-0.000038,-0.077643,0.018144,0.170055
20,87244.828746563,0.625719,0.908893,-0.403632,0.010582,0.004140,0.000112,-0.081735,0.019100,0.179017
21,87244.833690410,0.625685,0.908849,-0.403630,0.011730,0.005051,0.000375,-0.085826,0.020056,0.187978
22,87244.838634258,0.625648,0.908798,-0.403625,0.012950,0.006013,0.000658,-0.089918,0.021013,0.196940
23,87244.843578106,0.625609,0.908739,-0.403620,0.014032,0.006820,0.000884,-0.094010,0.021969,0.205902
