,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
0,4063398671843593.0,0.01326,-0.000977,0.003845,0.7328150391555402,9.991247163841235,0.158604499152583,-0.009326999999999995,0.050734,0.038568,0.717737,9.779584,0.122418,-15.371780193156708,-35.683721914446934,3.9204789465359693,-0.014307,-0.105133,-0.042958,0.710894,0.702315,-0.021125,0.030623,0.688825,0.6655720000000002,-0.225329,-0.17821900000000002
1,4063398676787441.0,0.016464,-0.000977,0.003845,0.7502072966729559,10.006887574078531,0.16181751850056877,0.040421,0.050904,0.036679,0.718225,9.779553,0.121916,-15.368399119904888,-36.04211321713352,4.1008017043634135,-0.01431,-0.105122,-0.042958,0.71087,0.702338,-0.021131,0.030628,0.688812,0.6655830000000001,-0.22535100000000005,-0.17819700000000002
2,4063398681731289.0,0.019653,0.001144,0.003845,0.7729969074253497,10.012983926002175,0.1693903149269557,0.042273,0.060575,0.052172,0.71872,9.779524,0.121394,-15.367126,-36.177063,4.168701,-0.014313,-0.105112,-0.042957,0.710842,0.702367,-0.021134,0.030636,0.688799,0.665597,-0.22536900000000004,-0.178171
3,4063398686675136.0,0.023911,0.006469999999999999,0.004913,0.7582058540183383,10.038963885923048,0.16888974168294446,0.014372,0.097463,0.041003,0.719012,9.779512,0.120589,-15.367126,-36.177063,4.168701,-0.014316,-0.105102,-0.042957,0.710807,0.702401,-0.021131,0.03065,0.6887780000000002,0.6656260000000002,-0.22537500000000005,-0.17813900000000002
4,4063398691618984.0,0.027115,0.010742,0.002777,0.7365153887589182,10.0763268891669,0.1431678330642447,-0.0030810000000000004,0.133444,0.006326999999999999,0.719034,9.779526,0.119355,-15.367126,-36.177063,4.168701,-0.014318,-0.105093,-0.042956,0.710768,0.70244,-0.021119,0.030672,0.6887410000000002,0.6656750000000001,-0.22537000000000001,-0.1781060000000001
5,4063398696562832.0,0.028183,0.012863,0.002777,0.728775814810245,10.066020092251826,0.12615194442203725,-0.003789,0.087217,0.004638,0.719077,9.779538,0.118068,-15.367126,-36.177063,4.168701,-0.014321,-0.105085,-0.042954,0.710725,0.702483,-0.021098,0.030698,0.688703,0.6657270000000001,-0.22536200000000003,-0.178068
6,4063398701506679.0,0.024979,0.013931,0.002777,0.7037785774636635,10.061082238762648,0.1114756685030908,-0.046617,0.111423,-0.017382,0.718754,9.779578,0.116756,-15.291381388198968,-36.0274361937358,4.167148832969655,-0.014324,-0.105076,-0.042951,0.710684,0.702524,-0.021075,0.030727,0.6886609999999999,0.6657839999999999,-0.22534,-0.17804100000000003
7,4063398706450527.0,0.02179,0.014999,0.005981,0.6885169630033123,10.05632342572405,0.10016570368587384,-0.04117,0.08378,-0.018588,0.718646,9.7796,0.115595,-15.102602441411534,-35.654520018893955,4.163280353743747,-0.014325,-0.105068,-0.042949,0.710648,0.70256,-0.021054,0.03076,0.6886270000000001,0.665835,-0.22532300000000005,-0.178006
8,4063398711394375.0,0.02179,0.013931,0.003845,0.6894360925746503,10.016674462595331,0.08677438872736379,-0.043382,0.03442,-0.0388,0.718448,9.77963,0.114268,-14.913823494624099,-35.28160384405211,4.159411874517839,-0.014327,-0.105059,-0.042946,0.710614,0.702593,-0.021034,0.030794,0.688586,0.665891,-0.22530599999999998,-0.177975
9,4063398716307705.0,0.02179,0.011795,0.001709,0.6962805710284065,9.998511285574956,0.09230071353725477,-0.029448,0.038877,-0.011934000000000004,0.718258,9.779657,0.11316,-14.72620986600544,-34.910989652568944,4.155567275121775,-0.01433,-0.10505,-0.042942,0.710581,0.702626,-0.021013,0.030821,0.6885520000000003,0.665939,-0.22529,-0.177949
10,4063398721251552.0,0.019653,0.011795,0.001709,0.7142058502038999,9.96997604122842,0.11123398039886752,-0.008504000000000005,-0.014290999999999998,0.002732,0.718273,9.779667,0.112276,-14.45227768364621,-34.785800769829194,4.233974547522402,-0.014333,-0.10504,-0.042938,0.710549,0.702658,-0.020992,0.030845,0.6885270000000001,0.6659760000000001,-0.22527999999999998,-0.17791799999999994
11,4063398726195400.0,0.018585,0.009674,0.001709,0.7227874259214685,9.929069647910495,0.12156344450274362,-0.009102,-0.045635,0.011299,0.718303,9.779673,0.111509,-14.074528427742447,-34.96263549293755,4.412690640608459,-0.014336,-0.10503,-0.042933,0.71052,0.702687,-0.020974,0.030867,0.6885059999999998,0.666009,-0.225271,-0.17789199999999997
12,4063398731108730.0,0.016464,0.00647,0.002777,0.7245831427528784,9.890934572681461,0.09820542992858206,-0.005601,-0.087986,-0.03430699999999999,0.71844,9.779675,0.110466,-13.699110989441422,-35.13837862866704,4.590303532760992,-0.014338,-0.105021,-0.042929,0.710492,0.702714,-0.020961,0.030885,0.6884739999999999,0.6660469999999998,-0.22527499999999998,-0.17786399999999994
13,4063398736052578.0,0.015396,0.007538,0.001709,0.7274954814994312,9.841887221823162,0.09125314831847581,-0.003258,-0.140079,-0.01075,0.718577,9.779674,0.109673,-13.321361733537659,-35.3152133517754,4.769019625847049,-0.014341,-0.105011,-0.042925,0.710468,0.702739,-0.020951,0.030901,0.688452,0.6660779999999998,-0.22527500000000003,-0.177838
14,4063398740996425.0,0.01326,0.009674,-0.00041200000000000004,0.7457020532006755,9.81988214805454,0.08788485364029268,0.026483,-0.13774,-0.032594,0.718852,9.779662,0.108809,-13.234354516740735,-35.287842001511116,4.8098756275555585,-0.014344,-0.105001,-0.042922,0.710446,0.702761,-0.020935,0.030917,0.688429,0.66611,-0.22527699999999998,-0.17780199999999996
15,4063398745940273.0,0.010071,0.010742,-0.000412,0.7436757590664196,9.820739185189755,0.06754962949063159,0.0007610000000000013,-0.135994,-0.050269,0.718915,9.779667,0.107958,-13.604227666666667,-34.93957533333334,4.6340943333333335,-0.014347,-0.104991,-0.04292,0.710428,0.702778,-0.020915,0.030934,0.6884049999999999,0.666145,-0.225269,-0.17777199999999996
16,4063398750884121.0,0.009003,0.010742,-0.000412,0.7371794445027436,9.816873129575788,0.04726938872736379,0.008498,-0.141994,-0.07083,0.719046,9.779668,0.106989,-13.9741008165926,-34.59130866515555,4.4583130391111085,-0.01435,-0.104981,-0.042919,0.710415,0.702792,-0.020894,0.030952,0.6883780000000002,0.6661830000000002,-0.22526600000000002,-0.17773900000000004
17,4063398755827968.0,0.006866,0.011795,-0.000412,0.7346510748746876,9.81690453661329,0.031559926820146335,-0.0016389999999999998,-0.135474,-0.08122,0.719088,9.779675,0.106041,-14.343973891703701,-34.24304206742222,4.2825317804444465,-0.014352,-0.10497,-0.042918,0.710404,0.702803,-0.020873,0.03097,0.68835,0.666222,-0.225258,-0.17770800000000006
18,4063398760741299.0,0.0015409999999999998,0.013931,-0.00148,0.7443365757089387,9.839724149123303,0.017144282791508002,0.022785,-0.09873099999999999,-0.097133,0.719257,9.779673,0.105223,-14.794323947258023,-34.09010237722772,4.185151740871214,-0.014355,-0.104958,-0.042918,0.710399,0.702807,-0.020848,0.03099,0.6883300000000001,0.6662570000000001,-0.22525000000000006,-0.17767000000000005
19,4063398765685146.0,-0.005905,0.013931,0.0017090000000000004,0.7411080924132376,9.869545055743824,-0.004813815007662049,-0.0012220000000000009,-0.072977,-0.122189,0.719367,9.779671,0.104556,-15.547257406347427,-34.635969602373784,4.36723375821758,-0.014358,-0.104944,-0.042919,0.710406,0.7028,-0.020823,0.031013,0.688314,0.666286,-0.225238,-0.17763700000000002
20,4063398770628994.0,-0.010178,0.014999,0.001709,0.7240433517622306,9.875439981418724,-0.008218018419862423,-0.013151,-0.080665,-0.108662,0.719384,9.779674,0.104211,-16.300191017733912,-35.1818369379333,4.549315812393972,-0.014361,-0.104927,-0.04292,0.710424,0.702782,-0.020801,0.03104,0.6883080000000001,0.6663060000000001,-0.22521900000000006,-0.17760900000000002
21,4063398775572842.0,-0.013367,0.014999,0.001709,0.7216989635553043,9.911728249322643,-0.0074180195540031885,-0.008366,-0.011130000000000001,-0.11677,0.719397,9.779675,0.103948,-17.053124629120394,-35.72770427349281,4.731397866570363,-0.014365,-0.104908,-0.042923,0.710448,0.702756,-0.020778,0.031067,0.6883060000000002,0.6663220000000002,-0.22519900000000004,-0.17758200000000005
22,4063398780516689.0,-0.016571,0.013931,0.001709,0.7048363145681259,9.9626028891669,-0.010644425921468458,-0.041026,0.025777999999999995,-0.116065,0.719121,9.779696,0.103838,-17.561934417468688,-36.10602196928558,4.813647343211944,-0.014369,-0.104885,-0.042926,0.710478,0.702725,-0.020755,0.031094,0.6883049999999997,0.6663369999999997,-0.22516899999999992,-0.17756799999999992
23,4063398785460537.0,-0.017624,0.010742,0.002777,0.6829100184154124,9.980476240767718,0.009195259514855636,-0.054463,0.029153,-0.082162,0.718785,9.779719,0.104048,-16.996599620227023,-35.74712144371786,4.456633437686143,-0.014374,-0.104859,-0.042929,0.710512,0.702691,-0.020738,0.031117,0.6883129999999998,0.666339,-0.22513999999999998,-0.17756599999999997
24,4063398790373867.0,-0.020828,0.007538,0.003845,0.6869617137812848,9.991243713815885,0.04801042733583945,-0.036987,0.044959,-0.040373,0.718636,9.779723,0.104738,-16.43475459195524,-35.39043638396528,4.101823352012579,-0.01438,-0.104829,-0.042933,0.710549,0.702653,-0.020728,0.031137,0.6883390000000003,0.6663200000000004,-0.2251170000000001,-0.17756700000000006
25,4063398795317715.0,-0.020828,0.005417,0.004913,0.7019564090351097,10.007103890812763,0.050070274299750785,-0.023857,0.060047,-0.068975,0.718639,9.779717,0.10519,-15.869419794713576,-35.03153585839756,3.7448094464867774,-0.014387,-0.104797,-0.042936,0.710589,0.702612,-0.020725,0.031154,0.6883560000000002,0.6663070000000001,-0.22510500000000003,-0.177564
26,4063398800261562.0,-0.022949,0.002213,0.003845,0.7120324445027436,10.024034185319614,0.06798263001977407,-0.016128,0.077367,-0.017883999999999997,0.718645,9.779707,0.106153,-15.329637697382697,-34.745353103560575,3.460563231339334,-0.014395,-0.104762,-0.042939,0.71063,0.702569,-0.020726,0.031166,0.6883900000000001,0.666274,-0.22509299999999996,-0.177572
27,4063398805205410.0,-0.022949,0.001144,0.003845,0.7167224814994312,10.02584325918313,0.0870720369966876,-0.013805,0.06667,-0.0242,0.718676,9.779696,0.107061,-14.952462782613807,-34.92191907718193,3.6393834178167377,-0.014398,-0.104745,-0.04294,0.710674,0.702525,-0.02073,0.031174,0.6884209999999998,0.6662420000000001,-0.225085,-0.17758
28,4063398810149258.0,-0.021896,0.002213,0.007034,0.7242776865922429,10.001928162449202,0.10883170888298122,-0.0027430000000000006,0.032317,0.016476000000000005,0.718973,9.77966,0.10826,-14.575287867844917,-35.0984850508033,3.8182036042941414,-0.014402,-0.104727,-0.04294,0.710716,0.702481,-0.020737,0.031185,0.6884660000000001,0.6661980000000001,-0.22508,-0.17757900000000001
29,4063398815062588.0,-0.021896,0.004349,0.007034,0.7304860004151971,9.9877360001038,0.14206771898406986,-0.000699,0.032675,0.041969,0.719283,9.779621,0.109671,-14.200441225314355,-35.273961096016066,3.995919947277385,-0.014407,-0.104709,-0.042939,0.710758,0.702438,-0.020743,0.031202,0.6885189999999999,0.666147,-0.22506999999999996,-0.177576
30,4063398820006435.0,-0.025085,0.007538,0.007034,0.7297895184961188,9.956035740323731,0.15430233334236815,-0.003998,-0.022758,0.041563,0.7196,9.77958,0.111256,-13.861943049734961,-35.41406144048635,4.162317825793329,-0.014411,-0.104692,-0.042939,0.710803,0.702392,-0.020745,0.031223,0.6885790000000003,0.6660920000000002,-0.22505300000000006,-0.17757000000000003
31,4063398824950283.0,-0.024017,0.009674,0.005981,0.7243987406870114,9.922358777647695,0.14965622215488827,-0.011363,-0.039754,0.031097,0.719814,9.779548,0.112712,-14.054370547031876,-35.053588062136384,4.158191619136343,-0.014415,-0.104675,-0.042938,0.71085,0.702343,-0.020742,0.031247,0.688635,0.6660440000000002,-0.2250310000000001,-0.17756200000000005
32,4063398829894131.0,-0.022949,0.012863,0.003845,0.7175597028888637,9.907745165112512,0.1506370195540032,-0.017986,-0.051865,0.037979,0.719876,9.779526,0.114186,-14.24679804432879,-34.69311468378642,4.1540654124793575,-0.014419,-0.104658,-0.042938,0.710895,0.702297,-0.020731,0.031273,0.688692,0.665999,-0.22499800000000003,-0.17755400000000005
