,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,85748134575563,0.654297,9.90239,0.987396,7.432059,-0.211489,6.646826,0.010757,-0.026962,0.007019,-0.027302,0.009709,-0.00723,0.303993,0.315244,0.590554,0.677832,-0.009454,-0.009373
1,85748139519410,0.648911,9.897003,1.016129,7.433946,-0.18193,6.641353,0.005432,-0.025894,0.008087,-0.02311,0.010855,-0.010654,0.304019,0.315297,0.590547,0.677801,-0.00938,-0.009329
2,85748144463258,0.68483,9.877258,0.992188,7.395474,-0.204824,6.654227,0.002228,-0.023758,0.008087,-0.01946,0.010731,-0.011872,0.304033,0.315357,0.590537,0.677776,-0.009299,-0.009279
3,85748149376588,0.704575,9.898804,0.96225,7.398901,-0.237995,6.678963,-0.000961,-0.021637,0.010223,-0.015685,0.012728,-0.012867,0.304035,0.315423,0.590528,0.677753,-0.009211,-0.009225
4,85748154350953,0.715958,9.861099,0.955673,7.362637,-0.240741,6.663404,-0.002029,-0.022705,0.009155,-0.015939,0.011837,-0.014466,0.304037,0.315494,0.590515,0.67773,-0.009129,-0.009172
5,85748159294801,0.712357,9.855118,0.9431,7.36007,-0.252443,6.654766,-0.002029,-0.022705,0.008087,-0.016014,0.010777,-0.014576,0.30404,0.315563,0.590507,0.677703,-0.009044,-0.009118
6,85748164238649,0.68483,9.852112,1.010132,7.380008,-0.184891,6.63738,-0.000961,-0.022705,0.012344,-0.01638,0.01496,-0.013293,0.304051,0.315621,0.590483,0.677692,-0.008958,-0.009061
7,85748169182496,0.70697,9.883835,1.034683,7.393739,-0.165673,6.675762,0.002228,-0.023758,0.012344,-0.01917,0.01496,-0.011422,0.304058,0.315686,0.590455,0.677683,-0.00887,-0.009002
8,85748174126344,0.717743,9.92514,1.059219,7.422077,-0.14715,6.710943,0.006485,-0.025894,0.011292,-0.023541,0.014002,-0.009478,0.304068,0.315755,0.590426,0.677672,-0.008781,-0.008941
9,85748179039674,0.720734,9.921555,1.120865,7.422662,-0.086394,6.716373,0.01181,-0.031219,0.012344,-0.030927,0.015468,-0.008412,0.304085,0.315829,0.590385,0.677665,-0.008689,-0.008876
10,85748183953004,0.761444,9.916168,1.10231,7.393099,-0.106522,6.742111,0.018204,-0.030151,0.014481,-0.033875,0.017216,-0.002504,0.304081,0.315923,0.590352,0.677652,-0.008597,-0.008808
11,85748188896852,0.727921,9.916168,1.103516,7.41472,-0.104392,6.714836,0.022476,-0.02803,0.013412,-0.034911,0.015741,0.002042,0.30408,0.316006,0.590333,0.67763,-0.008503,-0.008735
12,85748193840699,0.691406,9.90239,1.090942,7.426334,-0.113605,6.675499,0.026733,-0.025894,0.009155,-0.036147,0.011101,0.006256,0.304089,0.316074,0.590335,0.677593,-0.008409,-0.008659
13,85748198754030,0.683624,9.879059,1.038864,7.409849,-0.161562,6.649105,0.028854,-0.020569,0.007019,-0.033417,0.008273,0.010944,0.304088,0.316136,0.59036,0.677543,-0.008313,-0.008577
14,85748203697877,0.688416,9.904785,1.059814,7.429245,-0.143408,6.669905,0.029922,-0.021637,0.007019,-0.034911,0.00836,0.011138,0.304089,0.316199,0.59038,0.677495,-0.008218,-0.008491
15,85748208672242,0.680038,9.879654,1.019119,7.41262,-0.179718,6.643002,0.028854,-0.023758,0.007019,-0.035919,0.008653,0.009011,0.304092,0.316269,0.590408,0.677437,-0.008121,-0.008401
16,85748213616090,0.671066,9.865891,0.970627,7.404671,-0.22485,6.621821,0.024597,-0.021637,0.004898,-0.031781,0.006464,0.006732,0.304095,0.316333,0.590445,0.677373,-0.008024,-0.008307
17,85748218529420,0.709961,9.867676,0.96225,7.382172,-0.234085,6.652053,0.023529,-0.01738,0.004898,-0.02778,0.006006,0.008478,0.304083,0.3164,0.59048,0.677317,-0.007927,-0.008209
18,85748223442750,0.750671,9.885635,0.983795,7.373518,-0.216135,6.696381,0.017136,-0.022705,0.004898,-0.028032,0.00688,0.00021,0.304075,0.316479,0.590489,0.677275,-0.007828,-0.008109
19,85748228386598,0.728516,9.891617,0.999359,7.393689,-0.200404,6.683326,0.010757,-0.022705,0.002762,-0.024259,0.005004,-0.005031,0.304084,0.316541,0.590489,0.677243,-0.00774,-0.008027
20,85748233330446,0.748276,9.913162,1.010132,7.400002,-0.193213,6.712204,0.006485,-0.022705,0.004898,-0.021485,0.007287,-0.008176,0.30409,0.316607,0.590474,0.677222,-0.007642,-0.007936
21,85748238274293,0.724335,9.934723,0.976028,7.430154,-0.228702,6.701973,0.005432,-0.025894,0.008087,-0.023122,0.010868,-0.010614,0.304098,0.31668,0.590466,0.677191,-0.007544,-0.007842
22,85748243218141,0.705185,9.909576,0.940109,7.420563,-0.26057,6.666941,0.00116,-0.026962,0.009155,-0.021263,0.012216,-0.014518,0.30411,0.316753,0.590461,0.677156,-0.007443,-0.007747
23,85748248161988,0.680634,9.898804,0.943695,7.428292,-0.254885,6.64046,-0.005234,-0.025894,0.011292,-0.016348,0.014452,-0.018689,0.304129,0.316815,0.590447,0.677131,-0.007342,-0.007652
24,85748253105836,0.709961,9.86409,0.940109,7.383609,-0.255912,6.641159,-0.007355,-0.025894,0.014481,-0.014823,0.017697,-0.020034,0.304136,0.316889,0.590422,0.677115,-0.00724,-0.007555
25,85748258049684,0.733307,9.894012,0.970627,7.395863,-0.23097,6.679755,-0.013748,-0.02803,0.014481,-0.012578,0.018192,-0.026367,0.304149,0.316963,0.590374,0.677116,-0.007136,-0.007457
26,85748262963014,0.751266,9.891617,1.040665,7.388961,-0.163425,6.698353,-0.015884,-0.033356,0.016617,-0.015306,0.021025,-0.03106,0.304172,0.317041,0.590296,0.677137,-0.007032,-0.007359
27,85748267906862,0.756653,9.891617,1.059814,7.388143,-0.146306,6.703266,-0.015884,-0.034424,0.015549,-0.016224,0.020097,-0.031812,0.304199,0.317119,0.590212,0.677162,-0.006927,-0.007258
28,85748272850709,0.724335,9.951477,1.043655,7.455079,-0.169583,6.711107,-0.016953,-0.035477,0.016617,-0.016325,0.021326,-0.033179,0.304234,0.317192,0.590137,0.677178,-0.006822,-0.007158
