,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,85751.613732057,-0.012032,0.185084,0.191214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,85751.618675905,-0.012032,0.185084,0.191214,-0.000086,0.000240,0.000310,-0.000151,0.000007,0.000357
2,85751.623589235,-0.012032,0.185083,0.191215,-0.000226,0.000352,0.000442,-0.000302,0.000015,0.000713
3,85751.628533082,-0.012032,0.185080,0.191218,-0.000291,0.000374,0.000531,-0.000454,0.000022,0.001070
4,85751.633476930,-0.012033,0.185078,0.191220,-0.000431,0.000299,0.000565,-0.000605,0.000029,0.001427
5,85751.638420778,-0.012032,0.185076,0.191223,-0.000555,0.000237,0.000608,-0.000757,0.000036,0.001785
6,85751.643364625,-0.012031,0.185073,0.191226,-0.000676,0.000169,0.000647,-0.000908,0.000044,0.002142
7,85751.648277955,-0.012029,0.185070,0.191229,-0.000789,0.000097,0.000673,-0.001059,0.000051,0.002497
8,85751.653221803,-0.012026,0.185067,0.191233,-0.000991,-0.000053,0.000808,-0.001210,0.000058,0.002855
9,85751.658165651,-0.012022,0.185064,0.191237,-0.001123,-0.000118,0.000861,-0.001362,0.000066,0.003212
10,85751.663109498,-0.012017,0.185061,0.191241,-0.001210,-0.000344,0.000872,-0.001513,0.000073,0.003570
11,85751.668053346,-0.012012,0.185058,0.191245,-0.001315,-0.000635,0.000827,-0.001665,0.000080,0.003927
12,85751.672997194,-0.012005,0.185056,0.191249,-0.001496,-0.000770,0.000902,-0.001816,0.000088,0.004284
13,85751.677941041,-0.011997,0.185054,0.191253,-0.001529,-0.000923,0.001022,-0.001968,0.000095,0.004642
14,85751.682884889,-0.011988,0.185053,0.191258,-0.001494,-0.001070,0.001015,-0.002119,0.000102,0.004999
15,85751.687798219,-0.011979,0.185052,0.191263,-0.001259,-0.001131,0.000976,-0.002270,0.000109,0.005354
16,85751.692742067,-0.011970,0.185052,0.191268,-0.001020,-0.001174,0.000857,-0.002421,0.000117,0.005712
17,85751.697685914,-0.011963,0.185053,0.191272,-0.000908,-0.001150,0.000667,-0.002573,0.000124,0.006069
18,85751.702629762,-0.011956,0.185054,0.191275,-0.001020,-0.001152,0.000537,-0.002724,0.000131,0.006427
19,85751.707543092,-0.011948,0.185055,0.191278,-0.001031,-0.001152,0.000379,-0.002875,0.000139,0.006782
20,85751.712486940,-0.011941,0.185056,0.191280,-0.001014,-0.001154,0.000276,-0.003026,0.000146,0.007139
21,85751.722374635,-0.011925,0.185058,0.191282,-0.001464,-0.001109,0.000149,-0.003329,0.000161,0.007854
22,85751.727287965,-0.011916,0.185058,0.191283,-0.001721,-0.001227,0.000062,-0.003480,0.000168,0.008209
23,85751.732231813,-0.011906,0.185057,0.191283,-0.002092,-0.001287,0.000035,-0.003631,0.000175,0.008567
24,85751.737175660,-0.011894,0.185055,0.191283,-0.002469,-0.001294,0.000093,-0.003783,0.000182,0.008924
25,85751.742119508,-0.011881,0.185051,0.191284,-0.002750,-0.001251,0.000272,-0.003934,0.000190,0.009281
26,85751.747032838,-0.011866,0.185047,0.191285,-0.002954,-0.001285,0.000393,-0.004085,0.000197,0.009637
27,85751.752007203,-0.011851,0.185042,0.191287,-0.003207,-0.001249,0.000494,-0.004237,0.000204,0.009996
28,85751.756920533,-0.011835,0.185036,0.191289,-0.003413,-0.001197,0.000684,-0.004388,0.000212,0.010351
