,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,85751.613732057,-0.052359,0.082797,0.192060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,85751.618675905,-0.052359,0.082797,0.192060,-0.000086,0.000240,0.000310,0.000023,0.000031,-0.000212
2,85751.623589235,-0.052359,0.082796,0.192062,-0.000225,0.000350,0.000442,0.000046,0.000062,-0.000424
3,85751.628533082,-0.052360,0.082794,0.192064,-0.000287,0.000366,0.000531,0.000069,0.000093,-0.000636
4,85751.633476930,-0.052360,0.082792,0.192067,-0.000424,0.000283,0.000565,0.000092,0.000124,-0.000848
5,85751.638420778,-0.052359,0.082789,0.192070,-0.000542,0.000210,0.000608,0.000115,0.000155,-0.001061
6,85751.643364625,-0.052358,0.082787,0.192073,-0.000657,0.000129,0.000647,0.000138,0.000186,-0.001273
7,85751.648277955,-0.052356,0.082784,0.192076,-0.000763,0.000041,0.000672,0.000161,0.000216,-0.001484
8,85751.653221803,-0.052353,0.082781,0.192079,-0.000956,-0.000127,0.000807,0.000184,0.000247,-0.001697
9,85751.658165651,-0.052349,0.082779,0.192083,-0.001079,-0.000214,0.000860,0.000207,0.000278,-0.001909
10,85751.663109498,-0.052344,0.082776,0.192087,-0.001155,-0.000464,0.000870,0.000230,0.000309,-0.002122
11,85751.668053346,-0.052338,0.082774,0.192091,-0.001248,-0.000782,0.000825,0.000253,0.000340,-0.002334
12,85751.672997194,-0.052331,0.082773,0.192095,-0.001415,-0.000947,0.000899,0.000276,0.000371,-0.002546
13,85751.677941041,-0.052323,0.082772,0.192100,-0.001433,-0.001131,0.001019,0.000300,0.000402,-0.002759
14,85751.682884889,-0.052314,0.082771,0.192105,-0.001383,-0.001313,0.001012,0.000323,0.000433,-0.002971
15,85751.687798219,-0.052304,0.082772,0.192110,-0.001130,-0.001412,0.000972,0.000345,0.000464,-0.003182
16,85751.692742067,-0.052295,0.082773,0.192114,-0.000873,-0.001495,0.000852,0.000369,0.000495,-0.003395
17,85751.697685914,-0.052287,0.082776,0.192118,-0.000741,-0.001514,0.000661,0.000392,0.000526,-0.003607
18,85751.702629762,-0.052280,0.082779,0.192122,-0.000832,-0.001561,0.000532,0.000415,0.000557,-0.003820
19,85751.707543092,-0.052271,0.082782,0.192124,-0.000822,-0.001609,0.000372,0.000438,0.000587,-0.004031
20,85751.712486940,-0.052263,0.082785,0.192126,-0.000782,-0.001662,0.000269,0.000461,0.000618,-0.004243
21,85751.722374635,-0.052246,0.082793,0.192128,-0.001182,-0.001724,0.000140,0.000507,0.000680,-0.004668
22,85751.727287965,-0.052236,0.082795,0.192129,-0.001412,-0.001901,0.000052,0.000530,0.000711,-0.004879
23,85751.732231813,-0.052225,0.082798,0.192129,-0.001755,-0.002022,0.000025,0.000553,0.000742,-0.005091
24,85751.737175660,-0.052212,0.082800,0.192129,-0.002103,-0.002093,0.000081,0.000576,0.000773,-0.005304
25,85751.742119508,-0.052197,0.082800,0.192130,-0.002353,-0.002117,0.000260,0.000599,0.000804,-0.005516
26,85751.747032838,-0.052182,0.082801,0.192131,-0.002526,-0.002220,0.000380,0.000622,0.000835,-0.005727
27,85751.752007203,-0.052165,0.082801,0.192132,-0.002744,-0.002257,0.000480,0.000645,0.000866,-0.005941
28,85751.756920533,-0.052147,0.082800,0.192135,-0.002917,-0.002280,0.000669,0.000668,0.000897,-0.006152
29,85751.761864381,-0.052129,0.082799,0.192138,-0.003022,-0.002369,0.000895,0.000691,0.000928,-0.006365
30,85751.766808229,-0.052110,0.082798,0.192142,-0.003196,-0.002371,0.001035,0.000714,0.000958,-0.006577
31,85751.771752076,-0.052091,0.082796,0.192147,-0.003431,-0.002417,0.001097,0.000737,0.000989,-0.006790
32,85751.776665406,-0.052070,0.082794,0.192152,-0.003706,-0.002448,0.001202,0.000760,0.001020,-0.007001
33,85751.781639772,-0.052048,0.082791,0.192158,-0.003861,-0.002481,0.001124,0.000783,0.001051,-0.007214
34,85751.786553102,-0.052026,0.082788,0.192163,-0.003897,-0.002494,0.001062,0.000806,0.001082,-0.007425
35,85751.791527467,-0.052003,0.082784,0.192168,-0.003845,-0.002617,0.001004,0.000829,0.001113,-0.007639
36,85751.796440797,-0.051980,0.082782,0.192173,-0.003955,-0.002711,0.000987,0.000852,0.001144,-0.007850
37,85751.801384645,-0.051957,0.082779,0.192178,-0.003916,-0.002870,0.000957,0.000875,0.001175,-0.008063
38,85751.806297975,-0.051933,0.082777,0.192182,-0.003945,-0.003044,0.001043,0.000898,0.001206,-0.008274
39,85751.811241822,-0.051908,0.082775,0.192187,-0.003918,-0.003122,0.000990,0.000921,0.001237,-0.008486
40,85751.816185670,-0.051883,0.082774,0.192192,-0.003962,-0.003215,0.000959,0.000944,0.001268,-0.008699
41,85751.821129518,-0.051858,0.082773,0.192196,-0.004066,-0.003135,0.000922,0.000967,0.001299,-0.008911
42,85751.826042848,-0.051833,0.082772,0.192201,-0.004029,-0.003089,0.000814,0.000990,0.001329,-0.009122
43,85751.830986696,-0.051808,0.082770,0.192204,-0.004117,-0.003122,0.000807,0.001013,0.001360,-0.009335
44,85751.835930543,-0.051782,0.082768,0.192208,-0.004163,-0.003077,0.000908,0.001036,0.001391,-0.009547
45,85751.840874391,-0.051757,0.082766,0.192212,-0.004156,-0.003102,0.001067,0.001060,0.001422,-0.009759
46,85751.845818238,-0.051731,0.082764,0.192217,-0.004197,-0.003064,0.001230,0.001083,0.001453,-0.009972
47,85751.850731569,-0.051706,0.082762,0.192223,-0.004262,-0.003037,0.001340,0.001106,0.001484,-0.010183
48,85751.855675416,-0.051680,0.082759,0.192230,-0.004310,-0.003055,0.001380,0.001129,0.001515,-0.010395
49,85751.860619264,-0.051654,0.082756,0.192236,-0.004310,-0.003061,0.001496,0.001152,0.001546,-0.010608
50,85751.865563112,-0.051628,0.082754,0.192243,-0.004388,-0.003139,0.001504,0.001175,0.001577,-0.010820
51,85751.870506959,-0.051601,0.082751,0.192251,-0.004411,-0.003226,0.001394,0.001198,0.001608,-0.011033
52,85751.875450807,-0.051574,0.082749,0.192257,-0.004369,-0.003392,0.001283,0.001221,0.001639,-0.011245
53,85751.880364137,-0.051547,0.082747,0.192263,-0.004302,-0.003840,0.001204,0.001244,0.001670,-0.011456
54,85751.885338502,-0.051518,0.082747,0.192269,-0.004074,-0.004148,0.001067,0.001267,0.001701,-0.011670
55,85751.890251832,-0.051490,0.082749,0.192274,-0.003871,-0.004401,0.000886,0.001290,0.001731,-0.011881
56,85751.895195680,-0.051461,0.082753,0.192278,-0.003746,-0.004636,0.000810,0.001313,0.001762,-0.012093
57,85751.900139528,-0.051432,0.082758,0.192282,-0.003583,-0.004836,0.000766,0.001336,0.001793,-0.012306
