,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,85751.613732057,1.198522,1.784444,0.178396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,85751.618675905,1.198522,1.784444,0.178396,-0.000086,0.000240,0.000310,-0.006044,-0.000094,0.008880
2,85751.623589235,1.198521,1.784443,0.178398,-0.000233,0.000403,0.000443,-0.012051,-0.000187,0.017706
3,85751.628533082,1.198520,1.784441,0.178400,-0.000309,0.000526,0.000533,-0.018095,-0.000281,0.026586
4,85751.633476930,1.198520,1.784438,0.178403,-0.000468,0.000603,0.000569,-0.024139,-0.000375,0.035466
5,85751.638420778,1.198519,1.784434,0.178406,-0.000616,0.000744,0.000615,-0.030183,-0.000469,0.044346
6,85751.643364625,1.198519,1.784429,0.178409,-0.000768,0.000930,0.000657,-0.036227,-0.000562,0.053226
7,85751.648277955,1.198519,1.784423,0.178412,-0.000917,0.001162,0.000687,-0.042234,-0.000656,0.062052
8,85751.653221803,1.198518,1.784416,0.178415,-0.001162,0.001367,0.000826,-0.048278,-0.000749,0.070932
9,85751.658165651,1.198517,1.784407,0.178419,-0.001344,0.001708,0.000884,-0.054323,-0.000843,0.079812
10,85751.663109498,1.198516,1.784397,0.178424,-0.001486,0.001939,0.000900,-0.060367,-0.000937,0.088692
11,85751.668053346,1.198515,1.784385,0.178428,-0.001653,0.002156,0.000862,-0.066411,-0.001031,0.097572
12,85751.672997194,1.198513,1.784371,0.178432,-0.001901,0.002579,0.000944,-0.072455,-0.001125,0.106452
13,85751.677941041,1.198511,1.784355,0.178437,-0.002008,0.003037,0.001071,-0.078499,-0.001218,0.115333
14,85751.682884889,1.198508,1.784338,0.178442,-0.002053,0.003550,0.001072,-0.084543,-0.001312,0.124213
15,85751.687798219,1.198503,1.784318,0.178448,-0.001903,0.004196,0.001041,-0.090550,-0.001406,0.133038
16,85751.692742067,1.198495,1.784297,0.178453,-0.001756,0.004914,0.000931,-0.096594,-0.001499,0.141918
17,85751.697685914,1.198485,1.784273,0.178457,-0.001743,0.005751,0.000751,-0.102638,-0.001593,0.150798
18,85751.702629762,1.198471,1.784247,0.178461,-0.001959,0.006613,0.000632,-0.108682,-0.001687,0.159679
19,85751.707543092,1.198455,1.784217,0.178464,-0.002081,0.007521,0.000484,-0.114689,-0.001780,0.168504
20,85751.712486940,1.198437,1.784183,0.178467,-0.002181,0.008484,0.000393,-0.120733,-0.001874,0.177384
21,85751.722374635,1.198394,1.784108,0.178471,-0.002877,0.010561,0.000289,-0.132822,-0.002062,0.195145
22,85751.727287965,1.198368,1.784061,0.178473,-0.003269,0.011553,0.000215,-0.138828,-0.002155,0.203970
