,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,85751.613732057,-0.002684,0.105574,0.027299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,85751.618675905,-0.002684,0.105574,0.000000,-0.000086,0.000240,0.000310,0.000000,0.000000,0.000000
2,85751.623589235,-0.002684,0.105575,0.000000,-0.000226,0.000350,0.000442,0.000000,0.000000,0.000000
3,85751.628533082,-0.002686,0.105577,0.000000,-0.000289,0.000369,0.000531,0.000000,0.000000,0.000000
4,85751.633476930,-0.002687,0.105579,0.000000,-0.000428,0.000288,0.000564,0.000000,0.000000,0.000000
5,85751.638420778,-0.002689,0.105580,0.000000,-0.000549,0.000219,0.000607,0.000000,0.000000,0.000000
6,85751.643364625,-0.002692,0.105581,0.000000,-0.000667,0.000142,0.000646,0.000000,0.000000,0.000000
7,85751.648277955,-0.002695,0.105582,0.000000,-0.000776,0.000059,0.000671,0.000000,0.000000,0.000000
8,85751.653221803,-0.002699,0.105582,0.000000,-0.000974,-0.000103,0.000805,0.000000,0.000000,0.000000
9,85751.658165651,-0.002704,0.105582,0.000000,-0.001102,-0.000183,0.000857,0.000000,0.000000,0.000000
10,85751.663109498,-0.002709,0.105581,0.000000,-0.001183,-0.000425,0.000866,0.000000,0.000000,0.000000
11,85751.668053346,-0.002715,0.105579,0.000000,-0.001282,-0.000735,0.000821,0.000000,0.000000,0.000000
12,85751.672997194,-0.002721,0.105575,0.000000,-0.001457,-0.000890,0.000894,0.000000,0.000000,0.000000
13,85751.677941041,-0.002729,0.105571,0.000000,-0.001482,-0.001064,0.001013,0.000000,0.000000,0.000000
14,85751.682884889,-0.002736,0.105565,0.000000,-0.001439,-0.001235,0.001005,0.000000,0.000000,0.000000
15,85751.687798219,-0.002743,0.105559,0.000000,-0.001196,-0.001321,0.000964,0.000000,0.000000,0.000000
16,85751.692742067,-0.002749,0.105553,0.000000,-0.000948,-0.001392,0.000843,0.000000,0.000000,0.000000
