,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,85883617733740,0.102432,8.154037,5.194,4.638929,8.11919,-2.456727,0.005432,0.063583,-0.088852,0.040771,-0.043905,-0.091527,0.848826,0.439262,0.13795,0.259832,0.015975,0.011424
1,85883622677588,0.008469,8.153427,5.258057,4.558151,8.203188,-2.46101,-0.013748,0.077438,-0.082458,0.032713,-0.02589,-0.10604,0.848856,0.439178,0.138196,0.259746,0.016328,0.011472
2,85883627621435,-0.040024,8.130081,5.340057,4.502335,8.276359,-2.418045,-0.023331,0.081696,-0.074997,0.027185,-0.014669,-0.109036,0.848893,0.439068,0.138437,0.259684,0.016699,0.011519
3,85883632565283,-0.120224,8.117523,5.41188,4.426493,8.356464,-2.402646,-0.028671,0.080627,-0.069672,0.022178,-0.009105,-0.107713,0.848934,0.438945,0.138671,0.259631,0.017072,0.011561
4,85883637509131,-0.226166,8.056473,5.501663,4.302067,8.436072,-2.356096,-0.030792,0.077438,-0.063278,0.018624,-0.004713,-0.102858,0.848979,0.438815,0.138892,0.259588,0.017441,0.011598
5,85883642452978,-0.292007,8.030731,5.517227,4.231289,8.459025,-2.357703,-0.033997,0.060394,-0.054764,0.006346,-0.004901,-0.087966,0.849028,0.438689,0.13907,0.259543,0.017816,0.011628
6,85883647396826,-0.363831,8.004395,5.554932,4.155035,8.501575,-2.34923,-0.037186,0.038025,-0.047302,-0.008924,-0.008523,-0.070099,0.849086,0.43857,0.139193,0.259489,0.018192,0.01165
7,85883652310156,-0.400345,7.955917,5.628555,4.095085,8.551447,-2.28921,-0.038254,0.009262,-0.040909,-0.026042,-0.016782,-0.04757,0.849153,0.438464,0.139248,0.259418,0.018575,0.011664
8,85883657254004,-0.365631,7.999008,5.786575,4.144719,8.691441,-2.209617,-0.035049,-0.018433,-0.034515,-0.03903,-0.025901,-0.023775,0.849225,0.43838,0.139238,0.259331,0.01896,0.011669
9,85883662197851,-0.347076,8.039108,5.800934,4.180662,8.717625,-2.2189,-0.029724,-0.033356,-0.02919,-0.043067,-0.030433,-0.008198,0.849292,0.438319,0.139192,0.259237,0.019228,0.011666
10,85883667141699,-0.315948,8.00798,5.816498,4.187125,8.706271,-2.174399,-0.02121,-0.046143,-0.022797,-0.043271,-0.034084,0.008041,0.849351,0.438286,0.139116,0.259142,0.019497,0.011657
11,85883672055029,-0.20462,8.028931,5.796143,4.289766,8.664882,-2.149077,-0.011627,-0.051468,-0.017471,-0.03838,-0.035354,0.019143,0.849396,0.438281,0.139025,0.259051,0.019768,0.011643
12,85883677029394,-0.135193,8.103745,5.807526,4.387848,8.688506,-2.161692,-0.002029,-0.054657,-0.01535,-0.032242,-0.038215,0.026967,0.849429,0.438303,0.138926,0.258959,0.020038,0.011626
13,85883681973242,-0.100479,8.112137,5.781784,4.420412,8.660719,-2.167436,0.004364,-0.053589,-0.012146,-0.026372,-0.037119,0.031065,0.849452,0.43834,0.138829,0.258874,0.02031,0.011606
14,85883686917090,-0.06636,8.091187,5.696182,4.436838,8.569932,-2.188345,0.007553,-0.048264,-0.006821,-0.020782,-0.03122,0.032038,0.849464,0.438385,0.138739,0.258805,0.020582,0.011586
15,85883691860937,-0.023849,8.111526,5.700974,4.482935,8.569966,-2.181166,0.009689,-0.049332,0.000626,-0.01967,-0.02633,0.038049,0.849469,0.43844,0.138638,0.258751,0.020855,0.011565
16,85883696804785,0.021027,8.135468,5.692001,4.533501,8.559558,-2.183239,0.008621,-0.048264,0.008087,-0.02001,-0.01938,0.041148,0.849469,0.438496,0.138529,0.258716,0.021129,0.011546
17,85883701718115,0.05336,8.158218,5.64711,4.573536,8.523131,-2.210956,0.006485,-0.045074,0.012344,-0.020016,-0.013685,0.040474,0.849466,0.43855,0.13842,0.258694,0.021404,0.01153
