,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86157.518993867,-0.150881,0.740240,-0.151145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86157.523937714,-0.150881,0.740240,-0.151145,-0.000710,-0.000346,-0.000017,-0.000174,-0.000080,0.000151
2,86157.528881562,-0.150882,0.740236,-0.151145,-0.001545,-0.000702,-0.000278,-0.000349,-0.000161,0.000301
3,86157.533825410,-0.150885,0.740228,-0.151147,-0.002351,-0.001245,-0.000639,-0.000523,-0.000241,0.000452
4,86157.538769257,-0.150889,0.740216,-0.151150,-0.003052,-0.001652,-0.001044,-0.000698,-0.000322,0.000603
5,86157.543682587,-0.150893,0.740200,-0.151155,-0.003497,-0.002121,-0.001546,-0.000871,-0.000402,0.000752
6,86157.548626435,-0.150898,0.740180,-0.151163,-0.003715,-0.002525,-0.002148,-0.001046,-0.000482,0.000903
7,86157.553570283,-0.150902,0.740158,-0.151174,-0.003746,-0.002774,-0.002774,-0.001220,-0.000563,0.001054
8,86157.558514130,-0.150905,0.740136,-0.151188,-0.003683,-0.002865,-0.003252,-0.001395,-0.000643,0.001204
9,86157.563457978,-0.150908,0.740113,-0.151204,-0.003487,-0.002847,-0.003607,-0.001569,-0.000724,0.001355
10,86157.568401826,-0.150910,0.740091,-0.151223,-0.003338,-0.002556,-0.003746,-0.001744,-0.000804,0.001505
11,86157.573345673,-0.150912,0.740071,-0.151241,-0.003067,-0.001967,-0.003606,-0.001918,-0.000884,0.001656
12,86157.578289521,-0.150916,0.740053,-0.151260,-0.002781,-0.001288,-0.003268,-0.002093,-0.000965,0.001807
13,86157.583233369,-0.150921,0.740039,-0.151276,-0.002384,-0.000386,-0.002831,-0.002267,-0.001045,0.001957
14,86157.588146699,-0.150928,0.740030,-0.151290,-0.001966,0.000507,-0.002385,-0.002441,-0.001125,0.002107
15,86157.593090546,-0.150937,0.740025,-0.151302,-0.001284,0.001315,-0.001940,-0.002615,-0.001206,0.002258
16,86157.598034394,-0.150946,0.740025,-0.151311,-0.000388,0.002108,-0.001467,-0.002790,-0.001286,0.002408
17,86157.602947724,-0.150955,0.740031,-0.151318,0.000629,0.002831,-0.001066,-0.002963,-0.001366,0.002558
18,86157.607891572,-0.150963,0.740043,-0.151323,0.001706,0.003305,-0.000645,-0.003137,-0.001447,0.002709
19,86157.612835420,-0.150969,0.740060,-0.151326,0.002603,0.003604,-0.000225,-0.003312,-0.001527,0.002859
20,86157.617779267,-0.150973,0.740082,-0.151327,0.003213,0.003838,0.000230,-0.003486,-0.001608,0.003010
21,86157.622723115,-0.150975,0.740107,-0.151325,0.003351,0.004106,0.000596,-0.003661,-0.001688,0.003161
22,86157.627636445,-0.150978,0.740132,-0.151322,0.003136,0.004210,0.001019,-0.003834,-0.001768,0.003310
23,86157.632580293,-0.150982,0.740158,-0.151316,0.002434,0.004319,0.001464,-0.004009,-0.001848,0.003461
24,86157.637524140,-0.150989,0.740181,-0.151309,0.001592,0.004454,0.002063,-0.004183,-0.001929,0.003612
25,86157.642467988,-0.150999,0.740202,-0.151298,0.000417,0.004437,0.002476,-0.004358,-0.002009,0.003762
26,86157.647411836,-0.151014,0.740219,-0.151285,-0.000787,0.004406,0.002816,-0.004532,-0.002090,0.003913
27,86157.652325166,-0.151032,0.740231,-0.151271,-0.001903,0.004156,0.003182,-0.004706,-0.002170,0.004063
28,86157.657269013,-0.151053,0.740238,-0.151255,-0.002741,0.003668,0.003451,-0.004880,-0.002250,0.004213
29,86157.662212861,-0.151075,0.740241,-0.151238,-0.003393,0.003067,0.003648,-0.005055,-0.002331,0.004364
30,86157.667156709,-0.151097,0.740239,-0.151219,-0.003807,0.002306,0.003686,-0.005229,-0.002411,0.004514
31,86157.672100556,-0.151118,0.740233,-0.151201,-0.004032,0.001518,0.003722,-0.005404,-0.002491,0.004665
32,86157.677044404,-0.151137,0.740224,-0.151183,-0.003995,0.000604,0.003707,-0.005578,-0.002572,0.004816
