,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86157.518993867,-0.189497,0.628411,-0.159700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86157.523937714,-0.189497,0.628411,-0.159700,-0.000710,-0.000346,-0.000017,-0.000035,0.000213,-0.000434
2,86157.528881562,-0.189499,0.628408,-0.159700,-0.001542,-0.000700,-0.000278,-0.000071,0.000426,-0.000869
3,86157.533825410,-0.189501,0.628400,-0.159701,-0.002343,-0.001240,-0.000640,-0.000106,0.000640,-0.001303
4,86157.538769257,-0.189505,0.628387,-0.159704,-0.003035,-0.001642,-0.001044,-0.000142,0.000853,-0.001737
5,86157.543682587,-0.189510,0.628371,-0.159710,-0.003468,-0.002105,-0.001546,-0.000177,0.001065,-0.002169
6,86157.548626435,-0.189514,0.628351,-0.159718,-0.003672,-0.002500,-0.002148,-0.000213,0.001278,-0.002603
7,86157.553570283,-0.189518,0.628330,-0.159729,-0.003685,-0.002740,-0.002774,-0.000248,0.001491,-0.003038
8,86157.558514130,-0.189521,0.628308,-0.159743,-0.003603,-0.002820,-0.003252,-0.000283,0.001705,-0.003472
9,86157.563457978,-0.189524,0.628286,-0.159759,-0.003384,-0.002788,-0.003608,-0.000319,0.001918,-0.003906
10,86157.568401826,-0.189525,0.628264,-0.159777,-0.003209,-0.002482,-0.003747,-0.000354,0.002131,-0.004341
11,86157.573345673,-0.189528,0.628245,-0.159796,-0.002908,-0.001878,-0.003607,-0.000390,0.002344,-0.004775
12,86157.578289521,-0.189531,0.628228,-0.159814,-0.002591,-0.001180,-0.003270,-0.000425,0.002558,-0.005209
13,86157.583233369,-0.189536,0.628215,-0.159831,-0.002160,-0.000259,-0.002832,-0.000461,0.002771,-0.005644
14,86157.588146699,-0.189543,0.628207,-0.159845,-0.001704,0.000656,-0.002387,-0.000496,0.002983,-0.006075
15,86157.593090546,-0.189551,0.628203,-0.159857,-0.000982,0.001486,-0.001942,-0.000532,0.003196,-0.006510
16,86157.598034394,-0.189560,0.628205,-0.159866,-0.000043,0.002303,-0.001469,-0.000567,0.003409,-0.006944
17,86157.602947724,-0.189568,0.628213,-0.159873,0.001019,0.003052,-0.001068,-0.000602,0.003621,-0.007376
18,86157.607891572,-0.189575,0.628227,-0.159878,0.002145,0.003554,-0.000647,-0.000638,0.003834,-0.007810
