,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86157.518993867,0.024437,-0.085278,0.020583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86157.523937714,0.024437,-0.085278,0.000000,-0.000710,-0.000346,-0.000017,0.000000,0.000000,0.000000
2,86157.528881562,0.024433,-0.085280,0.000000,-0.001544,-0.000702,-0.000278,0.000000,0.000000,0.000000
3,86157.533825410,0.024426,-0.085283,0.000000,-0.002348,-0.001246,-0.000639,0.000000,0.000000,0.000000
4,86157.538769257,0.024414,-0.085289,0.000000,-0.003045,-0.001653,-0.001044,0.000000,0.000000,0.000000
5,86157.543682587,0.024399,-0.085297,0.000000,-0.003485,-0.002122,-0.001545,0.000000,0.000000,0.000000
6,86157.548626435,0.024382,-0.085308,0.000000,-0.003697,-0.002526,-0.002148,0.000000,0.000000,0.000000
7,86157.553570283,0.024364,-0.085320,0.000000,-0.003720,-0.002776,-0.002774,0.000000,0.000000,0.000000
8,86157.558514130,0.024345,-0.085334,0.000000,-0.003650,-0.002868,-0.003251,0.000000,0.000000,0.000000
9,86157.563457978,0.024327,-0.085348,0.000000,-0.003444,-0.002850,-0.003607,0.000000,0.000000,0.000000
10,86157.568401826,0.024310,-0.085362,0.000000,-0.003284,-0.002560,-0.003745,0.000000,0.000000,0.000000
11,86157.573345673,0.024294,-0.085375,0.000000,-0.003000,-0.001972,-0.003605,0.000000,0.000000,0.000000
12,86157.578289521,0.024279,-0.085385,0.000000,-0.002701,-0.001293,-0.003267,0.000000,0.000000,0.000000
13,86157.583233369,0.024266,-0.085391,0.000000,-0.002290,-0.000393,-0.002829,0.000000,0.000000,0.000000
14,86157.588146699,0.024255,-0.085393,0.000000,-0.001857,0.000500,-0.002383,0.000000,0.000000,0.000000
15,86157.593090546,0.024245,-0.085391,0.000000,-0.001158,0.001306,-0.001938,0.000000,0.000000,0.000000
16,86157.598034394,0.024240,-0.085384,0.000000,-0.000244,0.002098,-0.001464,0.000000,0.000000,0.000000
17,86157.602947724,0.024239,-0.085374,0.000000,0.000792,0.002819,-0.001063,0.000000,0.000000,0.000000
18,86157.607891572,0.024242,-0.085360,0.000000,0.001889,0.003292,-0.000641,0.000000,0.000000,0.000000
19,86157.612835420,0.024252,-0.085344,0.000000,0.002808,0.003589,-0.000221,0.000000,0.000000,0.000000
20,86157.617779267,0.024266,-0.085326,0.000000,0.003442,0.003821,0.000235,0.000000,0.000000,0.000000
21,86157.622723115,0.024283,-0.085307,0.000000,0.003603,0.004088,0.000602,0.000000,0.000000,0.000000
22,86157.627636445,0.024300,-0.085287,0.000000,0.003414,0.004190,0.001025,0.000000,0.000000,0.000000
23,86157.632580293,0.024317,-0.085266,0.000000,0.002738,0.004297,0.001470,0.000000,0.000000,0.000000
24,86157.637524140,0.024331,-0.085245,0.000000,0.001924,0.004430,0.002069,0.000000,0.000000,0.000000
25,86157.642467988,0.024340,-0.085223,0.000000,0.000778,0.004411,0.002484,0.000000,0.000000,0.000000
26,86157.647411836,0.024344,-0.085201,0.000000,-0.000397,0.004378,0.002824,0.000000,0.000000,0.000000
27,86157.652325166,0.024342,-0.085180,0.000000,-0.001482,0.004126,0.003190,0.000000,0.000000,0.000000
28,86157.657269013,0.024335,-0.085159,0.000000,-0.002287,0.003636,0.003460,0.000000,0.000000,0.000000
29,86157.662212861,0.024324,-0.085141,0.000000,-0.002906,0.003032,0.003658,0.000000,0.000000,0.000000
30,86157.667156709,0.024309,-0.085126,0.000000,-0.003285,0.002269,0.003696,0.000000,0.000000,0.000000
31,86157.672100556,0.024293,-0.085115,0.000000,-0.003473,0.001478,0.003733,0.000000,0.000000,0.000000
32,86157.677044404,0.024276,-0.085108,0.000000,-0.003399,0.000562,0.003719,0.000000,0.000000,0.000000
33,86157.681988252,0.024259,-0.085105,0.000000,-0.003081,-0.000355,0.003655,0.000000,0.000000,0.000000
34,86157.686932099,0.024244,-0.085107,0.000000,-0.002740,-0.001294,0.003524,0.000000,0.000000,0.000000
35,86157.691845429,0.024230,-0.085113,0.000000,-0.002486,-0.002153,0.003366,0.000000,0.000000,0.000000
36,86157.696789277,0.024218,-0.085124,0.000000,-0.002323,-0.002935,0.003162,0.000000,0.000000,0.000000
37,86157.701702607,0.024207,-0.085138,0.000000,-0.002219,-0.003570,0.003161,0.000000,0.000000,0.000000
38,86157.706646455,0.024196,-0.085156,0.000000,-0.002394,-0.004157,0.003211,0.000000,0.000000,0.000000
39,86157.711590302,0.024184,-0.085177,0.000000,-0.002826,-0.004896,0.003290,0.000000,0.000000,0.000000
40,86157.716534150,0.024170,-0.085201,0.000000,-0.003463,-0.005545,0.003184,0.000000,0.000000,0.000000
41,86157.721477998,0.024153,-0.085228,0.000000,-0.004128,-0.006041,0.003226,0.000000,0.000000,0.000000
42,86157.726421845,0.024132,-0.085258,0.000000,-0.004653,-0.006388,0.003247,0.000000,0.000000,0.000000
43,86157.731335175,0.024109,-0.085289,0.000000,-0.005185,-0.006638,0.003451,0.000000,0.000000,0.000000
44,86157.736279023,0.024084,-0.085322,0.000000,-0.005696,-0.006875,0.003659,0.000000,0.000000,0.000000
45,86157.741222871,0.024056,-0.085356,0.000000,-0.006083,-0.007050,0.003773,0.000000,0.000000,0.000000
46,86157.746166718,0.024026,-0.085391,0.000000,-0.006382,-0.007354,0.003877,0.000000,0.000000,0.000000
47,86157.751110566,0.023994,-0.085427,0.000000,-0.006574,-0.007796,0.003982,0.000000,0.000000,0.000000
48,86157.756023896,0.023962,-0.085466,0.000000,-0.006463,-0.008129,0.004201,0.000000,0.000000,0.000000
49,86157.760967744,0.023930,-0.085506,0.000000,-0.006355,-0.008357,0.004347,0.000000,0.000000,0.000000
50,86157.765942109,0.023898,-0.085547,0.000000,-0.006106,-0.008689,0.004372,0.000000,0.000000,0.000000
51,86157.770885957,0.023868,-0.085590,0.000000,-0.005762,-0.008970,0.004299,0.000000,0.000000,0.000000
52,86157.775829804,0.023839,-0.085635,0.000000,-0.005385,-0.009265,0.004387,0.000000,0.000000,0.000000
53,86157.780743134,0.023813,-0.085680,0.000000,-0.004899,-0.009512,0.004340,0.000000,0.000000,0.000000
54,86157.790630830,0.023765,-0.085774,0.000000,-0.004098,-0.010124,0.004350,0.000000,0.000000,0.000000
55,86157.795574677,0.023744,-0.085824,0.000000,-0.003760,-0.010419,0.004174,0.000000,0.000000,0.000000
56,86157.800518525,0.023726,-0.085876,0.000000,-0.003700,-0.010852,0.004132,0.000000,0.000000,0.000000
57,86157.805431855,0.023708,-0.085929,0.000000,-0.003633,-0.011166,0.004271,0.000000,0.000000,0.000000
58,86157.810375703,0.023690,-0.085984,0.000000,-0.003684,-0.011463,0.004392,0.000000,0.000000,0.000000
59,86157.815319550,0.023671,-0.086041,0.000000,-0.003780,-0.011598,0.004380,0.000000,0.000000,0.000000
60,86157.820263398,0.023653,-0.086098,0.000000,-0.004041,-0.011611,0.004335,0.000000,0.000000,0.000000
