,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86157.518993867,0.770984,1.405774,-0.170130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86157.523937714,0.770984,1.405774,-0.170130,-0.000710,-0.000346,-0.000017,-0.004246,-0.004112,0.008249
2,86157.528881562,0.770983,1.405771,-0.170131,-0.001592,-0.000717,-0.000278,-0.008493,-0.008224,0.016497
3,86157.533825410,0.770979,1.405763,-0.170132,-0.002492,-0.001289,-0.000639,-0.012739,-0.012336,0.024746
4,86157.538769257,0.770973,1.405751,-0.170135,-0.003333,-0.001739,-0.001042,-0.016985,-0.016447,0.032995
5,86157.543682587,0.770965,1.405734,-0.170141,-0.003964,-0.002266,-0.001542,-0.021206,-0.020534,0.041192
6,86157.548626435,0.770957,1.405713,-0.170149,-0.004416,-0.002743,-0.002143,-0.025452,-0.024646,0.049441
7,86157.553570283,0.770948,1.405689,-0.170160,-0.004727,-0.003079,-0.002768,-0.029698,-0.028758,0.057690
8,86157.558514130,0.770939,1.405663,-0.170174,-0.004993,-0.003272,-0.003243,-0.033945,-0.032870,0.065938
9,86157.563457978,0.770930,1.405635,-0.170190,-0.005171,-0.003371,-0.003597,-0.038191,-0.036981,0.074187
10,86157.568401826,0.770920,1.405606,-0.170208,-0.005443,-0.003210,-0.003733,-0.042437,-0.041093,0.082436
11,86157.573345673,0.770909,1.405577,-0.170227,-0.005639,-0.002768,-0.003590,-0.046684,-0.045205,0.090684
12,86157.578289521,0.770896,1.405550,-0.170245,-0.005868,-0.002248,-0.003250,-0.050930,-0.049317,0.098933
13,86157.583233369,0.770880,1.405523,-0.170262,-0.006033,-0.001522,-0.002809,-0.055176,-0.053429,0.107182
14,86157.588146699,0.770861,1.405499,-0.170276,-0.006220,-0.000817,-0.002360,-0.059396,-0.057515,0.115380
15,86157.593090546,0.770840,1.405477,-0.170288,-0.006193,-0.000213,-0.001912,-0.063643,-0.061627,0.123628
16,86157.598034394,0.770816,1.405457,-0.170297,-0.005999,0.000361,-0.001436,-0.067889,-0.065739,0.131877
17,86157.602947724,0.770792,1.405440,-0.170304,-0.005726,0.000852,-0.001032,-0.072109,-0.069826,0.140075
18,86157.607891572,0.770767,1.405426,-0.170310,-0.005444,0.001079,-0.000607,-0.076356,-0.073938,0.148323
19,86157.612835420,0.770743,1.405413,-0.170313,-0.005388,0.001114,-0.000184,-0.080602,-0.078049,0.156572
20,86157.617779267,0.770718,1.405401,-0.170314,-0.005666,0.001070,0.000275,-0.084848,-0.082161,0.164821
21,86157.622723115,0.770693,1.405388,-0.170312,-0.006465,0.001046,0.000645,-0.089095,-0.086273,0.173069
22,86157.627636445,0.770665,1.405372,-0.170309,-0.007655,0.000845,0.001072,-0.093315,-0.090360,0.181267
23,86157.632580293,0.770633,1.405352,-0.170304,-0.009386,0.000633,0.001522,-0.097561,-0.094472,0.189516
24,86157.637524140,0.770595,1.405325,-0.170297,-0.011304,0.000432,0.002126,-0.101808,-0.098583,0.197764
25,86157.642467988,0.770550,1.405292,-0.170286,-0.013601,0.000064,0.002546,-0.106054,-0.102695,0.206013
26,86157.647411836,0.770497,1.405250,-0.170274,-0.015974,-0.000332,0.002892,-0.110300,-0.106807,0.214262
27,86157.652325166,0.770437,1.405199,-0.170260,-0.018299,-0.000959,0.003266,-0.114520,-0.110894,0.222460
28,86157.657269013,0.770369,1.405139,-0.170245,-0.020399,-0.001841,0.003542,-0.118767,-0.115006,0.230708
29,86157.662212861,0.770296,1.405069,-0.170228,-0.022361,-0.002851,0.003748,-0.123013,-0.119117,0.238957
30,86157.667156709,0.770219,1.404989,-0.170210,-0.024131,-0.004035,0.003794,-0.127259,-0.123229,0.247206
31,86157.672100556,0.770138,1.404898,-0.170192,-0.025759,-0.005261,0.003839,-0.131506,-0.127341,0.255454
32,86157.677044404,0.770055,1.404798,-0.170174,-0.027172,-0.006627,0.003833,-0.135752,-0.131453,0.263703
33,86157.681988252,0.769970,1.404689,-0.170157,-0.028389,-0.008009,0.003778,-0.139998,-0.135565,0.271952
34,86157.686932099,0.769885,1.404570,-0.170139,-0.029630,-0.009426,0.003655,-0.144245,-0.139677,0.280200
35,86157.691845429,0.769800,1.404443,-0.170123,-0.030998,-0.010776,0.003505,-0.148465,-0.143763,0.288398
36,86157.696789277,0.769714,1.404305,-0.170107,-0.032513,-0.012066,0.003310,-0.152711,-0.147875,0.296647
37,86157.701702607,0.769626,1.404159,-0.170093,-0.034126,-0.013221,0.003318,-0.156931,-0.151962,0.304844
38,86157.706646455,0.769535,1.404003,-0.170078,-0.036075,-0.014345,0.003377,-0.161178,-0.156073,0.313093
39,86157.711590302,0.769440,1.403836,-0.170064,-0.038330,-0.015636,0.003466,-0.165424,-0.160185,0.321342
40,86157.716534150,0.769340,1.403657,-0.170049,-0.040837,-0.016852,0.003370,-0.169670,-0.164297,0.329590
41,86157.721477998,0.769234,1.403466,-0.170035,-0.043421,-0.017929,0.003423,-0.173917,-0.168409,0.337839
42,86157.726421845,0.769121,1.403262,-0.170020,-0.045912,-0.018872,0.003454,-0.178163,-0.172521,0.346088
43,86157.731335175,0.769003,1.403049,-0.170006,-0.048446,-0.019729,0.003670,-0.182383,-0.176607,0.354286
44,86157.736279023,0.768876,1.402823,-0.169991,-0.051020,-0.020590,0.003890,-0.186630,-0.180719,0.362534
45,86157.741222871,0.768742,1.402586,-0.169975,-0.053517,-0.021404,0.004015,-0.190876,-0.184831,0.370783
46,86157.746166718,0.768602,1.402338,-0.169958,-0.055975,-0.022362,0.004130,-0.195122,-0.188943,0.379032
47,86157.751110566,0.768454,1.402079,-0.169941,-0.058373,-0.023472,0.004247,-0.199369,-0.193055,0.387280
48,86157.756023896,0.768302,1.401810,-0.169923,-0.060502,-0.024482,0.004478,-0.203589,-0.197141,0.395478
49,86157.760967744,0.768144,1.401528,-0.169905,-0.062697,-0.025406,0.004635,-0.207835,-0.201253,0.403727
50,86157.765942109,0.767978,1.401235,-0.169885,-0.064813,-0.026453,0.004671,-0.212108,-0.205391,0.412026
51,86157.770885957,0.767810,1.400933,-0.169866,-0.066867,-0.027458,0.004609,-0.216354,-0.209502,0.420275
52,86157.775829804,0.767636,1.400620,-0.169847,-0.068938,-0.028492,0.004707,-0.220600,-0.213614,0.428524
53,86157.780743134,0.767458,1.400299,-0.169828,-0.070931,-0.029489,0.004670,-0.224821,-0.217701,0.436721
54,86157.790630830,0.767092,1.399633,-0.169791,-0.075217,-0.031634,0.004701,-0.233313,-0.225925,0.453219
55,86157.795574677,0.766898,1.399279,-0.169772,-0.077518,-0.032726,0.004534,-0.237560,-0.230036,0.461467
56,86157.800518525,0.766700,1.398913,-0.169754,-0.080145,-0.033969,0.004502,-0.241806,-0.234148,0.469716
57,86157.805431855,0.766496,1.398537,-0.169737,-0.082796,-0.035102,0.004651,-0.246026,-0.238235,0.477914
58,86157.810375703,0.766284,1.398146,-0.169719,-0.085631,-0.036237,0.004782,-0.250272,-0.242347,0.486162
59,86157.815319550,0.766065,1.397742,-0.169700,-0.088558,-0.037225,0.004780,-0.254519,-0.246458,0.494411
60,86157.820263398,0.765837,1.397325,-0.169682,-0.091698,-0.038105,0.004744,-0.258765,-0.250570,0.502660
61,86157.825207246,0.765600,1.396894,-0.169664,-0.095153,-0.038775,0.004789,-0.263011,-0.254682,0.510908
62,86157.830151093,0.765352,1.396451,-0.169646,-0.098653,-0.039364,0.004983,-0.267258,-0.258794,0.519157
63,86157.835064423,0.765093,1.395997,-0.169627,-0.102286,-0.039905,0.005089,-0.271478,-0.262881,0.527355
64,86157.839977753,0.764822,1.395530,-0.169608,-0.105989,-0.040118,0.005177,-0.275698,-0.266967,0.535553
65,86157.844921601,0.764536,1.395048,-0.169589,-0.109722,-0.040224,0.005179,-0.279944,-0.271079,0.543801
66,86157.849865449,0.764236,1.394554,-0.169569,-0.113274,-0.040236,0.005321,-0.284191,-0.275191,0.552050
67,86157.854809296,0.763922,1.394050,-0.169549,-0.116799,-0.040116,0.005417,-0.288437,-0.279303,0.560299
68,86157.859722627,0.763596,1.393537,-0.169529,-0.120131,-0.040108,0.005285,-0.292657,-0.283389,0.568496
69,86157.864666474,0.763256,1.393012,-0.169509,-0.123458,-0.040357,0.005145,-0.296904,-0.287501,0.576745
70,86157.869610322,0.762903,1.392475,-0.169490,-0.126719,-0.040543,0.005079,-0.301150,-0.291613,0.584994
71,86157.874584687,0.762536,1.391924,-0.169471,-0.129911,-0.040941,0.005039,-0.305423,-0.295750,0.593293
72,86157.879528535,0.762160,1.391365,-0.169453,-0.132915,-0.041507,0.004979,-0.309669,-0.299862,0.601542
73,86157.884472382,0.761774,1.390795,-0.169435,-0.135833,-0.042315,0.005303,-0.313915,-0.303974,0.609791
74,86157.889416230,0.761379,1.390213,-0.169416,-0.139014,-0.043303,0.005335,-0.318162,-0.308086,0.618039
75,86157.894329560,0.760977,1.389620,-0.169397,-0.142252,-0.044409,0.005339,-0.322382,-0.312172,0.626237
76,86157.899273408,0.760564,1.389010,-0.169377,-0.145893,-0.045406,0.005344,-0.326628,-0.316284,0.634486
77,86157.904217255,0.760140,1.388384,-0.169358,-0.149689,-0.046295,0.005471,-0.330874,-0.320396,0.642734
78,86157.909130586,0.759707,1.387748,-0.169339,-0.153821,-0.047321,0.005392,-0.335095,-0.324483,0.650932
79,86157.914074433,0.759258,1.387091,-0.169320,-0.158163,-0.048340,0.005305,-0.339341,-0.328594,0.659181
80,86157.919018281,0.758796,1.386416,-0.169302,-0.162656,-0.049371,0.005318,-0.343587,-0.332706,0.667430
81,86157.923962128,0.758319,1.385724,-0.169284,-0.167318,-0.050328,0.005280,-0.347834,-0.336818,0.675678
82,86157.928905976,0.757827,1.385013,-0.169266,-0.172109,-0.051363,0.005208,-0.352080,-0.340930,0.683927
83,86157.933819306,0.757323,1.384289,-0.169249,-0.176760,-0.052431,0.005043,-0.356300,-0.345017,0.692125
84,86157.938763154,0.756801,1.383541,-0.169233,-0.181317,-0.053649,0.004807,-0.360546,-0.349128,0.700373
85,86157.943707002,0.756266,1.382775,-0.169218,-0.185621,-0.054825,0.004523,-0.364793,-0.353240,0.708622
86,86157.948650849,0.755717,1.381991,-0.169205,-0.189707,-0.056034,0.004337,-0.369039,-0.357352,0.716871
87,86157.953594697,0.755156,1.381189,-0.169193,-0.193554,-0.057424,0.004034,-0.373285,-0.361464,0.725119
88,86157.958538545,0.754585,1.380371,-0.169183,-0.197246,-0.058793,0.003779,-0.377532,-0.365576,0.733368
89,86157.963451875,0.754007,1.379541,-0.169174,-0.200736,-0.059955,0.003511,-0.381752,-0.369662,0.741566
90,86157.968395722,0.753416,1.378690,-0.169166,-0.204263,-0.061209,0.003223,-0.385998,-0.373774,0.749814
91,86157.973339570,0.752814,1.377824,-0.169161,-0.207783,-0.062467,0.002788,-0.390245,-0.377886,0.758063
92,86157.978283418,0.752204,1.376942,-0.169157,-0.211471,-0.063757,0.002317,-0.394491,-0.381998,0.766312
93,86157.983227265,0.751582,1.376044,-0.169156,-0.215262,-0.065360,0.001985,-0.398737,-0.386110,0.774560
