,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,86752882192109,0.466949,9.972427,-0.464691,4.488134,-0.29895,8.924725,0.049103,-0.031219,-0.016418,-0.058828,-0.013751,-0.002337,0.159937,0.200098,0.693704,0.673169,-0.003121,0.00732
1,86752887135956,0.444214,9.956863,-0.530533,4.498646,-0.363157,8.902136,0.042709,-0.033356,-0.016418,-0.054326,-0.014186,-0.007324,0.160002,0.200143,0.6938,0.67304,-0.003076,0.007644
2,86752892049286,0.405304,9.967041,-0.494614,4.540751,-0.326883,8.889636,0.037384,-0.034424,-0.016418,-0.050227,-0.014542,-0.010857,0.160084,0.200173,0.69388,0.67293,-0.003038,0.008015
3,86752896993134,0.415482,9.969437,-0.467682,4.536039,-0.297099,8.894785,0.033127,-0.036545,-0.013214,-0.047426,-0.011649,-0.014922,0.160166,0.200212,0.693942,0.672835,-0.003006,0.008417
4,86752901967499,0.356827,9.952667,-0.634079,4.572521,-0.463703,8.857877,0.027802,-0.033356,-0.010025,-0.041078,-0.008763,-0.014895,0.160246,0.200247,0.694044,0.6727,-0.002981,0.008828
5,86752906911347,0.26944,9.963455,-0.601761,4.656643,-0.433735,8.822289,0.02034,-0.026962,-0.005753,-0.031243,-0.00488,-0.013185,0.160339,0.200248,0.694132,0.672587,-0.002962,0.009236
6,86752911855195,0.326889,9.978409,-0.552078,4.617582,-0.378441,8.860867,0.012878,-0.022705,0.001694,-0.022315,0.002147,-0.013479,0.160402,0.200264,0.694186,0.672511,-0.002947,0.009646
7,86752916799042,0.277206,9.990387,-0.555664,4.667533,-0.383202,8.846508,0.005432,-0.020569,0.00383,-0.014697,0.003843,-0.015378,0.160476,0.200264,0.694232,0.672446,-0.002936,0.010048
8,86752921712372,0.299957,9.927536,-0.502396,4.620002,-0.328653,8.800348,9.2e-05,-0.015244,0.005966,-0.007333,0.005723,-0.013471,0.160536,0.20026,0.694254,0.672411,-0.00293,0.010427
9,86752926656220,0.393936,9.949677,-0.574829,4.54633,-0.393825,8.868905,-0.002029,-0.006714,0.011292,-0.001031,0.011038,-0.007336,0.16054,0.200281,0.694285,0.672371,-0.002927,0.010788
10,86752931600068,0.421463,9.956268,-0.521545,4.52817,-0.338659,8.885827,-0.007355,0.000732,0.011292,0.007272,0.010822,-0.003485,0.160531,0.200291,0.694293,0.672362,-0.002927,0.011134
11,86752936543915,0.445999,9.970032,-0.5401,4.51279,-0.355357,8.91069,-0.010559,0.000732,0.011292,0.010054,0.010622,-0.005062,0.160514,0.200308,0.694298,0.672355,-0.002929,0.011472
12,86752941487763,0.4478,9.96524,-0.547882,4.508401,-0.363114,8.907815,-0.01268,0.002869,0.013412,0.01305,0.012638,-0.004343,0.160491,0.200325,0.694302,0.672352,-0.002929,0.011805
13,86752946431611,0.426254,9.976013,-0.475464,4.535544,-0.292546,8.903488,-0.014816,0.006058,0.011292,0.016382,0.010439,-0.002527,0.160478,0.20032,0.694287,0.672373,-0.002929,0.01214
14,86752951375458,0.423859,9.996368,-0.472473,4.547703,-0.289927,8.919908,-0.014816,0.002869,0.011292,0.014807,0.010389,-0.005298,0.160472,0.200319,0.694269,0.672393,-0.002926,0.01248
15,86752956319306,0.510056,10.028091,-0.523346,4.485822,-0.335317,8.992299,-0.014816,0.007126,0.013412,0.01701,0.012569,-0.001691,0.160427,0.200342,0.694259,0.672406,-0.00292,0.012825
16,86752961263154,0.5298,9.996964,-0.495819,4.453762,-0.307974,8.974123,-0.015884,0.017776,0.015549,0.023298,0.014797,0.00695,0.160357,0.200354,0.694242,0.672437,-0.002912,0.013178
17,86752966176484,0.532791,9.993378,-0.5,4.448047,-0.312829,8.973214,-0.015884,0.025238,0.013412,0.026883,0.012775,0.013536,0.160277,0.200351,0.69423,0.67247,-0.002889,0.013836
18,86752971120331,0.545364,9.976013,-0.515564,4.426647,-0.328525,8.965537,-0.015884,0.025238,0.012344,0.026833,0.011706,0.013587,0.160193,0.20035,0.694222,0.672498,-0.002862,0.014499
19,86752976064179,0.581284,9.994568,-0.450317,4.406619,-0.262129,8.996936,-0.015884,0.022049,0.010223,0.025159,0.009537,0.010911,0.160113,0.200355,0.694193,0.672545,-0.002833,0.015176
20,86752980977509,0.599228,10.050232,-0.408432,4.419745,-0.219888,9.052636,-0.014816,0.014587,0.007019,0.020398,0.006291,0.005091,0.16005,0.200368,0.694151,0.672599,-0.002802,0.015862
21,86752985921357,0.575897,10.069992,-0.417404,4.448937,-0.231303,9.058925,-0.011627,0.007126,0.009155,0.014049,0.008509,7.8e-05,0.160001,0.200392,0.694116,0.672641,-0.00277,0.016557
22,86752990865204,0.519623,10.061615,-0.376709,4.495518,-0.195437,9.022193,-0.005234,-0.001389,0.009155,0.004296,0.008786,-0.004183,0.15998,0.20041,0.694081,0.672676,-0.002737,0.017257
23,86752995809052,0.501663,10.011932,-0.370712,4.48684,-0.192068,8.969893,-0.000961,-0.003525,0.005966,-0.000621,0.005841,-0.003799,0.159968,0.200421,0.694056,0.672701,-0.002703,0.017972
24,86753000722382,0.488495,10.006546,-0.404831,4.493968,-0.227315,8.960253,0.003296,-0.005661,0.005966,-0.005372,0.006079,-0.003564,0.159956,0.200432,0.694049,0.672709,-0.002667,0.018692
25,86753005666230,0.481323,9.989792,-0.412613,4.491533,-0.235911,8.942492,0.003296,-0.005661,0.004898,-0.005422,0.005013,-0.003517,0.159947,0.20044,0.694045,0.672712,-0.002629,0.019426
26,86753010610077,0.475937,9.968842,-0.406036,4.486168,-0.230072,8.921343,0.004364,-0.003525,0.002762,-0.005398,0.00298,-0.001041,0.159942,0.200444,0.694043,0.672714,-0.002589,0.020164
27,86753015553925,0.450195,10.017319,-0.367126,4.534304,-0.192421,8.949131,0.006485,0.002869,0.004898,-0.003983,0.005338,0.00547,0.159945,0.200442,0.694033,0.672724,-0.002547,0.02091
28,86753020497773,0.483719,9.997559,-0.404831,4.493389,-0.228145,8.950226,0.01181,0.005005,0.007019,-0.007453,0.007822,0.009852,0.159919,0.200449,0.694042,0.67272,-0.002504,0.021648
29,86753025441620,0.496277,9.975418,-0.402435,4.471322,-0.225153,8.937217,0.015015,0.007126,0.009155,-0.009088,0.010188,0.013179,0.159881,0.200461,0.694054,0.672713,-0.002456,0.022425
30,86753030354950,0.496277,9.964645,-0.388672,4.466471,-0.211466,8.927346,0.017136,0.003937,0.009155,-0.012503,0.010276,0.011447,0.159849,0.200479,0.694064,0.672705,-0.002408,0.023196
31,86753035298798,0.463364,9.943695,-0.388672,4.484622,-0.21352,8.893004,0.018204,0.001801,0.007019,-0.014586,0.008182,0.010208,0.159833,0.200487,0.694079,0.672691,-0.002359,0.023967
32,86753040242646,0.509445,9.949677,-0.382095,4.44788,-0.203915,8.92057,0.017136,-0.001389,0.008087,-0.015181,0.009135,0.006861,0.159808,0.200514,0.694085,0.672683,-0.002309,0.024746
