,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86756.178914521,0.156272,0.499813,-0.233607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86756.183827851,0.156272,0.499813,-0.233607,0.000372,-0.000135,-0.000041,-0.000038,-0.000001,-0.000046
2,86756.188771698,0.156271,0.499815,-0.233608,0.000578,-0.000035,-0.000163,-0.000077,-0.000002,-0.000092
3,86756.193685029,0.156270,0.499818,-0.233608,0.000920,0.000136,-0.000350,-0.000115,-0.000003,-0.000138
4,86756.198598359,0.156267,0.499821,-0.233610,0.000996,0.000562,-0.000540,-0.000153,-0.000004,-0.000184
5,86756.203534992,0.156262,0.499824,-0.233613,0.001157,0.000943,-0.000783,-0.000191,-0.000006,-0.000230
6,86756.208478840,0.156255,0.499826,-0.233617,0.001288,0.001452,-0.000984,-0.000230,-0.000007,-0.000276
7,86756.213422688,0.156246,0.499827,-0.233622,0.001591,0.001955,-0.001162,-0.000268,-0.000008,-0.000322
8,86756.218336018,0.156233,0.499829,-0.233628,0.001798,0.002392,-0.001347,-0.000307,-0.000009,-0.000368
9,86756.223310383,0.156219,0.499830,-0.233635,0.002116,0.002741,-0.001417,-0.000345,-0.000010,-0.000414
10,86756.228254231,0.156202,0.499831,-0.233642,0.002592,0.003097,-0.001429,-0.000384,-0.000011,-0.000461
11,86756.233167561,0.156182,0.499833,-0.233650,0.003210,0.003339,-0.001273,-0.000422,-0.000012,-0.000506
12,86756.238111408,0.156160,0.499838,-0.233657,0.003903,0.003268,-0.001104,-0.000460,-0.000013,-0.000553
13,86756.243024738,0.156136,0.499845,-0.233663,0.004767,0.003192,-0.000976,-0.000498,-0.000014,-0.000598
14,86756.247968586,0.156110,0.499856,-0.233668,0.005473,0.003059,-0.000939,-0.000537,-0.000015,-0.000645
15,86756.252912434,0.156083,0.499870,-0.233673,0.006144,0.002914,-0.001016,-0.000575,-0.000017,-0.000691
16,86756.257856281,0.156054,0.499888,-0.233679,0.006607,0.002542,-0.001000,-0.000614,-0.000018,-0.000737
17,86756.262800129,0.156026,0.499908,-0.233684,0.006959,0.002189,-0.000931,-0.000652,-0.000019,-0.000783
18,86756.267713459,0.155998,0.499931,-0.233689,0.007217,0.001873,-0.000882,-0.000690,-0.000020,-0.000829
19,86756.272657307,0.155971,0.499956,-0.233694,0.007243,0.001507,-0.000713,-0.000729,-0.000021,-0.000875
20,86756.277601154,0.155945,0.499982,-0.233698,0.007170,0.001074,-0.000730,-0.000767,-0.000022,-0.000921
21,86756.282545002,0.155921,0.500008,-0.233702,0.007003,0.000712,-0.000821,-0.000806,-0.000023,-0.000967
22,86756.287488850,0.155899,0.500035,-0.233706,0.006767,0.000424,-0.000929,-0.000844,-0.000024,-0.001013
23,86756.292402180,0.155880,0.500062,-0.233711,0.006535,0.000014,-0.001050,-0.000882,-0.000025,-0.001059
24,86756.297346027,0.155862,0.500089,-0.233716,0.006109,-0.000168,-0.001171,-0.000921,-0.000026,-0.001105
25,86756.302289875,0.155846,0.500115,-0.233722,0.005826,-0.000415,-0.001249,-0.000959,-0.000028,-0.001152
26,86756.307233723,0.155832,0.500140,-0.233729,0.005526,-0.000780,-0.001377,-0.000998,-0.000029,-0.001198
27,86756.312177570,0.155820,0.500165,-0.233736,0.005305,-0.001169,-0.001519,-0.001036,-0.000030,-0.001244
28,86756.317121418,0.155811,0.500190,-0.233743,0.004809,-0.001584,-0.001627,-0.001075,-0.000031,-0.001290
29,86756.322034748,0.155805,0.500214,-0.233751,0.004322,-0.001995,-0.001673,-0.001113,-0.000032,-0.001336
30,86756.327009113,0.155801,0.500238,-0.233759,0.003962,-0.002487,-0.001662,-0.001151,-0.000033,-0.001382
31,86756.331952961,0.155801,0.500261,-0.233767,0.003539,-0.002967,-0.001683,-0.001190,-0.000034,-0.001429
32,86756.336896809,0.155804,0.500284,-0.233775,0.003232,-0.003382,-0.001762,-0.001228,-0.000035,-0.001475
33,86756.341840656,0.155809,0.500306,-0.233784,0.003239,-0.003862,-0.001726,-0.001267,-0.000036,-0.001521
34,86756.346784504,0.155817,0.500330,-0.233792,0.003373,-0.004210,-0.001635,-0.001305,-0.000038,-0.001567
35,86756.351697834,0.155825,0.500355,-0.233800,0.003467,-0.004481,-0.001471,-0.001343,-0.000039,-0.001613
36,86756.356641682,0.155834,0.500382,-0.233807,0.003575,-0.004443,-0.001455,-0.001382,-0.000040,-0.001659
37,86756.361585529,0.155843,0.500409,-0.233813,0.003600,-0.004221,-0.001541,-0.001420,-0.000041,-0.001705
