,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86756.178914521,0.160516,0.549573,-0.246037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86756.183827851,0.160516,0.549573,-0.246037,0.000372,-0.000135,-0.000041,-0.000161,0.000018,0.000052
2,86756.188771698,0.160515,0.549574,-0.246037,0.000578,-0.000034,-0.000163,-0.000323,0.000037,0.000105
3,86756.193685029,0.160514,0.549577,-0.246038,0.000920,0.000139,-0.000350,-0.000485,0.000055,0.000158
4,86756.198598359,0.160511,0.549580,-0.246040,0.000995,0.000567,-0.000540,-0.000646,0.000073,0.000210
5,86756.203534992,0.160506,0.549583,-0.246042,0.001156,0.000950,-0.000783,-0.000808,0.000092,0.000263
6,86756.208478840,0.160499,0.549585,-0.246046,0.001287,0.001464,-0.000985,-0.000970,0.000110,0.000316
7,86756.213422688,0.160490,0.549587,-0.246051,0.001591,0.001971,-0.001163,-0.001132,0.000128,0.000369
8,86756.218336018,0.160478,0.549588,-0.246057,0.001797,0.002414,-0.001347,-0.001293,0.000147,0.000421
9,86756.223310383,0.160463,0.549589,-0.246064,0.002116,0.002769,-0.001418,-0.001457,0.000165,0.000474
10,86756.228254231,0.160446,0.549591,-0.246072,0.002591,0.003133,-0.001430,-0.001619,0.000183,0.000527
11,86756.233167561,0.160426,0.549593,-0.246079,0.003209,0.003382,-0.001274,-0.001780,0.000202,0.000580
12,86756.238111408,0.160404,0.549598,-0.246086,0.003902,0.003320,-0.001105,-0.001942,0.000220,0.000632
13,86756.243024738,0.160380,0.549605,-0.246092,0.004765,0.003253,-0.000977,-0.002104,0.000238,0.000685
14,86756.247968586,0.160354,0.549616,-0.246097,0.005471,0.003131,-0.000940,-0.002266,0.000257,0.000738
15,86756.252912434,0.160326,0.549631,-0.246102,0.006141,0.002997,-0.001017,-0.002428,0.000275,0.000791
16,86756.257856281,0.160297,0.549648,-0.246108,0.006605,0.002636,-0.001002,-0.002590,0.000293,0.000843
17,86756.262800129,0.160269,0.549669,-0.246113,0.006956,0.002296,-0.000933,-0.002752,0.000312,0.000896
18,86756.267713459,0.160241,0.549692,-0.246118,0.007213,0.001994,-0.000885,-0.002914,0.000330,0.000949
19,86756.272657307,0.160214,0.549716,-0.246123,0.007239,0.001641,-0.000715,-0.003076,0.000348,0.001002
20,86756.277601154,0.160188,0.549742,-0.246127,0.007166,0.001223,-0.000732,-0.003238,0.000367,0.001054
21,86756.282545002,0.160163,0.549769,-0.246131,0.006999,0.000877,-0.000824,-0.003400,0.000385,0.001107
22,86756.287488850,0.160141,0.549796,-0.246135,0.006762,0.000605,-0.000932,-0.003562,0.000404,0.001160
23,86756.292402180,0.160121,0.549822,-0.246140,0.006530,0.000213,-0.001053,-0.003724,0.000422,0.001213
24,86756.297346027,0.160103,0.549849,-0.246146,0.006103,0.000049,-0.001175,-0.003886,0.000440,0.001265
25,86756.302289875,0.160086,0.549874,-0.246152,0.005820,-0.000180,-0.001253,-0.004048,0.000459,0.001318
26,86756.307233723,0.160072,0.549899,-0.246158,0.005519,-0.000525,-0.001382,-0.004210,0.000477,0.001371
27,86756.312177570,0.160059,0.549923,-0.246165,0.005297,-0.000893,-0.001524,-0.004373,0.000495,0.001424
28,86756.317121418,0.160049,0.549948,-0.246172,0.004801,-0.001287,-0.001633,-0.004535,0.000514,0.001477
29,86756.322034748,0.160042,0.549971,-0.246180,0.004313,-0.001676,-0.001679,-0.004696,0.000532,0.001529
30,86756.327009113,0.160038,0.549994,-0.246189,0.003953,-0.002145,-0.001669,-0.004859,0.000551,0.001582
31,86756.331952961,0.160036,0.550016,-0.246197,0.003529,-0.002601,-0.001690,-0.005021,0.000569,0.001635
32,86756.336896809,0.160038,0.550038,-0.246205,0.003221,-0.002991,-0.001770,-0.005184,0.000587,0.001688
33,86756.341840656,0.160042,0.550059,-0.246213,0.003228,-0.003446,-0.001734,-0.005346,0.000606,0.001741
34,86756.346784504,0.160048,0.550082,-0.246222,0.003361,-0.003768,-0.001644,-0.005508,0.000624,0.001794
