,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86756.178914521,0.046935,0.479237,-0.243438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86756.183827851,0.046935,0.479237,-0.243438,0.000372,-0.000135,-0.000041,-0.000101,-0.000088,-0.000592
2,86756.188771698,0.046935,0.479239,-0.243438,0.000580,-0.000036,-0.000163,-0.000202,-0.000176,-0.001188
3,86756.193685029,0.046934,0.479242,-0.243439,0.000927,0.000132,-0.000350,-0.000303,-0.000264,-0.001781
4,86756.198598359,0.046933,0.479246,-0.243441,0.001010,0.000554,-0.000540,-0.000404,-0.000352,-0.002373
5,86756.203534992,0.046929,0.479250,-0.243444,0.001180,0.000928,-0.000783,-0.000505,-0.000441,-0.002968
6,86756.208478840,0.046923,0.479255,-0.243448,0.001323,0.001431,-0.000985,-0.000606,-0.000529,-0.003564
7,86756.213422688,0.046915,0.479260,-0.243453,0.001641,0.001925,-0.001162,-0.000708,-0.000617,-0.004160
8,86756.218336018,0.046904,0.479266,-0.243458,0.001864,0.002352,-0.001347,-0.000808,-0.000705,-0.004752
9,86756.223310383,0.046891,0.479272,-0.243465,0.002201,0.002690,-0.001417,-0.000910,-0.000794,-0.005352
10,86756.228254231,0.046876,0.479280,-0.243473,0.002698,0.003033,-0.001429,-0.001012,-0.000883,-0.005948
11,86756.233167561,0.046859,0.479290,-0.243480,0.003340,0.003260,-0.001273,-0.001112,-0.000971,-0.006540
12,86756.238111408,0.046839,0.479302,-0.243487,0.004059,0.003174,-0.001104,-0.001214,-0.001059,-0.007136
13,86756.243024738,0.046820,0.479319,-0.243492,0.004951,0.003081,-0.000976,-0.001315,-0.001147,-0.007728
14,86756.247968586,0.046800,0.479339,-0.243497,0.005688,0.002930,-0.000939,-0.001416,-0.001236,-0.008324
15,86756.252912434,0.046780,0.479363,-0.243502,0.006392,0.002764,-0.001016,-0.001517,-0.001324,-0.008920
16,86756.257856281,0.046760,0.479391,-0.243508,0.006891,0.002371,-0.001000,-0.001619,-0.001413,-0.009516
17,86756.262800129,0.046741,0.479422,-0.243513,0.007281,0.001995,-0.000931,-0.001720,-0.001501,-0.010112
18,86756.267713459,0.046724,0.479455,-0.243517,0.007578,0.001655,-0.000882,-0.001821,-0.001589,-0.010704
19,86756.272657307,0.046707,0.479490,-0.243522,0.007647,0.001263,-0.000713,-0.001922,-0.001677,-0.011300
20,86756.277601154,0.046693,0.479525,-0.243525,0.007619,0.000803,-0.000729,-0.002024,-0.001766,-0.011896
21,86756.282545002,0.046681,0.479561,-0.243529,0.007500,0.000413,-0.000821,-0.002125,-0.001854,-0.012492
22,86756.287488850,0.046671,0.479597,-0.243533,0.007313,0.000094,-0.000929,-0.002226,-0.001943,-0.013088
23,86756.292402180,0.046663,0.479632,-0.243537,0.007133,-0.000346,-0.001049,-0.002327,-0.002031,-0.013681
24,86756.297346027,0.046657,0.479667,-0.243542,0.006761,-0.000562,-0.001170,-0.002429,-0.002119,-0.014277
25,86756.302289875,0.046653,0.479700,-0.243548,0.006535,-0.000843,-0.001248,-0.002530,-0.002208,-0.014873
26,86756.307233723,0.046650,0.479733,-0.243554,0.006294,-0.001244,-0.001376,-0.002631,-0.002296,-0.015469
27,86756.312177570,0.046649,0.479764,-0.243560,0.006134,-0.001669,-0.001519,-0.002733,-0.002385,-0.016065
28,86756.317121418,0.046651,0.479796,-0.243568,0.005703,-0.002123,-0.001626,-0.002834,-0.002473,-0.016660
29,86756.322034748,0.046655,0.479825,-0.243575,0.005282,-0.002575,-0.001673,-0.002935,-0.002561,-0.017253
30,86756.327009113,0.046662,0.479854,-0.243583,0.004991,-0.003108,-0.001661,-0.003037,-0.002650,-0.017852
31,86756.331952961,0.046672,0.479881,-0.243591,0.004638,-0.003631,-0.001682,-0.003138,-0.002738,-0.018448
32,86756.336896809,0.046684,0.479908,-0.243599,0.004405,-0.004090,-0.001761,-0.003240,-0.002827,-0.019044
33,86756.341840656,0.046700,0.479934,-0.243607,0.004487,-0.004616,-0.001725,-0.003341,-0.002915,-0.019640
34,86756.346784504,0.046717,0.479960,-0.243615,0.004699,-0.005011,-0.001634,-0.003442,-0.003004,-0.020236
35,86756.351697834,0.046736,0.479988,-0.243622,0.004874,-0.005331,-0.001470,-0.003543,-0.003092,-0.020829
36,86756.356641682,0.046757,0.480018,-0.243629,0.005064,-0.005344,-0.001453,-0.003644,-0.003180,-0.021425
37,86756.361585529,0.046777,0.480048,-0.243635,0.005174,-0.005173,-0.001540,-0.003746,-0.003269,-0.022021
38,86756.366529377,0.046797,0.480078,-0.243642,0.005362,-0.004851,-0.001694,-0.003847,-0.003357,-0.022616
39,86756.371473225,0.046815,0.480110,-0.243650,0.005612,-0.004530,-0.001782,-0.003949,-0.003446,-0.023212
40,86756.376386555,0.046831,0.480141,-0.243658,0.005850,-0.004154,-0.002074,-0.004049,-0.003534,-0.023805
41,86756.381330402,0.046845,0.480174,-0.243668,0.006050,-0.003749,-0.002306,-0.004151,-0.003622,-0.024401
42,86756.386274250,0.046856,0.480208,-0.243678,0.006119,-0.003493,-0.002443,-0.004252,-0.003711,-0.024997
43,86756.391218098,0.046867,0.480241,-0.243690,0.006188,-0.003148,-0.002586,-0.004353,-0.003799,-0.025593
