,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86756.178914521,1.871991,1.951781,-0.246763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86756.183827851,1.871991,1.951781,-0.246763,0.000372,-0.000135,-0.000041,-0.001263,0.001510,0.009136
2,86756.188771698,1.871991,1.951782,-0.246763,0.000545,-0.000002,-0.000164,-0.002533,0.003030,0.018329
3,86756.193685029,1.871990,1.951785,-0.246764,0.000822,0.000235,-0.000351,-0.003796,0.004540,0.027466
4,86756.198598359,1.871987,1.951788,-0.246765,0.000799,0.000759,-0.000542,-0.005058,0.006050,0.036602
5,86756.203534992,1.871981,1.951789,-0.246768,0.000829,0.001270,-0.000785,-0.006327,0.007568,0.045781
6,86756.208478840,1.871974,1.951790,-0.246772,0.000796,0.001944,-0.000988,-0.007597,0.009087,0.054974
7,86756.213422688,1.871964,1.951788,-0.246778,0.000903,0.002645,-0.001168,-0.008868,0.010607,0.064167
8,86756.218336018,1.871951,1.951786,-0.246784,0.000880,0.003311,-0.001354,-0.010130,0.012117,0.073304
9,86756.223310383,1.871935,1.951781,-0.246791,0.000934,0.003925,-0.001427,-0.011409,0.013646,0.082553
10,86756.228254231,1.871916,1.951775,-0.246799,0.001113,0.004578,-0.001441,-0.012679,0.015166,0.091746
11,86756.233167561,1.871894,1.951769,-0.246807,0.001404,0.005147,-0.001288,-0.013942,0.016676,0.100883
12,86756.238111408,1.871869,1.951762,-0.246815,0.001736,0.005439,-0.001122,-0.015212,0.018195,0.110076
13,86756.243024738,1.871842,1.951756,-0.246821,0.002207,0.005757,-0.000998,-0.016475,0.019706,0.119212
14,86756.247968586,1.871812,1.951751,-0.246828,0.002485,0.006053,-0.000965,-0.017745,0.021225,0.128405
15,86756.252912434,1.871780,1.951746,-0.246834,0.002695,0.006369,-0.001047,-0.019015,0.022745,0.137598
16,86756.257856281,1.871746,1.951741,-0.246840,0.002665,0.006491,-0.001035,-0.020286,0.024264,0.146791
17,86756.262800129,1.871712,1.951737,-0.246847,0.002490,0.006666,-0.000972,-0.021556,0.025784,0.155984
18,86756.267713459,1.871678,1.951731,-0.246853,0.002191,0.006907,-0.000929,-0.022819,0.027294,0.165120
19,86756.272657307,1.871643,1.951723,-0.246859,0.001625,0.007134,-0.000766,-0.024089,0.028814,0.174313
20,86756.277601154,1.871609,1.951712,-0.246864,0.000927,0.007328,-0.000789,-0.025360,0.030333,0.183506
