,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,86756.178914521,0.052830,0.419975,-0.005288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,86756.183827851,0.052830,0.419975,0.000000,0.000372,-0.000135,-0.000041,0.000000,0.000000,0.000000
2,86756.188771698,0.052832,0.419974,0.000000,0.000577,-0.000035,-0.000163,0.000000,0.000000,0.000000
3,86756.193685029,0.052835,0.419974,0.000000,0.000919,0.000136,-0.000350,0.000000,0.000000,0.000000
4,86756.198598359,0.052839,0.419975,0.000000,0.000994,0.000562,-0.000541,0.000000,0.000000,0.000000
5,86756.203534992,0.052844,0.419978,0.000000,0.001154,0.000942,-0.000783,0.000000,0.000000,0.000000
6,86756.208478840,0.052850,0.419982,0.000000,0.001283,0.001452,-0.000985,0.000000,0.000000,0.000000
7,86756.213422688,0.052856,0.419989,0.000000,0.001585,0.001954,-0.001163,0.000000,0.000000,0.000000
8,86756.218336018,0.052864,0.419999,0.000000,0.001790,0.002392,-0.001347,0.000000,0.000000,0.000000
9,86756.223310383,0.052873,0.420011,0.000000,0.002106,0.002740,-0.001418,0.000000,0.000000,0.000000
10,86756.228254231,0.052883,0.420024,0.000000,0.002578,0.003097,-0.001430,0.000000,0.000000,0.000000
11,86756.233167561,0.052896,0.420040,0.000000,0.003194,0.003338,-0.001274,0.000000,0.000000,0.000000
12,86756.238111408,0.052912,0.420056,0.000000,0.003884,0.003267,-0.001105,0.000000,0.000000,0.000000
13,86756.243024738,0.052931,0.420072,0.000000,0.004744,0.003191,-0.000978,0.000000,0.000000,0.000000
14,86756.247968586,0.052954,0.420088,0.000000,0.005446,0.003058,-0.000941,0.000000,0.000000,0.000000
15,86756.252912434,0.052981,0.420103,0.000000,0.006113,0.002913,-0.001018,0.000000,0.000000,0.000000
16,86756.257856281,0.053011,0.420118,0.000000,0.006572,0.002540,-0.001003,0.000000,0.000000,0.000000
17,86756.262800129,0.053044,0.420130,0.000000,0.006919,0.002187,-0.000934,0.000000,0.000000,0.000000
18,86756.267713459,0.053078,0.420141,0.000000,0.007172,0.001871,-0.000886,0.000000,0.000000,0.000000
19,86756.272657307,0.053113,0.420150,0.000000,0.007193,0.001504,-0.000717,0.000000,0.000000,0.000000
20,86756.277601154,0.053149,0.420158,0.000000,0.007114,0.001072,-0.000734,0.000000,0.000000,0.000000
21,86756.282545002,0.053184,0.420163,0.000000,0.006941,0.000709,-0.000826,0.000000,0.000000,0.000000
22,86756.287488850,0.053218,0.420166,0.000000,0.006699,0.000420,-0.000934,0.000000,0.000000,0.000000
23,86756.292402180,0.053251,0.420168,0.000000,0.006461,0.000011,-0.001055,0.000000,0.000000,0.000000
