,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,-0.037644,-0.078972,-0.038675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,-0.037644,-0.078972,-0.038675,-0.000245,0.000398,-0.000245,0.000000,0.000000,0.000000
2,971470.260370644,-0.037645,-0.078970,-0.038676,-0.000576,0.000778,-0.000462,0.000000,0.000000,0.000000
3,971470.265314492,-0.037648,-0.078966,-0.038678,-0.000870,0.001034,-0.000704,0.000000,0.000000,0.000000
4,971470.270227822,-0.037652,-0.078961,-0.038682,-0.001027,0.001221,-0.000822,0.000000,0.000000,0.000000
5,971470.275202187,-0.037657,-0.078955,-0.038686,-0.001328,0.001342,-0.000947,0.000000,0.000000,0.000000
6,971470.280115517,-0.037664,-0.078948,-0.038691,-0.001653,0.001401,-0.001043,0.000000,0.000000,0.000000
7,971470.285028847,-0.037672,-0.078942,-0.038696,-0.001860,0.001439,-0.001067,0.000000,0.000000,0.000000
8,971470.289972695,-0.037681,-0.078934,-0.038701,-0.002069,0.001231,-0.001245,0.000000,0.000000,0.000000
9,971470.294916543,-0.037692,-0.078928,-0.038707,-0.002193,0.001097,-0.001265,0.000000,0.000000,0.000000
10,971470.299860390,-0.037702,-0.078923,-0.038714,-0.002134,0.001019,-0.001149,0.000000,0.000000,0.000000
11,971470.304773720,-0.037713,-0.078918,-0.038719,-0.002133,0.000887,-0.001148,0.000000,0.000000,0.000000
12,971470.309717568,-0.037723,-0.078914,-0.038725,-0.002130,0.000809,-0.000959,0.000000,0.000000,0.000000
13,971470.314661416,-0.037734,-0.078910,-0.038730,-0.002064,0.000777,-0.000815,0.000000,0.000000,0.000000
14,971470.319605263,-0.037744,-0.078906,-0.038734,-0.002031,0.000512,-0.000696,0.000000,0.000000,0.000000
15,971470.324549111,-0.037754,-0.078903,-0.038737,-0.001919,0.000329,-0.000752,0.000000,0.000000,0.000000
16,971470.329431923,-0.037764,-0.078902,-0.038741,-0.001675,0.000247,-0.000951,0.000000,0.000000,0.000000
17,971470.334375771,-0.037772,-0.078900,-0.038745,-0.001327,0.000087,-0.000990,0.000000,0.000000,0.000000
