,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,-0.037644,-0.078972,-0.038675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,-0.037644,-0.078972,-0.038675,-0.000245,0.000398,-0.000245,-0.000048,-0.000020,-0.000194
2,971470.260370644,-0.037645,-0.078970,-0.038676,-0.000576,0.000779,-0.000462,-0.000097,-0.000039,-0.000389
3,971470.265314492,-0.037648,-0.078966,-0.038678,-0.000871,0.001037,-0.000704,-0.000145,-0.000059,-0.000583
4,971470.270227822,-0.037652,-0.078961,-0.038682,-0.001028,0.001227,-0.000821,-0.000194,-0.000078,-0.000776
5,971470.275202187,-0.037657,-0.078955,-0.038686,-0.001330,0.001352,-0.000947,-0.000242,-0.000098,-0.000972
6,971470.280115517,-0.037664,-0.078948,-0.038691,-0.001655,0.001416,-0.001042,-0.000291,-0.000117,-0.001165
7,971470.285028847,-0.037672,-0.078941,-0.038696,-0.001864,0.001460,-0.001066,-0.000339,-0.000136,-0.001358
8,971470.289972695,-0.037681,-0.078934,-0.038701,-0.002073,0.001259,-0.001244,-0.000387,-0.000156,-0.001553
9,971470.294916543,-0.037692,-0.078928,-0.038707,-0.002198,0.001132,-0.001264,-0.000436,-0.000175,-0.001747
10,971470.299860390,-0.037702,-0.078922,-0.038713,-0.002141,0.001063,-0.001148,-0.000484,-0.000195,-0.001941
11,971470.304773720,-0.037713,-0.078917,-0.038719,-0.002141,0.000941,-0.001146,-0.000532,-0.000214,-0.002134
12,971470.309717568,-0.037724,-0.078912,-0.038725,-0.002141,0.000874,-0.000956,-0.000581,-0.000234,-0.002329
13,971470.314661416,-0.037734,-0.078908,-0.038730,-0.002076,0.000854,-0.000812,-0.000629,-0.000253,-0.002523
14,971470.319605263,-0.037744,-0.078904,-0.038734,-0.002045,0.000602,-0.000693,-0.000678,-0.000273,-0.002718
15,971470.324549111,-0.037755,-0.078901,-0.038737,-0.001935,0.000432,-0.000749,-0.000726,-0.000292,-0.002912
