,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,2.517095,0.736633,-0.341964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,2.517095,0.736633,-0.341964,-0.000454,-0.000104,-0.000247,-0.000038,-0.000171,-0.001382
2,971470.260370644,2.517094,0.736631,-0.341965,-0.000925,-0.000293,-0.000469,-0.000076,-0.000343,-0.002764
3,971470.265314492,2.517091,0.736627,-0.341967,-0.001272,-0.000482,-0.000716,-0.000114,-0.000514,-0.004147
4,971470.270227822,2.517089,0.736621,-0.341971,-0.001518,-0.000563,-0.000836,-0.000152,-0.000684,-0.005520
5,971470.275202187,2.517085,0.736613,-0.341975,-0.001752,-0.000799,-0.000967,-0.000190,-0.000857,-0.006911
6,971470.280115517,2.517082,0.736604,-0.341979,-0.001940,-0.001075,-0.001070,-0.000228,-0.001027,-0.008285
7,971470.285028847,2.517079,0.736594,-0.341984,-0.002079,-0.001244,-0.001098,-0.000265,-0.001197,-0.009658
8,971470.289972695,2.517076,0.736582,-0.341989,-0.001991,-0.001485,-0.001282,-0.000303,-0.001369,-0.011041
9,971470.294916543,2.517074,0.736570,-0.341995,-0.001952,-0.001623,-0.001306,-0.000341,-0.001540,-0.012423
10,971470.299860390,2.517073,0.736557,-0.342001,-0.001918,-0.001573,-0.001190,-0.000379,-0.001711,-0.013805
11,971470.304773720,2.517072,0.736545,-0.342007,-0.001856,-0.001587,-0.001189,-0.000417,-0.001882,-0.015179
12,971470.309717568,2.517071,0.736533,-0.342012,-0.001851,-0.001586,-0.001000,-0.000455,-0.002053,-0.016561
13,971470.314661416,2.517070,0.736520,-0.342017,-0.001877,-0.001506,-0.000855,-0.000493,-0.002225,-0.017943
14,971470.319605263,2.517069,0.736508,-0.342021,-0.001699,-0.001527,-0.000737,-0.000531,-0.002396,-0.019325
15,971470.324549111,2.517068,0.736497,-0.342024,-0.001579,-0.001441,-0.000792,-0.000569,-0.002567,-0.020707
16,971470.329431923,2.517068,0.736487,-0.342028,-0.001521,-0.001192,-0.000986,-0.000607,-0.002736,-0.022072
17,971470.334375771,2.517067,0.736477,-0.342033,-0.001363,-0.000870,-0.001018,-0.000645,-0.002908,-0.023455
18,971470.339319619,2.517065,0.736469,-0.342037,-0.001384,-0.000572,-0.000890,-0.000683,-0.003079,-0.024837
19,971470.344263466,2.517062,0.736462,-0.342042,-0.001403,-0.000176,-0.000815,-0.000721,-0.003251,-0.026219
20,971470.349207314,2.517058,0.736456,-0.342045,-0.001378,0.000428,-0.000868,-0.000759,-0.003422,-0.027601
21,971470.354151162,2.517051,0.736453,-0.342049,-0.001348,0.000966,-0.000738,-0.000797,-0.003593,-0.028983
22,971470.359095009,2.517043,0.736451,-0.342053,-0.001345,0.001513,-0.000725,-0.000835,-0.003765,-0.030366
23,971470.364038857,2.517033,0.736452,-0.342056,-0.001237,0.002132,-0.000862,-0.000873,-0.003936,-0.031748
24,971470.368982705,2.517021,0.736455,-0.342060,-0.000935,0.002794,-0.000905,-0.000911,-0.004107,-0.033130
25,971470.373926552,2.517008,0.736461,-0.342064,-0.000545,0.003363,-0.000984,-0.000949,-0.004279,-0.034512
26,971470.378839882,2.516994,0.736470,-0.342069,-0.000287,0.003968,-0.001067,-0.000986,-0.004449,-0.035886
27,971470.383783730,2.516979,0.736483,-0.342074,-0.000018,0.004722,-0.000883,-0.001024,-0.004620,-0.037268
28,971470.388727578,2.516962,0.736499,-0.342078,0.000211,0.005392,-0.000732,-0.001062,-0.004792,-0.038650
29,971470.393671425,2.516944,0.736518,-0.342082,0.000369,0.006034,-0.000683,-0.001100,-0.004963,-0.040032
30,971470.398615273,2.516923,0.736540,-0.342085,0.000494,0.006703,-0.000495,-0.001138,-0.005134,-0.041415
31,971470.403528603,2.516901,0.736565,-0.342088,0.000530,0.007219,-0.000472,-0.001176,-0.005305,-0.042788
