,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,-0.037644,-0.078972,-0.038675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,-0.037644,-0.078972,-0.038675,-0.000454,-0.000104,-0.000247,0.000000,0.000000,0.000000
2,971470.260370644,-0.037646,-0.078973,-0.038676,-0.000918,-0.000296,-0.000469,0.000000,0.000000,0.000000
3,971470.265314492,-0.037651,-0.078974,-0.038679,-0.001253,-0.000490,-0.000716,0.000000,0.000000,0.000000
4,971470.270227822,-0.037657,-0.078976,-0.038682,-0.001480,-0.000578,-0.000836,0.000000,0.000000,0.000000
5,971470.275202187,-0.037664,-0.078979,-0.038686,-0.001688,-0.000824,-0.000967,0.000000,0.000000,0.000000
6,971470.280115517,-0.037673,-0.078983,-0.038691,-0.001844,-0.001112,-0.001070,0.000000,0.000000,0.000000
7,971470.285028847,-0.037682,-0.078989,-0.038696,-0.001945,-0.001297,-0.001098,0.000000,0.000000,0.000000
8,971470.289972695,-0.037691,-0.078995,-0.038702,-0.001812,-0.001555,-0.001283,0.000000,0.000000,0.000000
9,971470.294916543,-0.037700,-0.079003,-0.038708,-0.001722,-0.001714,-0.001307,0.000000,0.000000,0.000000
10,971470.299860390,-0.037709,-0.079011,-0.038714,-0.001630,-0.001685,-0.001191,0.000000,0.000000,0.000000
11,971470.304773720,-0.037717,-0.079020,-0.038720,-0.001504,-0.001725,-0.001190,0.000000,0.000000,0.000000
12,971470.309717568,-0.037724,-0.079028,-0.038726,-0.001429,-0.001751,-0.001001,0.000000,0.000000,0.000000
13,971470.314661416,-0.037731,-0.079037,-0.038731,-0.001378,-0.001702,-0.000857,0.000000,0.000000,0.000000
14,971470.319605263,-0.037738,-0.079045,-0.038735,-0.001116,-0.001755,-0.000739,0.000000,0.000000,0.000000
15,971470.324549111,-0.037744,-0.079054,-0.038739,-0.000907,-0.001704,-0.000794,0.000000,0.000000,0.000000
16,971470.329431923,-0.037748,-0.079062,-0.038743,-0.000754,-0.001492,-0.000988,0.000000,0.000000,0.000000
17,971470.334375771,-0.037752,-0.079070,-0.038748,-0.000494,-0.001211,-0.001020,0.000000,0.000000,0.000000
18,971470.339319619,-0.037754,-0.079076,-0.038753,-0.000406,-0.000954,-0.000892,0.000000,0.000000,0.000000
19,971470.344263466,-0.037756,-0.079080,-0.038757,-0.000310,-0.000604,-0.000818,0.000000,0.000000,0.000000
20,971470.349207314,-0.037758,-0.079083,-0.038761,-0.000163,-0.000048,-0.000871,0.000000,0.000000,0.000000
21,971470.354151162,-0.037759,-0.079084,-0.038766,-0.000005,0.000440,-0.000741,0.000000,0.000000,0.000000
22,971470.359095009,-0.037759,-0.079081,-0.038769,0.000133,0.000934,-0.000729,0.000000,0.000000,0.000000
23,971470.364038857,-0.037758,-0.079077,-0.038773,0.000382,0.001498,-0.000866,0.000000,0.000000,0.000000
24,971470.368982705,-0.037756,-0.079069,-0.038777,0.000830,0.002103,-0.000909,0.000000,0.000000,0.000000
25,971470.373926552,-0.037752,-0.079059,-0.038782,0.001374,0.002611,-0.000989,0.000000,0.000000,0.000000
26,971470.378839882,-0.037745,-0.079046,-0.038786,0.001792,0.003154,-0.001072,0.000000,0.000000,0.000000
27,971470.383783730,-0.037736,-0.079030,-0.038792,0.002227,0.003843,-0.000888,0.000000,0.000000,0.000000
28,971470.388727578,-0.037725,-0.079011,-0.038796,0.002629,0.004446,-0.000737,0.000000,0.000000,0.000000
29,971470.393671425,-0.037712,-0.078990,-0.038800,0.002967,0.005018,-0.000689,0.000000,0.000000,0.000000
30,971470.398615273,-0.037698,-0.078965,-0.038803,0.003277,0.005614,-0.000502,0.000000,0.000000,0.000000
31,971470.403528603,-0.037682,-0.078937,-0.038806,0.003505,0.006055,-0.000479,0.000000,0.000000,0.000000
32,971470.408472451,-0.037664,-0.078907,-0.038808,0.003881,0.006496,-0.000468,0.000000,0.000000,0.000000
33,971470.413416298,-0.037645,-0.078875,-0.038810,0.004102,0.006925,-0.000526,0.000000,0.000000,0.000000
34,971470.418360146,-0.037625,-0.078841,-0.038813,0.004178,0.007332,-0.000548,0.000000,0.000000,0.000000
35,971470.423303994,-0.037604,-0.078805,-0.038816,0.004440,0.007672,-0.000601,0.000000,0.000000,0.000000
36,971470.428217324,-0.037582,-0.078767,-0.038819,0.004674,0.008070,-0.000669,0.000000,0.000000,0.000000
37,971470.433161171,-0.037559,-0.078727,-0.038822,0.004770,0.008348,-0.000796,0.000000,0.000000,0.000000
38,971470.438105019,-0.037536,-0.078686,-0.038826,0.004965,0.008689,-0.001198,0.000000,0.000000,0.000000
39,971470.443048867,-0.037511,-0.078643,-0.038832,0.004982,0.009118,-0.001518,0.000000,0.000000,0.000000
40,971470.447992714,-0.037486,-0.078598,-0.038839,0.004945,0.009380,-0.001746,0.000000,0.000000,0.000000
41,971470.452936562,-0.037462,-0.078551,-0.038848,0.004891,0.009572,-0.001924,0.000000,0.000000,0.000000
42,971470.457880410,-0.037438,-0.078504,-0.038857,0.004934,0.009819,-0.002052,0.000000,0.000000,0.000000
43,971470.462793740,-0.037414,-0.078456,-0.038868,0.005054,0.009860,-0.002162,0.000000,0.000000,0.000000
