,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,0.100241,-0.061729,-0.225993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,0.100241,-0.061729,-0.225993,-0.000341,-0.000318,-0.000247,-0.000066,0.000008,0.000058
2,971470.260370644,0.100240,-0.061727,-0.225995,-0.000645,-0.000717,-0.000469,-0.000132,0.000015,0.000116
3,971470.265314492,0.100237,-0.061723,-0.225997,-0.000837,-0.001054,-0.000716,-0.000198,0.000023,0.000173
4,971470.270227822,0.100232,-0.061718,-0.226000,-0.000987,-0.001244,-0.000836,-0.000263,0.000030,0.000231
5,971470.275202187,0.100227,-0.061712,-0.226005,-0.001043,-0.001563,-0.000967,-0.000330,0.000038,0.000289
6,971470.280115517,0.100221,-0.061706,-0.226009,-0.001032,-0.001892,-0.001070,-0.000395,0.000045,0.000346
7,971470.285028847,0.100212,-0.061699,-0.226014,-0.001024,-0.002104,-0.001098,-0.000461,0.000053,0.000404
8,971470.289972695,0.100203,-0.061692,-0.226020,-0.000777,-0.002262,-0.001282,-0.000527,0.000060,0.000462
9,971470.294916543,0.100192,-0.061687,-0.226026,-0.000617,-0.002357,-0.001306,-0.000593,0.000068,0.000520
10,971470.299860390,0.100181,-0.061682,-0.226032,-0.000549,-0.002289,-0.001190,-0.000659,0.000075,0.000577
11,971470.304773720,0.100171,-0.061677,-0.226038,-0.000417,-0.002263,-0.001189,-0.000724,0.000083,0.000635
12,971470.309717568,0.100160,-0.061673,-0.226044,-0.000336,-0.002251,-0.001000,-0.000790,0.000090,0.000693
13,971470.314661416,0.100149,-0.061669,-0.226049,-0.000313,-0.002186,-0.000855,-0.000856,0.000098,0.000750
14,971470.319605263,0.100139,-0.061666,-0.226053,-0.000055,-0.002104,-0.000737,-0.000922,0.000105,0.000808
15,971470.324549111,0.100129,-0.061664,-0.226056,0.000105,-0.001959,-0.000792,-0.000988,0.000113,0.000866
16,971470.329431923,0.100119,-0.061663,-0.226060,0.000136,-0.001703,-0.000985,-0.001054,0.000120,0.000923
17,971470.334375771,0.100110,-0.061662,-0.226065,0.000225,-0.001334,-0.001017,-0.001120,0.000128,0.000981
18,971470.339319619,0.100104,-0.061662,-0.226069,0.000178,-0.001073,-0.000889,-0.001186,0.000135,0.001039
19,971470.344263466,0.100098,-0.061662,-0.226074,0.000091,-0.000727,-0.000814,-0.001251,0.000143,0.001097
20,971470.349207314,0.100095,-0.061662,-0.226078,-0.000055,-0.000178,-0.000867,-0.001317,0.000150,0.001154
21,971470.354151162,0.100094,-0.061661,-0.226082,-0.000157,0.000318,-0.000737,-0.001383,0.000158,0.001212
22,971470.359095009,0.100095,-0.061661,-0.226086,-0.000279,0.000809,-0.000724,-0.001449,0.000165,0.001270
23,971470.364038857,0.100099,-0.061660,-0.226089,-0.000339,0.001415,-0.000861,-0.001515,0.000173,0.001328
24,971470.368982705,0.100106,-0.061660,-0.226094,-0.000248,0.002157,-0.000904,-0.001581,0.000180,0.001386
25,971470.373926552,0.100117,-0.061661,-0.226098,-0.000025,0.002863,-0.000983,-0.001647,0.000188,0.001443
26,971470.378839882,0.100131,-0.061663,-0.226103,0.000073,0.003535,-0.001065,-0.001713,0.000195,0.001501
27,971470.383783730,0.100148,-0.061667,-0.226109,0.000111,0.004341,-0.000881,-0.001779,0.000203,0.001559
28,971470.388727578,0.100169,-0.061672,-0.226114,0.000165,0.005057,-0.000730,-0.001845,0.000210,0.001617
29,971470.393671425,0.100193,-0.061677,-0.226118,0.000179,0.005713,-0.000681,-0.001911,0.000218,0.001674
30,971470.398615273,0.100220,-0.061684,-0.226122,0.000158,0.006376,-0.000493,-0.001977,0.000226,0.001732
31,971470.403528603,0.100251,-0.061690,-0.226125,0.000143,0.006863,-0.000470,-0.002042,0.000233,0.001790
32,971470.408472451,0.100284,-0.061697,-0.226127,0.000257,0.007425,-0.000458,-0.002108,0.000241,0.001847
33,971470.413416298,0.100320,-0.061705,-0.226130,0.000243,0.007897,-0.000515,-0.002174,0.000248,0.001905
34,971470.418360146,0.100358,-0.061714,-0.226134,0.000115,0.008278,-0.000537,-0.002240,0.000256,0.001963
35,971470.423303994,0.100398,-0.061722,-0.226137,0.000182,0.008694,-0.000589,-0.002306,0.000263,0.002021
36,971470.428217324,0.100440,-0.061731,-0.226141,0.000197,0.009146,-0.000656,-0.002372,0.000271,0.002078
37,971470.433161171,0.100484,-0.061740,-0.226145,0.000152,0.009424,-0.000783,-0.002438,0.000278,0.002136
38,971470.438105019,0.100530,-0.061750,-0.226149,0.000161,0.009806,-0.001183,-0.002504,0.000286,0.002194
39,971470.443048867,0.100577,-0.061760,-0.226156,-0.000028,0.010175,-0.001503,-0.002570,0.000293,0.002252
