,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,0.214499,-0.035957,-0.198286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,0.214499,-0.035957,-0.198286,-0.000341,-0.000318,-0.000247,-0.000059,-0.000004,-0.000038
2,971470.260370644,0.214498,-0.035959,-0.198287,-0.000646,-0.000717,-0.000469,-0.000118,-0.000007,-0.000075
3,971470.265314492,0.214496,-0.035963,-0.198289,-0.000838,-0.001054,-0.000716,-0.000177,-0.000011,-0.000113
4,971470.270227822,0.214494,-0.035970,-0.198292,-0.000990,-0.001245,-0.000835,-0.000236,-0.000014,-0.000151
5,971470.275202187,0.214491,-0.035977,-0.198296,-0.001048,-0.001563,-0.000967,-0.000295,-0.000018,-0.000189
6,971470.280115517,0.214488,-0.035986,-0.198301,-0.001039,-0.001892,-0.001070,-0.000354,-0.000021,-0.000226
7,971470.285028847,0.214486,-0.035997,-0.198306,-0.001034,-0.002104,-0.001098,-0.000413,-0.000024,-0.000264
8,971470.289972695,0.214484,-0.036008,-0.198311,-0.000790,-0.002263,-0.001282,-0.000472,-0.000028,-0.000301
9,971470.294916543,0.214484,-0.036020,-0.198317,-0.000634,-0.002358,-0.001306,-0.000531,-0.000031,-0.000339
10,971470.299860390,0.214484,-0.036032,-0.198323,-0.000571,-0.002290,-0.001190,-0.000590,-0.000035,-0.000377
11,971470.304773720,0.214485,-0.036044,-0.198329,-0.000443,-0.002264,-0.001188,-0.000649,-0.000038,-0.000414
12,971470.309717568,0.214486,-0.036055,-0.198335,-0.000367,-0.002253,-0.001000,-0.000708,-0.000042,-0.000452
13,971470.314661416,0.214488,-0.036067,-0.198339,-0.000350,-0.002188,-0.000855,-0.000767,-0.000045,-0.000490
14,971470.319605263,0.214489,-0.036078,-0.198343,-0.000098,-0.002107,-0.000737,-0.000826,-0.000049,-0.000528
15,971470.324549111,0.214492,-0.036088,-0.198347,0.000055,-0.001962,-0.000791,-0.000885,-0.000052,-0.000565
16,971470.329431923,0.214495,-0.036097,-0.198351,0.000079,-0.001706,-0.000985,-0.000943,-0.000056,-0.000603
17,971470.334375771,0.214498,-0.036105,-0.198355,0.000160,-0.001337,-0.001017,-0.001002,-0.000059,-0.000640
18,971470.339319619,0.214500,-0.036111,-0.198360,0.000106,-0.001077,-0.000889,-0.001062,-0.000063,-0.000678
19,971470.344263466,0.214502,-0.036116,-0.198365,0.000010,-0.000732,-0.000814,-0.001121,-0.000066,-0.000716
20,971470.349207314,0.214503,-0.036119,-0.198369,-0.000145,-0.000182,-0.000866,-0.001180,-0.000070,-0.000754
21,971470.354151162,0.214503,-0.036121,-0.198373,-0.000256,0.000313,-0.000737,-0.001239,-0.000073,-0.000791
22,971470.359095009,0.214501,-0.036120,-0.198377,-0.000389,0.000803,-0.000724,-0.001298,-0.000077,-0.000829
23,971470.364038857,0.214498,-0.036116,-0.198380,-0.000460,0.001409,-0.000861,-0.001357,-0.000080,-0.000867
24,971470.368982705,0.214494,-0.036111,-0.198384,-0.000379,0.002150,-0.000903,-0.001416,-0.000084,-0.000905
25,971470.373926552,0.214489,-0.036101,-0.198389,-0.000167,0.002855,-0.000982,-0.001475,-0.000087,-0.000942
26,971470.378839882,0.214483,-0.036088,-0.198394,-0.000082,0.003526,-0.001064,-0.001534,-0.000091,-0.000980
27,971470.383783730,0.214478,-0.036072,-0.198399,-0.000055,0.004333,-0.000880,-0.001593,-0.000094,-0.001018
28,971470.388727578,0.214471,-0.036051,-0.198404,-0.000014,0.005047,-0.000729,-0.001652,-0.000098,-0.001055
29,971470.393671425,0.214463,-0.036028,-0.198408,-0.000014,0.005703,-0.000680,-0.001711,-0.000101,-0.001093
30,971470.398615273,0.214454,-0.036001,-0.198412,-0.000049,0.006365,-0.000492,-0.001770,-0.000105,-0.001131
31,971470.403528603,0.214444,-0.035971,-0.198414,-0.000078,0.006851,-0.000469,-0.001829,-0.000108,-0.001168
32,971470.408472451,0.214434,-0.035939,-0.198417,0.000021,0.007412,-0.000457,-0.001888,-0.000112,-0.001206
33,971470.413416298,0.214423,-0.035904,-0.198420,-0.000008,0.007884,-0.000514,-0.001947,-0.000115,-0.001244
34,971470.418360146,0.214411,-0.035867,-0.198423,-0.000151,0.008264,-0.000535,-0.002006,-0.000119,-0.001282
