,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971470.250482949,1.849984,1.728496,-0.363325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971470.255426796,1.849984,1.728496,-0.363325,-0.000341,-0.000318,-0.000247,-0.000598,0.000190,0.001793
2,971470.260370644,1.849983,1.728499,-0.363326,-0.000637,-0.000718,-0.000469,-0.001196,0.000379,0.003586
3,971470.265314492,1.849981,1.728503,-0.363329,-0.000810,-0.001058,-0.000716,-0.001794,0.000569,0.005379
4,971470.270227822,1.849977,1.728508,-0.363332,-0.000934,-0.001254,-0.000836,-0.002388,0.000758,0.007160
5,971470.275202187,1.849972,1.728514,-0.363336,-0.000954,-0.001578,-0.000967,-0.002990,0.000948,0.008964
6,971470.280115517,1.849966,1.728521,-0.363341,-0.000899,-0.001915,-0.001070,-0.003584,0.001137,0.010746
7,971470.285028847,1.849958,1.728528,-0.363346,-0.000838,-0.002136,-0.001098,-0.004179,0.001326,0.012528
8,971470.289972695,1.849949,1.728535,-0.363352,-0.000529,-0.002305,-0.001283,-0.004777,0.001515,0.014321
9,971470.294916543,1.849939,1.728540,-0.363358,-0.000298,-0.002412,-0.001307,-0.005375,0.001705,0.016113
10,971470.299860390,1.849928,1.728545,-0.363364,-0.000151,-0.002358,-0.001191,-0.005973,0.001895,0.017906
11,971470.304773720,1.849917,1.728549,-0.363370,0.000070,-0.002347,-0.001190,-0.006567,0.002083,0.019688
12,971470.309717568,1.849905,1.728552,-0.363375,0.000249,-0.002352,-0.001001,-0.007165,0.002273,0.021481
13,971470.314661416,1.849894,1.728555,-0.363380,0.000378,-0.002305,-0.000856,-0.007763,0.002463,0.023274
14,971470.319605263,1.849882,1.728556,-0.363384,0.000752,-0.002244,-0.000739,-0.008361,0.002652,0.025066
15,971470.324549111,1.849871,1.728556,-0.363387,0.001036,-0.002120,-0.000793,-0.008959,0.002842,0.026859
16,971470.329431923,1.849859,1.728554,-0.363391,0.001198,-0.001887,-0.000987,-0.009550,0.003029,0.028630
17,971470.334375771,1.849848,1.728551,-0.363395,0.001429,-0.001542,-0.001019,-0.010148,0.003219,0.030423
18,971470.339319619,1.849839,1.728547,-0.363400,0.001533,-0.001307,-0.000891,-0.010746,0.003409,0.032216
19,971470.344263466,1.849830,1.728541,-0.363404,0.001605,-0.000989,-0.000817,-0.011343,0.003598,0.034009
20,971470.349207314,1.849823,1.728535,-0.363408,0.001628,-0.000468,-0.000870,-0.011941,0.003788,0.035801
21,971470.354151162,1.849818,1.728528,-0.363412,0.001704,-0.000003,-0.000740,-0.012539,0.003978,0.037594
22,971470.359095009,1.849816,1.728520,-0.363415,0.001768,0.000455,-0.000728,-0.013137,0.004167,0.039387
23,971470.364038857,1.849815,1.728511,-0.363418,0.001903,0.001028,-0.000865,-0.013735,0.004357,0.041180
24,971470.368982705,1.849817,1.728500,-0.363423,0.002199,0.001735,-0.000908,-0.014333,0.004547,0.042973
25,971470.373926552,1.849822,1.728487,-0.363427,0.002635,0.002404,-0.000987,-0.014931,0.004737,0.044766
26,971470.378839882,1.849829,1.728471,-0.363432,0.002952,0.003038,-0.001070,-0.015526,0.004925,0.046547
27,971470.383783730,1.849839,1.728453,-0.363437,0.003222,0.003805,-0.000886,-0.016124,0.005115,0.048340
28,971470.388727578,1.849852,1.728432,-0.363441,0.003515,0.004479,-0.000735,-0.016722,0.005304,0.050133
29,971470.393671425,1.849868,1.728408,-0.363445,0.003777,0.005092,-0.000687,-0.017320,0.005494,0.051926
30,971470.398615273,1.849886,1.728383,-0.363448,0.004014,0.005711,-0.000499,-0.017918,0.005684,0.053719
31,971470.403528603,1.849907,1.728356,-0.363451,0.004263,0.006152,-0.000477,-0.018512,0.005872,0.055500
32,971470.408472451,1.849929,1.728326,-0.363453,0.004652,0.006666,-0.000466,-0.019110,0.006062,0.057293
33,971470.413416298,1.849954,1.728295,-0.363455,0.004922,0.007090,-0.000523,-0.019708,0.006252,0.059086
34,971470.418360146,1.849980,1.728261,-0.363458,0.005088,0.007420,-0.000545,-0.020306,0.006441,0.060879
35,971470.423303994,1.850007,1.728226,-0.363461,0.005456,0.007784,-0.000598,-0.020904,0.006631,0.062672
36,971470.428217324,1.850036,1.728189,-0.363464,0.005779,0.008182,-0.000665,-0.021498,0.006820,0.064454
37,971470.433161171,1.850066,1.728149,-0.363467,0.006054,0.008405,-0.000793,-0.022096,0.007009,0.066246
38,971470.438105019,1.850096,1.728108,-0.363471,0.006392,0.008729,-0.001194,-0.022694,0.007199,0.068039
39,971470.443048867,1.850128,1.728065,-0.363477,0.006540,0.009040,-0.001514,-0.023292,0.007389,0.069832
40,971470.447992714,1.850160,1.728020,-0.363485,0.006735,0.009176,-0.001741,-0.023890,0.007578,0.071625
41,971470.452936562,1.850193,1.727975,-0.363493,0.006960,0.009242,-0.001920,-0.024488,0.007768,0.073418
42,971470.457880410,1.850226,1.727928,-0.363503,0.007251,0.009402,-0.002048,-0.025086,0.007958,0.075211
43,971470.462793740,1.850260,1.727880,-0.363513,0.007718,0.009420,-0.002157,-0.025681,0.008146,0.076992
44,971470.467737587,1.850292,1.727830,-0.363523,0.008048,0.009583,-0.002198,-0.026279,0.008336,0.078785
45,971470.472681435,1.850325,1.727777,-0.363534,0.008275,0.009639,-0.002274,-0.026877,0.008526,0.080578
46,971470.477625283,1.850358,1.727724,-0.363545,0.008492,0.009762,-0.002375,-0.027475,0.008716,0.082371
47,971470.482538613,1.850391,1.727669,-0.363557,0.008720,0.009890,-0.002406,-0.028069,0.008904,0.084153
48,971470.487482460,1.850424,1.727613,-0.363568,0.009115,0.010144,-0.002547,-0.028667,0.009094,0.085945
49,971470.492426308,1.850458,1.727555,-0.363581,0.009622,0.010334,-0.002819,-0.029265,0.009283,0.087738
50,971470.497370156,1.850492,1.727494,-0.363594,0.010131,0.010402,-0.003052,-0.029863,0.009473,0.089531
51,971470.502314003,1.850526,1.727430,-0.363609,0.010885,0.010592,-0.003104,-0.030461,0.009663,0.091324
52,971470.507227334,1.850559,1.727364,-0.363624,0.011365,0.010561,-0.003116,-0.031055,0.009851,0.093106
53,971470.512171181,1.850592,1.727294,-0.363639,0.011693,0.010407,-0.002864,-0.031653,0.010041,0.094899
54,971470.517115029,1.850623,1.727223,-0.363652,0.011902,0.010270,-0.002543,-0.032251,0.010231,0.096691
55,971470.522058876,1.850654,1.727151,-0.363664,0.012131,0.010126,-0.002504,-0.032849,0.010420,0.098484
56,971470.527002724,1.850683,1.727079,-0.363676,0.012279,0.009904,-0.002420,-0.033447,0.010610,0.100277
57,971470.531946572,1.850711,1.727006,-0.363688,0.012574,0.009723,-0.002334,-0.034045,0.010800,0.102070
58,971470.536890419,1.850738,1.726932,-0.363698,0.012919,0.009621,-0.002324,-0.034643,0.010990,0.103863
59,971470.541834267,1.850764,1.726857,-0.363709,0.013129,0.009614,-0.002376,-0.035241,0.011179,0.105656
60,971470.546778115,1.850790,1.726780,-0.363720,0.013361,0.009561,-0.002300,-0.035839,0.011369,0.107448
61,971470.551691445,1.850814,1.726703,-0.363730,0.013620,0.009377,-0.002183,-0.036434,0.011557,0.109230
62,971470.556635293,1.850838,1.726625,-0.363740,0.013918,0.009293,-0.002139,-0.037032,0.011747,0.111023
63,971470.561548623,1.850861,1.726546,-0.363750,0.014256,0.009178,-0.002253,-0.037626,0.011936,0.112805
64,971470.566492470,1.850883,1.726465,-0.363760,0.014614,0.008951,-0.002389,-0.038224,0.012125,0.114598
65,971470.571436318,1.850903,1.726383,-0.363771,0.014944,0.008558,-0.002416,-0.038822,0.012315,0.116390
66,971470.576380166,1.850921,1.726299,-0.363781,0.015312,0.008283,-0.002564,-0.039420,0.012505,0.118183
67,971470.581293496,1.850937,1.726215,-0.363793,0.015784,0.008054,-0.002797,-0.040014,0.012693,0.119965
68,971470.586237343,1.850951,1.726128,-0.363805,0.016286,0.007779,-0.003008,-0.040612,0.012883,0.121758
69,971470.591181191,1.850963,1.726040,-0.363819,0.016809,0.007396,-0.003119,-0.041210,0.013073,0.123551
70,971470.596125039,1.850973,1.725949,-0.363832,0.017396,0.007029,-0.003221,-0.041808,0.013262,0.125344
71,971470.601068886,1.850980,1.725856,-0.363847,0.018015,0.006748,-0.003337,-0.042406,0.013452,0.127136
72,971470.606012734,1.850984,1.725761,-0.363861,0.018650,0.006407,-0.003511,-0.043004,0.013642,0.128929
73,971470.610926064,1.850986,1.725664,-0.363877,0.019204,0.006036,-0.003673,-0.043598,0.013830,0.130711
74,971470.615869912,1.850986,1.725564,-0.363893,0.019870,0.005668,-0.003943,-0.044196,0.014020,0.132504
75,971470.620813759,1.850983,1.725461,-0.363910,0.020450,0.005209,-0.004256,-0.044794,0.014210,0.134297
76,971470.625757607,1.850976,1.725357,-0.363929,0.020981,0.004748,-0.004438,-0.045392,0.014399,0.136090
77,971470.630670937,1.850967,1.725251,-0.363948,0.021498,0.004314,-0.004564,-0.045987,0.014588,0.137871
78,971470.635614785,1.850955,1.725143,-0.363968,0.022279,0.003916,-0.004626,-0.046585,0.014778,0.139664
79,971470.640558632,1.850940,1.725032,-0.363988,0.023008,0.003383,-0.004633,-0.047183,0.014967,0.141457
80,971470.645502480,1.850921,1.724918,-0.364008,0.023876,0.002830,-0.004562,-0.047781,0.015157,0.143250
81,971470.650446328,1.850898,1.724800,-0.364028,0.024720,0.002358,-0.004588,-0.048379,0.015347,0.145043
82,971470.655390175,1.850872,1.724680,-0.364047,0.025560,0.001933,-0.004538,-0.048977,0.015536,0.146835
83,971470.660334023,1.850843,1.724556,-0.364066,0.026409,0.001502,-0.004326,-0.049575,0.015726,0.148628
84,971470.665247353,1.850810,1.724430,-0.364084,0.027056,0.001064,-0.004133,-0.050169,0.015915,0.150410
85,971470.670191201,1.850775,1.724300,-0.364101,0.027859,0.000700,-0.004013,-0.050767,0.016104,0.152203
86,971470.675135048,1.850736,1.724167,-0.364117,0.028689,0.000347,-0.004015,-0.051365,0.016294,0.153996
87,971470.680078896,1.850695,1.724031,-0.364133,0.029530,0.000060,-0.004032,-0.051963,0.016484,0.155789
88,971470.684992226,1.850651,1.723892,-0.364149,0.030397,-0.000275,-0.004118,-0.052557,0.016672,0.157570
89,971470.689936074,1.850604,1.723749,-0.364165,0.031231,-0.000565,-0.004158,-0.053155,0.016862,0.159363
90,971470.694879921,1.850555,1.723602,-0.364181,0.032131,-0.000936,-0.004243,-0.053753,0.017052,0.161156
91,971470.699823769,1.850502,1.723451,-0.364197,0.032871,-0.001203,-0.004259,-0.054351,0.017241,0.162949
92,971470.704767617,1.850447,1.723298,-0.364214,0.033596,-0.001415,-0.004198,-0.054949,0.017431,0.164742
93,971470.709680947,1.850391,1.723142,-0.364229,0.034404,-0.001687,-0.004047,-0.055544,0.017620,0.166523
94,971470.714624794,1.850331,1.722982,-0.364244,0.035194,-0.002014,-0.003913,-0.056142,0.017809,0.168316
95,971470.719568642,1.850269,1.722819,-0.364259,0.036235,-0.002107,-0.003733,-0.056740,0.017999,0.170109
96,971470.724512490,1.850205,1.722650,-0.364272,0.037289,-0.002245,-0.003528,-0.057338,0.018189,0.171902
