,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,971875337251068,0.523224,10.083755,0.01535,-1.055804,-0.125439,-10.041191,-0.017822,0.218658,0.029358,-0.049746,0.028214,-0.213823,0.698981,0.710089,-0.078767,-0.031532,-0.001931,-0.008012
1,971875342194915,0.62677,10.008942,0.040482,-0.929964,-0.105389,-9.984854,-0.015701,0.212265,0.029358,-0.046436,0.028166,-0.207883,0.699063,0.710062,-0.078448,-0.031114,-0.001643,-0.00807
2,971875347138763,0.642334,10.005341,-0.04631,-0.909024,-0.192489,-9.982889,-0.003983,0.21759,0.026169,-0.035684,0.024147,-0.214918,0.699121,0.71006,-0.078116,-0.030689,-0.001344,-0.00814
3,971875352082611,0.633957,10.074783,-0.095978,-0.920818,-0.242008,-10.050167,0.001343,0.210144,0.024033,-0.029209,0.021735,-0.208361,0.699166,0.710069,-0.077794,-0.03028,-0.001035,-0.008222
4,971875357026458,0.618988,10.096329,-0.176788,-0.93499,-0.321599,-10.068397,-0.000778,0.185638,0.031494,-0.026891,0.029579,-0.184,0.699207,0.710074,-0.077526,-0.029902,-0.000718,-0.008314
5,971875361970306,0.601028,9.983795,-0.259979,-0.932867,-0.401866,-9.953547,-0.005051,0.168594,0.037888,-0.027949,0.036431,-0.166663,0.699248,0.710073,-0.077298,-0.029544,-0.000395,-0.008415
6,971875366914154,0.547165,9.931732,-0.346771,-0.976048,-0.483838,-9.89304,-0.00824,0.162201,0.041077,-0.029782,0.039905,-0.159953,0.69929,0.71007,-0.077085,-0.029195,-6.9e-05,-0.008523
7,971875371858001,0.595047,9.9832,-0.307877,-0.926734,-0.448093,-9.952567,-0.013565,0.149414,0.046402,-0.032641,0.045727,-0.146647,0.699341,0.710053,-0.076905,-0.028858,0.000259,-0.008636
8,971875376771331,0.650711,9.846725,-0.137283,-0.833826,-0.279137,-9.829901,-0.019958,0.130249,0.048538,-0.035846,0.048512,-0.12681,0.699406,0.710016,-0.076764,-0.028552,0.000586,-0.008751
9,971875381715179,0.613602,9.782684,-0.398849,-0.871302,-0.535869,-9.756544,-0.022095,0.149414,0.04747,-0.040762,0.047426,-0.145449,0.699467,0.709989,-0.076586,-0.028213,0.000901,-0.008864
10,971875386659027,0.496887,9.834167,-0.501801,-0.993189,-0.62976,-9.789109,-0.028488,0.16539,0.050674,-0.049081,0.050937,-0.160405,0.699538,0.709956,-0.076382,-0.027848,0.001216,-0.008977
11,971875391572357,0.451996,9.848526,-0.414413,-1.025762,-0.537531,-9.799414,-0.043396,0.168594,0.054932,-0.063831,0.056235,-0.161518,0.699639,0.709893,-0.076177,-0.027477,0.001544,-0.009095
12,971875396516205,0.417282,9.837753,-0.340195,-1.045729,-0.457988,-9.7861,-0.059372,0.162201,0.060257,-0.078161,0.062784,-0.153017,0.69977,0.709797,-0.075988,-0.027111,0.001859,-0.009207
13,971875401490570,0.466354,9.797058,-0.341385,-0.983991,-0.458955,-9.753842,-0.065765,0.156876,0.062393,-0.083417,0.065479,-0.146909,0.699913,0.709689,-0.075813,-0.026747,0.002164,-0.009316
14,971875406403900,0.567505,9.841949,-0.325821,-0.881834,-0.447533,-9.813989,-0.068954,0.164337,0.063446,-0.087431,0.066763,-0.1539,0.700061,0.709577,-0.075633,-0.026369,0.002464,-0.009421
15,971875411347747,0.604614,9.869476,-0.333008,-0.841405,-0.45381,-9.847288,-0.075348,0.172852,0.063446,-0.094813,0.067228,-0.161466,0.700222,0.709453,-0.075438,-0.025973,0.002754,-0.009524
16,971875416291595,0.638733,9.888031,-0.299484,-0.799943,-0.418927,-9.871944,-0.07962,0.169662,0.063446,-0.098421,0.067645,-0.157757,0.700392,0.709319,-0.075249,-0.025583,0.003037,-0.009622
17,971875421204925,0.727325,9.911377,-0.207306,-0.701582,-0.329453,-9.909934,-0.078552,0.163269,0.065582,-0.096162,0.069838,-0.15167,0.700562,0.709184,-0.075079,-0.025198,0.003311,-0.009716
18,971875426148773,0.775208,9.913162,-0.106155,-0.640104,-0.228055,-9.920753,-0.07428,0.152618,0.063446,-0.090453,0.067562,-0.141735,0.700727,0.70905,-0.074924,-0.024831,0.003577,-0.009806
19,971875431123138,0.92485,9.911377,0.076401,-0.472447,-0.052882,-9.943362,-0.066833,0.138763,0.060257,-0.081257,0.064016,-0.129043,0.700885,0.708919,-0.074793,-0.024483,0.003833,-0.009892
20,971875436036468,1.015823,9.872467,0.028519,-0.374045,-0.103736,-9.917034,-0.058304,0.13237,0.054932,-0.07221,0.058194,-0.123846,0.701023,0.708807,-0.07467,-0.024154,0.004083,-0.009976
21,971875440980316,0.9823,9.845535,-0.043915,-0.402412,-0.170871,-9.884843,-0.046585,0.124924,0.050674,-0.059807,0.053194,-0.118057,0.701136,0.708718,-0.074551,-0.023843,0.004254,-0.01006
22,971875445924163,1.017624,9.848526,0.060242,-0.355061,-0.067245,-9.894549,-0.040192,0.112137,0.04747,-0.051867,0.049647,-0.106247,0.70124,0.708636,-0.074449,-0.023558,0.004419,-0.010144
