,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.040033,-0.014869,-0.008505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.040033,-0.014869,-0.008505,-0.000205,-0.000056,0.000003,0.000000,0.000000,0.000000
2,971658.705258452,0.040032,-0.014869,-0.008505,-0.000367,-0.000078,-0.000095,0.000000,0.000000,0.000000
3,971658.710202300,0.040030,-0.014870,-0.008505,-0.000618,-0.000111,-0.000113,0.000000,0.000000,0.000000
4,971658.715146148,0.040027,-0.014870,-0.008506,-0.000898,-0.000125,-0.000070,0.000000,0.000000,0.000000
5,971658.720089995,0.040023,-0.014871,-0.008506,-0.001164,-0.000256,-0.000134,0.000000,0.000000,0.000000
6,971658.725003325,0.040017,-0.014872,-0.008507,-0.001231,-0.000212,-0.000124,0.000000,0.000000,0.000000
7,971658.729977691,0.040011,-0.014873,-0.008508,-0.001375,-0.000150,-0.000065,0.000000,0.000000,0.000000
8,971658.734921538,0.040004,-0.014874,-0.008508,-0.001433,-0.000154,-0.000083,0.000000,0.000000,0.000000
9,971658.739865386,0.039997,-0.014875,-0.008508,-0.001673,-0.000150,-0.000156,0.000000,0.000000,0.000000
10,971658.744809234,0.039989,-0.014875,-0.008509,-0.001958,-0.000177,-0.000181,0.000000,0.000000,0.000000
11,971658.749753081,0.039979,-0.014876,-0.008510,-0.002152,-0.000257,-0.000182,0.000000,0.000000,0.000000
12,971658.754666411,0.039968,-0.014878,-0.008511,-0.002414,-0.000450,-0.000186,0.000000,0.000000,0.000000
13,971658.759610259,0.039956,-0.014880,-0.008512,-0.002738,-0.000663,-0.000128,0.000000,0.000000,0.000000
14,971658.764554107,0.039943,-0.014883,-0.008512,-0.002850,-0.000667,-0.000038,0.000000,0.000000,0.000000
15,971658.769497954,0.039929,-0.014886,-0.008513,-0.002976,-0.000837,0.000063,0.000000,0.000000,0.000000
16,971658.774380767,0.039914,-0.014890,-0.008512,-0.003180,-0.000991,-0.000028,0.000000,0.000000,0.000000
17,971658.779324615,0.039899,-0.014895,-0.008513,-0.003223,-0.001045,-0.000014,0.000000,0.000000,0.000000
18,971658.784268462,0.039883,-0.014900,-0.008513,-0.003382,-0.000968,0.000073,0.000000,0.000000,0.000000
19,971658.789242827,0.039866,-0.014905,-0.008512,-0.003544,-0.000943,0.000131,0.000000,0.000000,0.000000
20,971658.794186675,0.039848,-0.014910,-0.008512,-0.003670,-0.000952,0.000193,0.000000,0.000000,0.000000
21,971658.799130523,0.039830,-0.014915,-0.008511,-0.003859,-0.000883,0.000155,0.000000,0.000000,0.000000
22,971658.804074370,0.039811,-0.014919,-0.008510,-0.004065,-0.000766,0.000003,0.000000,0.000000,0.000000
23,971658.808987700,0.039791,-0.014923,-0.008510,-0.004048,-0.000633,-0.000001,0.000000,0.000000,0.000000
24,971658.813931548,0.039771,-0.014926,-0.008510,-0.004095,-0.000545,0.000197,0.000000,0.000000,0.000000
25,971658.818875396,0.039751,-0.014929,-0.008509,-0.004165,-0.000516,0.000249,0.000000,0.000000,0.000000
26,971658.823819243,0.039730,-0.014931,-0.008508,-0.004205,-0.000604,0.000187,0.000000,0.000000,0.000000
27,971658.828763091,0.039710,-0.014934,-0.008507,-0.004260,-0.000577,-0.000042,0.000000,0.000000,0.000000
28,971658.833676421,0.039689,-0.014937,-0.008507,-0.004230,-0.000549,-0.000275,0.000000,0.000000,0.000000
