,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.040033,-0.014869,-0.008505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.040033,-0.014869,-0.008505,-0.000205,-0.000056,0.000003,-0.000051,-0.000005,-0.000165
2,971658.705258452,0.040032,-0.014869,-0.008505,-0.000367,-0.000077,-0.000095,-0.000102,-0.000011,-0.000329
3,971658.710202300,0.040030,-0.014870,-0.008505,-0.000618,-0.000108,-0.000112,-0.000153,-0.000016,-0.000495
4,971658.715146148,0.040027,-0.014870,-0.008506,-0.000899,-0.000120,-0.000070,-0.000204,-0.000021,-0.000660
5,971658.720089995,0.040023,-0.014871,-0.008506,-0.001165,-0.000248,-0.000133,-0.000255,-0.000026,-0.000825
6,971658.725003325,0.040017,-0.014872,-0.008507,-0.001232,-0.000200,-0.000122,-0.000306,-0.000032,-0.000989
7,971658.729977691,0.040011,-0.014873,-0.008508,-0.001377,-0.000132,-0.000063,-0.000357,-0.000037,-0.001156
8,971658.734921538,0.040004,-0.014874,-0.008508,-0.001435,-0.000130,-0.000080,-0.000409,-0.000042,-0.001321
9,971658.739865386,0.039997,-0.014874,-0.008508,-0.001675,-0.000120,-0.000152,-0.000460,-0.000047,-0.001486
10,971658.744809234,0.039989,-0.014875,-0.008509,-0.001961,-0.000139,-0.000176,-0.000511,-0.000053,-0.001651
11,971658.749753081,0.039979,-0.014876,-0.008510,-0.002156,-0.000210,-0.000176,-0.000562,-0.000058,-0.001816
12,971658.754666411,0.039968,-0.014877,-0.008511,-0.002419,-0.000394,-0.000179,-0.000613,-0.000063,-0.001981
13,971658.759610259,0.039956,-0.014879,-0.008512,-0.002743,-0.000597,-0.000119,-0.000664,-0.000069,-0.002146
14,971658.764554107,0.039943,-0.014882,-0.008512,-0.002856,-0.000590,-0.000027,-0.000715,-0.000074,-0.002311
15,971658.769497954,0.039929,-0.014884,-0.008512,-0.002983,-0.000748,0.000075,-0.000766,-0.000079,-0.002476
16,971658.774380767,0.039914,-0.014888,-0.008512,-0.003188,-0.000890,-0.000015,-0.000817,-0.000084,-0.002640
17,971658.779324615,0.039898,-0.014892,-0.008512,-0.003232,-0.000930,0.000001,-0.000868,-0.000090,-0.002805
18,971658.784268462,0.039882,-0.014897,-0.008512,-0.003393,-0.000839,0.000090,-0.000919,-0.000095,-0.002970
19,971658.789242827,0.039866,-0.014901,-0.008512,-0.003556,-0.000799,0.000150,-0.000970,-0.000100,-0.003136
20,971658.794186675,0.039848,-0.014905,-0.008511,-0.003683,-0.000792,0.000214,-0.001021,-0.000106,-0.003302
21,971658.799130523,0.039830,-0.014909,-0.008510,-0.003874,-0.000706,0.000179,-0.001072,-0.000111,-0.003467
22,971658.804074370,0.039811,-0.014913,-0.008509,-0.004081,-0.000571,0.000028,-0.001124,-0.000116,-0.003632
23,971658.808987700,0.039791,-0.014915,-0.008509,-0.004066,-0.000420,0.000027,-0.001174,-0.000121,-0.003796
24,971658.813931548,0.039770,-0.014917,-0.008509,-0.004115,-0.000313,0.000227,-0.001226,-0.000127,-0.003961
25,971658.818875396,0.039750,-0.014919,-0.008508,-0.004186,-0.000263,0.000282,-0.001277,-0.000132,-0.004127
26,971658.823819243,0.039729,-0.014920,-0.008506,-0.004228,-0.000330,0.000223,-0.001328,-0.000137,-0.004292
27,971658.828763091,0.039708,-0.014922,-0.008505,-0.004284,-0.000281,-0.000003,-0.001379,-0.000142,-0.004457
28,971658.833676421,0.039687,-0.014923,-0.008505,-0.004256,-0.000230,-0.000233,-0.001430,-0.000148,-0.004621
29,971658.838620269,0.039666,-0.014924,-0.008506,-0.004346,-0.000229,-0.000347,-0.001481,-0.000153,-0.004787
30,971658.843564116,0.039645,-0.014926,-0.008508,-0.004528,-0.000305,-0.000398,-0.001532,-0.000158,-0.004952
31,971658.848507964,0.039623,-0.014927,-0.008510,-0.004676,-0.000160,-0.000512,-0.001583,-0.000164,-0.005117
32,971658.853451812,0.039599,-0.014928,-0.008512,-0.004681,0.000006,-0.000762,-0.001634,-0.000169,-0.005282
33,971658.858365142,0.039576,-0.014928,-0.008516,-0.004733,0.000037,-0.001064,-0.001685,-0.000174,-0.005446
34,971658.863308990,0.039553,-0.014928,-0.008521,-0.004801,0.000012,-0.001066,-0.001736,-0.000179,-0.005612
