,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,2.575863,0.547131,-0.124769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,2.575863,0.547131,-0.124769,-0.000097,0.000189,0.000000,-0.000077,-0.000155,-0.001140
2,971658.705258452,2.575864,0.547130,-0.124769,-0.000146,0.000343,-0.000100,-0.000153,-0.000310,-0.002273
3,971658.710202300,2.575865,0.547129,-0.124769,-0.000218,0.000582,-0.000121,-0.000229,-0.000465,-0.003413
4,971658.715146148,2.575867,0.547126,-0.124770,-0.000272,0.000855,-0.000083,-0.000306,-0.000620,-0.004554
5,971658.720089995,2.575869,0.547122,-0.124770,-0.000432,0.001089,-0.000150,-0.000383,-0.000776,-0.005694
6,971658.725003325,2.575873,0.547118,-0.124771,-0.000375,0.001165,-0.000140,-0.000459,-0.000930,-0.006827
7,971658.729977691,2.575876,0.547113,-0.124772,-0.000310,0.001322,-0.000083,-0.000536,-0.001086,-0.007974
8,971658.734921538,2.575879,0.547107,-0.124772,-0.000285,0.001381,-0.000101,-0.000613,-0.001242,-0.009114
9,971658.739865386,2.575882,0.547101,-0.124773,-0.000285,0.001618,-0.000177,-0.000689,-0.001397,-0.010254
10,971658.744809234,2.575886,0.547093,-0.124774,-0.000319,0.001895,-0.000205,-0.000766,-0.001552,-0.011394
11,971658.749753081,2.575890,0.547085,-0.124775,-0.000379,0.002072,-0.000208,-0.000843,-0.001708,-0.012534
12,971658.754666411,2.575894,0.547075,-0.124776,-0.000560,0.002293,-0.000216,-0.000919,-0.001862,-0.013668
13,971658.759610259,2.575900,0.547065,-0.124777,-0.000768,0.002571,-0.000162,-0.000996,-0.002017,-0.014808
14,971658.764554107,2.575907,0.547054,-0.124778,-0.000721,0.002687,-0.000072,-0.001072,-0.002173,-0.015948
15,971658.769497954,2.575914,0.547042,-0.124779,-0.000835,0.002781,0.000027,-0.001149,-0.002328,-0.017088
16,971658.774380767,2.575922,0.547030,-0.124779,-0.000943,0.002954,-0.000067,-0.001225,-0.002482,-0.018214
17,971658.779324615,2.575930,0.547017,-0.124779,-0.000913,0.002991,-0.000052,-0.001301,-0.002637,-0.019354
18,971658.784268462,2.575938,0.547004,-0.124779,-0.000774,0.003170,0.000034,-0.001378,-0.002792,-0.020494
19,971658.789242827,2.575946,0.546990,-0.124779,-0.000681,0.003341,0.000091,-0.001455,-0.002949,-0.021641
20,971658.794186675,2.575954,0.546975,-0.124779,-0.000609,0.003471,0.000153,-0.001532,-0.003104,-0.022782
21,971658.799130523,2.575961,0.546959,-0.124779,-0.000466,0.003677,0.000114,-0.001608,-0.003259,-0.023922
22,971658.804074370,2.575968,0.546942,-0.124778,-0.000273,0.003908,-0.000039,-0.001685,-0.003415,-0.025062
23,971658.808987700,2.575974,0.546924,-0.124778,-0.000015,0.003928,-0.000040,-0.001761,-0.003569,-0.026195
24,971658.813931548,2.575980,0.546905,-0.124779,0.000190,0.004003,0.000159,-0.001838,-0.003724,-0.027335
25,971658.818875396,2.575984,0.546886,-0.124778,0.000341,0.004086,0.000212,-0.001915,-0.003880,-0.028475
26,971658.823819243,2.575988,0.546866,-0.124777,0.000389,0.004116,0.000151,-0.001991,-0.004035,-0.029615
27,971658.828763091,2.575991,0.546846,-0.124777,0.000554,0.004182,-0.000077,-0.002068,-0.004190,-0.030756
28,971658.833676421,2.575994,0.546825,-0.124777,0.000742,0.004166,-0.000308,-0.002144,-0.004345,-0.031889
29,971658.838620269,2.575996,0.546805,-0.124779,0.000861,0.004257,-0.000424,-0.002221,-0.004500,-0.033029
30,971658.843564116,2.575997,0.546783,-0.124781,0.000891,0.004422,-0.000479,-0.002297,-0.004655,-0.034169
31,971658.848507964,2.575999,0.546761,-0.124784,0.001149,0.004599,-0.000596,-0.002374,-0.004811,-0.035309
32,971658.853451812,2.575999,0.546738,-0.124787,0.001464,0.004640,-0.000847,-0.002451,-0.004966,-0.036449
33,971658.858365142,2.575999,0.546714,-0.124791,0.001640,0.004697,-0.001150,-0.002527,-0.005120,-0.037582
34,971658.863308990,2.575997,0.546689,-0.124797,0.001763,0.004763,-0.001154,-0.002603,-0.005276,-0.038722
35,971658.868252837,2.575995,0.546664,-0.124803,0.001934,0.004804,-0.001191,-0.002680,-0.005431,-0.039863
36,971658.873166167,2.575992,0.546639,-0.124809,0.002017,0.004825,-0.001162,-0.002756,-0.005585,-0.040996
37,971658.878110015,2.575988,0.546613,-0.124815,0.002139,0.004869,-0.001227,-0.002833,-0.005741,-0.042136
38,971658.883053863,2.575985,0.546587,-0.124821,0.002130,0.004777,-0.001237,-0.002910,-0.005896,-0.043276
39,971658.887997710,2.575981,0.546562,-0.124828,0.002014,0.004651,-0.001197,-0.002986,-0.006051,-0.044416
40,971658.892941558,2.575977,0.546537,-0.124834,0.002038,0.004643,-0.001184,-0.003063,-0.006207,-0.045556
41,971658.897885406,2.575973,0.546512,-0.124840,0.002042,0.004785,-0.001046,-0.003140,-0.006362,-0.046696
42,971658.902829253,2.575970,0.546487,-0.124845,0.001979,0.004827,-0.000808,-0.003216,-0.006517,-0.047836
43,971658.907773101,2.575967,0.546461,-0.124849,0.001888,0.004749,-0.000509,-0.003293,-0.006673,-0.048977
44,971658.912686431,2.575964,0.546436,-0.124852,0.001711,0.004648,-0.000263,-0.003369,-0.006827,-0.050110
45,971658.917599761,2.575962,0.546412,-0.124854,0.001765,0.004611,-0.000168,-0.003445,-0.006982,-0.051243
46,971658.922543609,2.575960,0.546388,-0.124855,0.001880,0.004617,-0.000037,-0.003522,-0.007137,-0.052383
