,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.040033,-0.014869,-0.008505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.040033,-0.014869,-0.008505,-0.000097,0.000189,0.000000,0.000000,0.000000,0.000000
2,971658.705258452,0.040033,-0.014868,-0.008505,-0.000151,0.000342,-0.000100,0.000000,0.000000,0.000000
3,971658.710202300,0.040032,-0.014866,-0.008505,-0.000235,0.000581,-0.000121,0.000000,0.000000,0.000000
4,971658.715146148,0.040031,-0.014864,-0.008506,-0.000306,0.000852,-0.000083,0.000000,0.000000,0.000000
5,971658.720089995,0.040029,-0.014859,-0.008507,-0.000489,0.001085,-0.000151,0.000000,0.000000,0.000000
6,971658.725003325,0.040027,-0.014854,-0.008507,-0.000460,0.001159,-0.000141,0.000000,0.000000,0.000000
7,971658.729977691,0.040024,-0.014848,-0.008508,-0.000429,0.001314,-0.000084,0.000000,0.000000,0.000000
8,971658.734921538,0.040022,-0.014842,-0.008508,-0.000444,0.001370,-0.000103,0.000000,0.000000,0.000000
9,971658.739865386,0.040020,-0.014835,-0.008509,-0.000489,0.001604,-0.000179,0.000000,0.000000,0.000000
10,971658.744809234,0.040018,-0.014827,-0.008510,-0.000575,0.001878,-0.000208,0.000000,0.000000,0.000000
11,971658.749753081,0.040015,-0.014818,-0.008511,-0.000692,0.002051,-0.000212,0.000000,0.000000,0.000000
12,971658.754666411,0.040011,-0.014808,-0.008512,-0.000935,0.002268,-0.000221,0.000000,0.000000,0.000000
13,971658.759610259,0.040007,-0.014796,-0.008513,-0.001211,0.002541,-0.000168,0.000000,0.000000,0.000000
14,971658.764554107,0.040001,-0.014784,-0.008514,-0.001238,0.002652,-0.000079,0.000000,0.000000,0.000000
15,971658.769497954,0.039995,-0.014771,-0.008514,-0.001431,0.002741,0.000020,0.000000,0.000000,0.000000
16,971658.774380767,0.039988,-0.014757,-0.008514,-0.001623,0.002908,-0.000075,0.000000,0.000000,0.000000
