,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.040033,-0.014869,-0.008505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.040033,-0.014869,-0.008505,-0.000111,-0.000181,0.000000,-0.000027,0.000006,-0.000040
2,971658.705258452,0.040032,-0.014869,-0.008505,-0.000214,-0.000307,-0.000100,-0.000054,0.000012,-0.000080
3,971658.710202300,0.040030,-0.014870,-0.008505,-0.000375,-0.000502,-0.000121,-0.000081,0.000019,-0.000121
4,971658.715146148,0.040027,-0.014871,-0.008506,-0.000571,-0.000704,-0.000083,-0.000108,0.000025,-0.000161
5,971658.720089995,0.040023,-0.014871,-0.008507,-0.000675,-0.000980,-0.000150,-0.000135,0.000031,-0.000201
6,971658.725003325,0.040017,-0.014873,-0.008507,-0.000755,-0.000993,-0.000140,-0.000161,0.000037,-0.000241
7,971658.729977691,0.040011,-0.014874,-0.008508,-0.000905,-0.001047,-0.000083,-0.000188,0.000044,-0.000282
8,971658.734921538,0.040004,-0.014876,-0.008508,-0.000946,-0.001088,-0.000101,-0.000215,0.000050,-0.000322
9,971658.739865386,0.039997,-0.014877,-0.008509,-0.001124,-0.001248,-0.000177,-0.000242,0.000056,-0.000362
10,971658.744809234,0.039989,-0.014878,-0.008510,-0.001315,-0.001462,-0.000205,-0.000269,0.000062,-0.000402
11,971658.749753081,0.039980,-0.014879,-0.008511,-0.001404,-0.001651,-0.000208,-0.000296,0.000069,-0.000443
12,971658.754666411,0.039969,-0.014881,-0.008512,-0.001466,-0.001970,-0.000216,-0.000323,0.000075,-0.000483
13,971658.759610259,0.039957,-0.014884,-0.008513,-0.001559,-0.002347,-0.000162,-0.000350,0.000081,-0.000523
14,971658.764554107,0.039944,-0.014888,-0.008514,-0.001642,-0.002426,-0.000072,-0.000377,0.000087,-0.000563
15,971658.769497954,0.039930,-0.014892,-0.008514,-0.001620,-0.002636,0.000027,-0.000404,0.000093,-0.000603
16,971658.774380767,0.039916,-0.014897,-0.008514,-0.001666,-0.002886,-0.000067,-0.000430,0.000100,-0.000643
17,971658.779324615,0.039900,-0.014903,-0.008514,-0.001665,-0.002953,-0.000052,-0.000457,0.000106,-0.000683
18,971658.784268462,0.039885,-0.014909,-0.008515,-0.001837,-0.003005,0.000034,-0.000484,0.000112,-0.000724
