,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.097803,0.070936,-0.127872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.097803,0.070936,-0.127872,-0.000111,-0.000181,0.000000,-0.000025,0.000007,-0.000037
2,971658.705258452,0.097803,0.070935,-0.127872,-0.000214,-0.000307,-0.000100,-0.000051,0.000014,-0.000074
3,971658.710202300,0.097805,0.070934,-0.127873,-0.000375,-0.000502,-0.000121,-0.000076,0.000021,-0.000111
4,971658.715146148,0.097807,0.070932,-0.127874,-0.000570,-0.000704,-0.000083,-0.000101,0.000028,-0.000148
5,971658.720089995,0.097810,0.070928,-0.127874,-0.000675,-0.000980,-0.000150,-0.000127,0.000035,-0.000185
6,971658.725003325,0.097814,0.070924,-0.127875,-0.000755,-0.000994,-0.000140,-0.000152,0.000042,-0.000221
7,971658.729977691,0.097818,0.070920,-0.127876,-0.000904,-0.001047,-0.000083,-0.000178,0.000049,-0.000258
8,971658.734921538,0.097822,0.070914,-0.127876,-0.000945,-0.001089,-0.000101,-0.000203,0.000056,-0.000295
9,971658.739865386,0.097826,0.070908,-0.127877,-0.001123,-0.001248,-0.000177,-0.000229,0.000063,-0.000332
10,971658.744809234,0.097831,0.070902,-0.127877,-0.001315,-0.001462,-0.000205,-0.000254,0.000070,-0.000369
11,971658.749753081,0.097837,0.070894,-0.127879,-0.001404,-0.001652,-0.000208,-0.000279,0.000077,-0.000406
12,971658.754666411,0.097844,0.070886,-0.127880,-0.001465,-0.001971,-0.000216,-0.000305,0.000083,-0.000443
13,971658.759610259,0.097852,0.070877,-0.127881,-0.001558,-0.002348,-0.000162,-0.000330,0.000090,-0.000480
14,971658.764554107,0.097862,0.070867,-0.127882,-0.001640,-0.002427,-0.000072,-0.000355,0.000097,-0.000517
15,971658.769497954,0.097872,0.070857,-0.127882,-0.001619,-0.002637,0.000028,-0.000381,0.000104,-0.000554
16,971658.774380767,0.097883,0.070846,-0.127882,-0.001664,-0.002887,-0.000067,-0.000406,0.000111,-0.000590
17,971658.779324615,0.097895,0.070835,-0.127883,-0.001663,-0.002954,-0.000052,-0.000431,0.000118,-0.000627
18,971658.784268462,0.097908,0.070824,-0.127883,-0.001835,-0.003006,0.000034,-0.000457,0.000125,-0.000664
19,971658.789242827,0.097921,0.070813,-0.127883,-0.001974,-0.003098,0.000092,-0.000482,0.000132,-0.000701
20,971658.794186675,0.097934,0.070800,-0.127883,-0.002064,-0.003190,0.000153,-0.000508,0.000139,-0.000738
21,971658.799130523,0.097947,0.070787,-0.127882,-0.002252,-0.003267,0.000115,-0.000533,0.000146,-0.000775
22,971658.804074370,0.097961,0.070773,-0.127882,-0.002486,-0.003318,-0.000038,-0.000558,0.000153,-0.000812
23,971658.808987700,0.097975,0.070757,-0.127882,-0.002569,-0.003208,-0.000040,-0.000584,0.000160,-0.000849
24,971658.813931548,0.097988,0.070742,-0.127882,-0.002669,-0.003177,0.000159,-0.000609,0.000167,-0.000886
25,971658.818875396,0.098000,0.070726,-0.127882,-0.002745,-0.003201,0.000212,-0.000635,0.000174,-0.000923
26,971658.823819243,0.098013,0.070709,-0.127881,-0.002719,-0.003290,0.000152,-0.000660,0.000181,-0.000960
27,971658.828763091,0.098026,0.070693,-0.127880,-0.002780,-0.003302,-0.000076,-0.000685,0.000188,-0.000997
28,971658.833676421,0.098040,0.070676,-0.127881,-0.002781,-0.003256,-0.000307,-0.000711,0.000195,-0.001033
29,971658.838620269,0.098053,0.070660,-0.127882,-0.002835,-0.003330,-0.000423,-0.000736,0.000202,-0.001070
30,971658.843564116,0.098066,0.070643,-0.127885,-0.002902,-0.003522,-0.000478,-0.000761,0.000209,-0.001107
31,971658.848507964,0.098080,0.070625,-0.127887,-0.003095,-0.003530,-0.000595,-0.000787,0.000216,-0.001144
32,971658.853451812,0.098094,0.070607,-0.127890,-0.003198,-0.003425,-0.000846,-0.000812,0.000223,-0.001181
33,971658.858365142,0.098108,0.070588,-0.127895,-0.003241,-0.003449,-0.001150,-0.000837,0.000230,-0.001218
34,971658.863308990,0.098121,0.070569,-0.127900,-0.003259,-0.003529,-0.001154,-0.000863,0.000237,-0.001255
35,971658.868252837,0.098135,0.070550,-0.127906,-0.003279,-0.003560,-0.001190,-0.000888,0.000244,-0.001292
36,971658.873166167,0.098149,0.070531,-0.127912,-0.003233,-0.003659,-0.001161,-0.000914,0.000250,-0.001328
37,971658.878110015,0.098164,0.070512,-0.127918,-0.003223,-0.003743,-0.001227,-0.000939,0.000257,-0.001365
38,971658.883053863,0.098179,0.070492,-0.127925,-0.003025,-0.003872,-0.001236,-0.000964,0.000264,-0.001402
39,971658.887997710,0.098195,0.070474,-0.127931,-0.002740,-0.004079,-0.001197,-0.000990,0.000271,-0.001439
40,971658.892941558,0.098212,0.070457,-0.127937,-0.002626,-0.004232,-0.001184,-0.001015,0.000278,-0.001476
41,971658.897885406,0.098230,0.070440,-0.127943,-0.002627,-0.004486,-0.001045,-0.001041,0.000285,-0.001513
42,971658.902829253,0.098249,0.070423,-0.127948,-0.002504,-0.004750,-0.000807,-0.001066,0.000292,-0.001550
43,971658.907773101,0.098269,0.070406,-0.127952,-0.002261,-0.004979,-0.000508,-0.001091,0.000299,-0.001587
44,971658.912686431,0.098291,0.070390,-0.127955,-0.001952,-0.005273,-0.000262,-0.001117,0.000306,-0.001624
45,971658.917599761,0.098315,0.070376,-0.127957,-0.001813,-0.005407,-0.000167,-0.001142,0.000313,-0.001661
46,971658.922543609,0.098339,0.070362,-0.127958,-0.001739,-0.005519,-0.000036,-0.001167,0.000320,-0.001697
47,971658.927487456,0.098364,0.070348,-0.127958,-0.001512,-0.005637,0.000140,-0.001193,0.000327,-0.001734
48,971658.932431304,0.098390,0.070335,-0.127957,-0.001114,-0.005621,0.000245,-0.001218,0.000334,-0.001771
