,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,2.178089,1.121016,-0.095685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,2.178089,1.121016,-0.095685,-0.000111,-0.000181,0.000000,-0.000328,0.000187,0.001336
2,971658.705258452,2.178088,1.121016,-0.095685,-0.000212,-0.000314,-0.000100,-0.000654,0.000373,0.002664
3,971658.710202300,2.178086,1.121015,-0.095685,-0.000368,-0.000522,-0.000121,-0.000982,0.000561,0.004001
4,971658.715146148,2.178083,1.121015,-0.095686,-0.000557,-0.000744,-0.000082,-0.001310,0.000748,0.005337
5,971658.720089995,2.178078,1.121014,-0.095686,-0.000652,-0.001046,-0.000149,-0.001637,0.000935,0.006673
6,971658.725003325,2.178072,1.121013,-0.095687,-0.000720,-0.001093,-0.000139,-0.001963,0.001122,0.008001
7,971658.729977691,2.178066,1.121011,-0.095688,-0.000856,-0.001186,-0.000081,-0.002293,0.001310,0.009346
8,971658.734921538,2.178059,1.121010,-0.095688,-0.000881,-0.001274,-0.000099,-0.002621,0.001497,0.010682
9,971658.739865386,2.178051,1.121008,-0.095688,-0.001041,-0.001486,-0.000174,-0.002949,0.001685,0.012019
10,971658.744809234,2.178043,1.121007,-0.095689,-0.001211,-0.001760,-0.000201,-0.003277,0.001872,0.013355
11,971658.749753081,2.178032,1.121004,-0.095690,-0.001278,-0.002016,-0.000204,-0.003605,0.002059,0.014691
12,971658.754666411,2.178021,1.121002,-0.095691,-0.001314,-0.002407,-0.000210,-0.003931,0.002246,0.016019
13,971658.759610259,2.178008,1.120998,-0.095692,-0.001379,-0.002863,-0.000155,-0.004259,0.002433,0.017355
14,971658.764554107,2.177993,1.120992,-0.095693,-0.001432,-0.003029,-0.000064,-0.004586,0.002620,0.018692
15,971658.769497954,2.177978,1.120986,-0.095694,-0.001379,-0.003331,0.000036,-0.004914,0.002808,0.020028
16,971658.774380767,2.177962,1.120979,-0.095693,-0.001390,-0.003679,-0.000057,-0.005238,0.002993,0.021348
17,971658.779324615,2.177944,1.120971,-0.095694,-0.001352,-0.003852,-0.000040,-0.005566,0.003180,0.022684
18,971658.784268462,2.177926,1.120962,-0.095694,-0.001486,-0.004017,0.000047,-0.005894,0.003367,0.024021
19,971658.789242827,2.177907,1.120952,-0.095694,-0.001584,-0.004229,0.000106,-0.006224,0.003556,0.025365
20,971658.794186675,2.177887,1.120943,-0.095693,-0.001630,-0.004447,0.000169,-0.006552,0.003743,0.026701
21,971658.799130523,2.177866,1.120932,-0.095693,-0.001773,-0.004656,0.000133,-0.006880,0.003930,0.028038
22,971658.804074370,2.177843,1.120922,-0.095692,-0.001959,-0.004846,-0.000019,-0.007208,0.004118,0.029374
23,971658.808987700,2.177820,1.120911,-0.095692,-0.001992,-0.004880,-0.000018,-0.007533,0.004304,0.030702
24,971658.813931548,2.177796,1.120901,-0.095692,-0.002039,-0.005001,0.000183,-0.007861,0.004491,0.032038
25,971658.818875396,2.177772,1.120890,-0.095691,-0.002060,-0.005185,0.000237,-0.008189,0.004678,0.033375
26,971658.823819243,2.177747,1.120878,-0.095690,-0.001977,-0.005439,0.000179,-0.008517,0.004866,0.034711
27,971658.828763091,2.177721,1.120866,-0.095689,-0.001979,-0.005624,-0.000047,-0.008845,0.005053,0.036047
28,971658.833676421,2.177695,1.120852,-0.095690,-0.001919,-0.005755,-0.000275,-0.009171,0.005239,0.037375
29,971658.838620269,2.177668,1.120838,-0.095691,-0.001909,-0.006014,-0.000389,-0.009499,0.005427,0.038712
30,971658.843564116,2.177641,1.120824,-0.095693,-0.001910,-0.006398,-0.000442,-0.009827,0.005614,0.040048
31,971658.848507964,2.177612,1.120807,-0.095696,-0.002035,-0.006605,-0.000556,-0.010154,0.005801,0.041384
32,971658.853451812,2.177582,1.120791,-0.095698,-0.002067,-0.006705,-0.000805,-0.010482,0.005989,0.042721
33,971658.858365142,2.177552,1.120774,-0.095702,-0.002037,-0.006939,-0.001106,-0.010808,0.006175,0.044049
34,971658.863308990,2.177521,1.120756,-0.095708,-0.001981,-0.007238,-0.001107,-0.011136,0.006362,0.045385
35,971658.868252837,2.177489,1.120737,-0.095714,-0.001923,-0.007494,-0.001141,-0.011464,0.006549,0.046721
36,971658.873166167,2.177457,1.120717,-0.095719,-0.001798,-0.007823,-0.001109,-0.011790,0.006736,0.048049
37,971658.878110015,2.177424,1.120696,-0.095725,-0.001706,-0.008145,-0.001171,-0.012118,0.006923,0.049386
38,971658.883053863,2.177390,1.120672,-0.095731,-0.001424,-0.008519,-0.001178,-0.012446,0.007110,0.050722
39,971658.887997710,2.177356,1.120647,-0.095737,-0.001053,-0.008979,-0.001136,-0.012774,0.007298,0.052058
40,971658.892941558,2.177321,1.120619,-0.095743,-0.000850,-0.009390,-0.001119,-0.013101,0.007485,0.053394
41,971658.897885406,2.177286,1.120588,-0.095748,-0.000760,-0.009908,-0.000978,-0.013429,0.007672,0.054731
42,971658.902829253,2.177249,1.120555,-0.095754,-0.000543,-0.010443,-0.000736,-0.013757,0.007859,0.056067
43,971658.907773101,2.177212,1.120520,-0.095757,-0.000205,-0.010951,-0.000434,-0.014085,0.008047,0.057403
44,971658.912686431,2.177174,1.120482,-0.095760,0.000202,-0.011528,-0.000184,-0.014411,0.008233,0.058731
45,971658.917599761,2.177135,1.120440,-0.095761,0.000440,-0.011952,-0.000085,-0.014737,0.008419,0.060060
46,971658.922543609,2.177096,1.120396,-0.095762,0.000615,-0.012361,0.000050,-0.015065,0.008606,0.061396
47,971658.927487456,2.177056,1.120350,-0.095762,0.000947,-0.012784,0.000230,-0.015393,0.008794,0.062732
48,971658.932431304,2.177015,1.120301,-0.095761,0.001452,-0.013079,0.000338,-0.015721,0.008981,0.064068
49,971658.937375152,2.176976,1.120249,-0.095760,0.001808,-0.013320,0.000493,-0.016048,0.009168,0.065405
50,971658.942288482,2.176937,1.120196,-0.095758,0.002184,-0.013545,0.000453,-0.016374,0.009355,0.066733
51,971658.947232329,2.176898,1.120140,-0.095756,0.002573,-0.013598,0.000372,-0.016702,0.009542,0.068069
52,971658.952176177,2.176861,1.120083,-0.095755,0.002743,-0.013665,0.000318,-0.017030,0.009729,0.069405
53,971658.957120025,2.176824,1.120025,-0.095753,0.002756,-0.013624,0.000253,-0.017358,0.009917,0.070742
54,971658.962033355,2.176787,1.119967,-0.095753,0.002831,-0.013535,0.000256,-0.017684,0.010103,0.072070
55,971658.966977202,2.176751,1.119909,-0.095752,0.002854,-0.013743,0.000213,-0.018012,0.010290,0.073406
56,971658.971890532,2.176715,1.119851,-0.095751,0.002942,-0.013989,0.000143,-0.018338,0.010476,0.074734
57,971658.976864898,2.176677,1.119790,-0.095751,0.003179,-0.014253,0.000011,-0.018668,0.010665,0.076079
58,971658.981839263,2.176639,1.119728,-0.095751,0.003472,-0.014571,-0.000114,-0.018997,0.010853,0.077423
59,971658.986783111,2.176602,1.119664,-0.095752,0.003568,-0.014964,-0.000099,-0.019325,0.011041,0.078760
60,971658.991726958,2.176563,1.119599,-0.095753,0.003610,-0.015446,-0.000137,-0.019653,0.011228,0.080096
61,971658.996670806,2.176523,1.119531,-0.095755,0.003638,-0.015955,-0.000224,-0.019981,0.011415,0.081432
62,971659.001584136,2.176482,1.119462,-0.095756,0.003768,-0.016426,-0.000242,-0.020307,0.011601,0.082760
63,971659.006527984,2.176439,1.119391,-0.095758,0.003898,-0.016999,-0.000260,-0.020635,0.011789,0.084097
64,971659.011471831,2.176395,1.119317,-0.095760,0.003974,-0.017712,-0.000387,-0.020963,0.011976,0.085433
65,971659.016385161,2.176349,1.119240,-0.095762,0.003944,-0.018374,-0.000417,-0.021289,0.012162,0.086761
66,971659.021329009,2.176300,1.119161,-0.095765,0.003976,-0.018906,-0.000565,-0.021616,0.012349,0.088097
67,971659.026272857,2.176250,1.119080,-0.095768,0.003917,-0.019527,-0.000589,-0.021944,0.012537,0.089434
68,971659.031216704,2.176197,1.118997,-0.095772,0.003806,-0.020118,-0.000508,-0.022272,0.012724,0.090770
69,971659.036160552,2.176141,1.118913,-0.095775,0.003765,-0.020624,-0.000643,-0.022600,0.012911,0.092106
70,971659.041104400,2.176084,1.118826,-0.095779,0.003601,-0.020889,-0.000655,-0.022928,0.013099,0.093442
71,971659.046017730,2.176026,1.118740,-0.095783,0.003461,-0.021340,-0.000682,-0.023254,0.013285,0.094770
72,971659.050961577,2.175965,1.118652,-0.095787,0.003335,-0.021789,-0.000653,-0.023582,0.013472,0.096107
73,971659.055905425,2.175903,1.118563,-0.095791,0.003333,-0.022135,-0.000520,-0.023910,0.013660,0.097443
74,971659.060849273,2.175839,1.118472,-0.095794,0.003329,-0.022488,-0.000452,-0.024238,0.013847,0.098779
75,971659.065793120,2.175774,1.118381,-0.095797,0.003380,-0.022794,-0.000389,-0.024565,0.014034,0.100116
76,971659.070706450,2.175708,1.118288,-0.095800,0.003540,-0.023287,-0.000223,-0.024891,0.014220,0.101444
77,971659.075619781,2.175642,1.118194,-0.095801,0.003620,-0.023701,-0.000194,-0.025217,0.014407,0.102772
78,971659.080533111,2.175574,1.118098,-0.095803,0.003694,-0.024225,-0.000171,-0.025543,0.014593,0.104100
79,971659.085476958,2.175504,1.117998,-0.095805,0.003914,-0.024759,-0.000242,-0.025871,0.014780,0.105436
80,971659.090451323,2.175433,1.117896,-0.095807,0.004130,-0.025250,-0.000240,-0.026201,0.014969,0.106781
81,971659.095425689,2.175361,1.117791,-0.095809,0.004368,-0.025719,-0.000232,-0.026531,0.015157,0.108125
82,971659.100369536,2.175288,1.117685,-0.095811,0.004650,-0.026146,-0.000246,-0.026859,0.015344,0.109462
83,971659.105282866,2.175216,1.117576,-0.095813,0.004939,-0.026472,-0.000420,-0.027185,0.015531,0.110790
84,971659.110226714,2.175143,1.117465,-0.095816,0.005386,-0.026934,-0.000657,-0.027512,0.015718,0.112126
85,971659.115170562,2.175070,1.117350,-0.095820,0.005777,-0.027425,-0.000748,-0.027840,0.015905,0.113462
86,971659.120083892,2.174997,1.117233,-0.095824,0.006047,-0.027923,-0.000800,-0.028166,0.016091,0.114790
87,971659.125027740,2.174923,1.117113,-0.095829,0.006516,-0.028433,-0.000854,-0.028494,0.016279,0.116127
88,971659.129971587,2.174849,1.116989,-0.095834,0.006971,-0.028882,-0.000918,-0.028822,0.016466,0.117463
89,971659.134915435,2.174775,1.116862,-0.095840,0.007439,-0.029381,-0.000853,-0.029150,0.016653,0.118799
90,971659.139859282,2.174701,1.116732,-0.095845,0.007793,-0.029951,-0.000893,-0.029478,0.016841,0.120136
91,971659.144803130,2.174626,1.116599,-0.095851,0.008149,-0.030601,-0.000747,-0.029806,0.017028,0.121472
