,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,971658.695401275,0.040033,-0.014869,-0.008505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,971658.700345122,0.040033,-0.014869,0.000000,-0.000111,-0.000181,0.000000,0.000000,0.000000,0.000000
2,971658.705258452,0.040032,-0.014870,0.000000,-0.000214,-0.000307,-0.000100,0.000000,0.000000,0.000000
3,971658.710202300,0.040031,-0.014871,0.000000,-0.000374,-0.000502,-0.000121,0.000000,0.000000,0.000000
4,971658.715146148,0.040030,-0.014874,0.000000,-0.000569,-0.000705,-0.000083,0.000000,0.000000,0.000000
5,971658.720089995,0.040027,-0.014877,0.000000,-0.000673,-0.000981,-0.000151,0.000000,0.000000,0.000000
6,971658.725003325,0.040023,-0.014882,0.000000,-0.000752,-0.000995,-0.000141,0.000000,0.000000,0.000000
7,971658.729977691,0.040020,-0.014887,0.000000,-0.000900,-0.001049,-0.000084,0.000000,0.000000,0.000000
8,971658.734921538,0.040015,-0.014892,0.000000,-0.000940,-0.001091,-0.000103,0.000000,0.000000,0.000000
9,971658.739865386,0.040011,-0.014898,0.000000,-0.001116,-0.001251,-0.000179,0.000000,0.000000,0.000000
10,971658.744809234,0.040005,-0.014904,0.000000,-0.001306,-0.001466,-0.000208,0.000000,0.000000,0.000000
11,971658.749753081,0.039999,-0.014911,0.000000,-0.001393,-0.001657,-0.000212,0.000000,0.000000,0.000000
12,971658.754666411,0.039992,-0.014919,0.000000,-0.001452,-0.001977,-0.000221,0.000000,0.000000,0.000000
13,971658.759610259,0.039985,-0.014929,0.000000,-0.001543,-0.002355,-0.000168,0.000000,0.000000,0.000000
14,971658.764554107,0.039977,-0.014941,0.000000,-0.001623,-0.002435,-0.000079,0.000000,0.000000,0.000000
15,971658.769497954,0.039969,-0.014953,0.000000,-0.001599,-0.002646,0.000020,0.000000,0.000000,0.000000
16,971658.774380767,0.039961,-0.014966,0.000000,-0.001641,-0.002897,-0.000075,0.000000,0.000000,0.000000
17,971658.779324615,0.039953,-0.014980,0.000000,-0.001636,-0.002966,-0.000062,0.000000,0.000000,0.000000
18,971658.784268462,0.039945,-0.014995,0.000000,-0.001806,-0.003020,0.000023,0.000000,0.000000,0.000000
19,971658.789242827,0.039936,-0.015010,0.000000,-0.001941,-0.003113,0.000080,0.000000,0.000000,0.000000
20,971658.794186675,0.039926,-0.015025,0.000000,-0.002027,-0.003207,0.000139,0.000000,0.000000,0.000000
21,971658.799130523,0.039916,-0.015041,0.000000,-0.002212,-0.003285,0.000100,0.000000,0.000000,0.000000
22,971658.804074370,0.039905,-0.015057,0.000000,-0.002442,-0.003338,-0.000055,0.000000,0.000000,0.000000
23,971658.808987700,0.039893,-0.015074,0.000000,-0.002520,-0.003230,-0.000058,0.000000,0.000000,0.000000
24,971658.813931548,0.039881,-0.015090,0.000000,-0.002616,-0.003201,0.000139,0.000000,0.000000,0.000000
25,971658.818875396,0.039868,-0.015105,0.000000,-0.002687,-0.003228,0.000191,0.000000,0.000000,0.000000
26,971658.823819243,0.039855,-0.015121,0.000000,-0.002656,-0.003319,0.000128,0.000000,0.000000,0.000000
27,971658.828763091,0.039842,-0.015138,0.000000,-0.002713,-0.003333,-0.000102,0.000000,0.000000,0.000000
28,971658.833676421,0.039828,-0.015154,0.000000,-0.002708,-0.003289,-0.000334,0.000000,0.000000,0.000000
29,971658.838620269,0.039815,-0.015170,0.000000,-0.002756,-0.003365,-0.000452,0.000000,0.000000,0.000000
30,971658.843564116,0.039801,-0.015187,0.000000,-0.002818,-0.003560,-0.000510,0.000000,0.000000,0.000000
31,971658.848507964,0.039787,-0.015205,0.000000,-0.003006,-0.003572,-0.000629,0.000000,0.000000,0.000000
32,971658.853451812,0.039772,-0.015222,0.000000,-0.003102,-0.003469,-0.000882,0.000000,0.000000,0.000000
33,971658.858365142,0.039757,-0.015239,0.000000,-0.003139,-0.003496,-0.001188,0.000000,0.000000,0.000000
34,971658.863308990,0.039742,-0.015257,0.000000,-0.003151,-0.003579,-0.001194,0.000000,0.000000,0.000000
35,971658.868252837,0.039726,-0.015274,0.000000,-0.003164,-0.003613,-0.001233,0.000000,0.000000,0.000000
36,971658.873166167,0.039711,-0.015292,0.000000,-0.003111,-0.003715,-0.001207,0.000000,0.000000,0.000000
37,971658.878110015,0.039695,-0.015310,0.000000,-0.003095,-0.003802,-0.001275,0.000000,0.000000,0.000000
38,971658.883053863,0.039680,-0.015329,0.000000,-0.002890,-0.003934,-0.001287,0.000000,0.000000,0.000000
39,971658.887997710,0.039666,-0.015349,0.000000,-0.002598,-0.004145,-0.001251,0.000000,0.000000,0.000000
40,971658.892941558,0.039653,-0.015369,0.000000,-0.002476,-0.004301,-0.001240,0.000000,0.000000,0.000000
41,971658.897885406,0.039641,-0.015390,0.000000,-0.002469,-0.004558,-0.001105,0.000000,0.000000,0.000000
42,971658.902829253,0.039628,-0.015413,0.000000,-0.002338,-0.004826,-0.000870,0.000000,0.000000,0.000000
43,971658.907773101,0.039617,-0.015437,0.000000,-0.002087,-0.005059,-0.000574,0.000000,0.000000,0.000000
44,971658.912686431,0.039606,-0.015462,0.000000,-0.001769,-0.005356,-0.000331,0.000000,0.000000,0.000000
45,971658.917599761,0.039598,-0.015488,0.000000,-0.001622,-0.005495,-0.000239,0.000000,0.000000,0.000000
46,971658.922543609,0.039590,-0.015515,0.000000,-0.001540,-0.005610,-0.000111,0.000000,0.000000,0.000000
47,971658.927487456,0.039582,-0.015543,0.000000,-0.001304,-0.005733,0.000062,0.000000,0.000000,0.000000
48,971658.932431304,0.039576,-0.015571,0.000000,-0.000896,-0.005720,0.000164,0.000000,0.000000,0.000000
49,971658.937375152,0.039571,-0.015599,0.000000,-0.000641,-0.005648,0.000310,0.000000,0.000000,0.000000
50,971658.942288482,0.039568,-0.015627,0.000000,-0.000365,-0.005555,0.000264,0.000000,0.000000,0.000000
51,971658.947232329,0.039566,-0.015655,0.000000,-0.000080,-0.005281,0.000174,0.000000,0.000000,0.000000
52,971658.952176177,0.039566,-0.015681,0.000000,-0.000016,-0.005015,0.000112,0.000000,0.000000,0.000000
53,971658.957120025,0.039566,-0.015706,0.000000,-0.000110,-0.004634,0.000040,0.000000,0.000000,0.000000
54,971658.962033355,0.039565,-0.015728,0.000000,-0.000145,-0.004201,0.000035,0.000000,0.000000,0.000000
55,971658.966977202,0.039565,-0.015749,0.000000,-0.000234,-0.004056,-0.000016,0.000000,0.000000,0.000000
56,971658.971890532,0.039563,-0.015769,0.000000,-0.000259,-0.003945,-0.000094,0.000000,0.000000,0.000000
57,971658.976864898,0.039562,-0.015789,0.000000,-0.000138,-0.003840,-0.000235,0.000000,0.000000,0.000000
58,971658.981839263,0.039561,-0.015808,0.000000,0.000036,-0.003784,-0.000368,0.000000,0.000000,0.000000
59,971658.986783111,0.039562,-0.015827,0.000000,0.000013,-0.003798,-0.000362,0.000000,0.000000,0.000000
60,971658.991726958,0.039562,-0.015845,0.000000,-0.000067,-0.003893,-0.000409,0.000000,0.000000,0.000000
61,971658.996670806,0.039561,-0.015865,0.000000,-0.000164,-0.004010,-0.000505,0.000000,0.000000,0.000000
62,971659.001584136,0.039561,-0.015884,0.000000,-0.000159,-0.004085,-0.000532,0.000000,0.000000,0.000000
63,971659.006527984,0.039560,-0.015904,0.000000,-0.000157,-0.004253,-0.000559,0.000000,0.000000,0.000000
64,971659.011471831,0.039559,-0.015925,0.000000,-0.000210,-0.004554,-0.000696,0.000000,0.000000,0.000000
65,971659.016385161,0.039558,-0.015948,0.000000,-0.000372,-0.004800,-0.000735,0.000000,0.000000,0.000000
66,971659.021329009,0.039556,-0.015972,0.000000,-0.000474,-0.004907,-0.000893,0.000000,0.000000,0.000000
67,971659.026272857,0.039554,-0.015996,0.000000,-0.000669,-0.005097,-0.000926,0.000000,0.000000,0.000000
68,971659.031216704,0.039550,-0.016021,0.000000,-0.000918,-0.005250,-0.000855,0.000000,0.000000,0.000000
69,971659.036160552,0.039546,-0.016047,0.000000,-0.001099,-0.005310,-0.001000,0.000000,0.000000,0.000000
70,971659.041104400,0.039541,-0.016073,0.000000,-0.001405,-0.005124,-0.001022,0.000000,0.000000,0.000000
71,971659.046017730,0.039534,-0.016098,0.000000,-0.001688,-0.005120,-0.001059,0.000000,0.000000,0.000000
72,971659.050961577,0.039525,-0.016124,0.000000,-0.001961,-0.005105,-0.001041,0.000000,0.000000,0.000000
73,971659.055905425,0.039516,-0.016149,0.000000,-0.002111,-0.004980,-0.000918,0.000000,0.000000,0.000000
