,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,-0.195839,0.533375,0.890328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,-0.195839,0.533375,0.890328,-0.000235,0.000332,-0.000074,-0.000112,-0.000009,0.000116
2,3389463.397878886,-0.195839,0.533377,0.890327,-0.000492,0.000654,-0.000166,-0.000223,-0.000017,0.000233
3,3389463.402792216,-0.195839,0.533381,0.890326,-0.000647,0.001035,-0.000332,-0.000334,-0.000026,0.000349
4,3389463.407736063,-0.195838,0.533387,0.890324,-0.000665,0.001553,-0.000700,-0.000446,-0.000034,0.000465
5,3389463.412679911,-0.195836,0.533395,0.890320,-0.000744,0.002249,-0.000918,-0.000558,-0.000043,0.000582
6,3389463.417623759,-0.195833,0.533405,0.890315,-0.000695,0.002839,-0.001218,-0.000669,-0.000051,0.000698
7,3389463.422567606,-0.195827,0.533418,0.890308,-0.000738,0.003494,-0.001558,-0.000781,-0.000060,0.000814
8,3389463.427511454,-0.195820,0.533434,0.890300,-0.000699,0.004046,-0.001825,-0.000893,-0.000069,0.000931
9,3389463.432455302,-0.195811,0.533452,0.890290,-0.000501,0.004698,-0.001961,-0.001005,-0.000077,0.001047
10,3389463.437368632,-0.195799,0.533471,0.890279,-0.000401,0.005240,-0.002049,-0.001116,-0.000086,0.001163
11,3389463.442312479,-0.195786,0.533493,0.890267,-0.000182,0.005656,-0.002331,-0.001227,-0.000094,0.001279
12,3389463.447256327,-0.195770,0.533515,0.890255,-0.000069,0.006101,-0.002515,-0.001339,-0.000103,0.001396
13,3389463.452200175,-0.195752,0.533539,0.890241,0.000026,0.006491,-0.002667,-0.001451,-0.000111,0.001512
14,3389463.457144022,-0.195733,0.533564,0.890226,0.000095,0.006683,-0.002867,-0.001562,-0.000120,0.001629
15,3389463.462087870,-0.195713,0.533590,0.890211,0.000182,0.006869,-0.003138,-0.001674,-0.000128,0.001745
16,3389463.467031718,-0.195693,0.533616,0.890194,0.000216,0.006895,-0.003307,-0.001786,-0.000137,0.001862
