,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,-0.228969,1.434362,3.245986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,-0.228969,1.434362,3.245986,-0.000061,0.000402,-0.000074,-0.000103,0.000398,-0.003749
2,3389463.397878886,-0.228969,1.434362,3.245984,-0.000145,0.000825,-0.000166,-0.000207,0.000795,-0.007499
3,3389463.402792216,-0.228970,1.434361,3.245980,-0.000111,0.001273,-0.000332,-0.000309,0.001190,-0.011225
4,3389463.407736063,-0.228970,1.434360,3.245973,0.000108,0.001801,-0.000699,-0.000413,0.001588,-0.014974
5,3389463.412679911,-0.228969,1.434357,3.245964,0.000353,0.002535,-0.000916,-0.000516,0.001985,-0.018723
6,3389463.417623759,-0.228967,1.434354,3.245951,0.000665,0.003136,-0.001215,-0.000620,0.002383,-0.022473
7,3389463.422567606,-0.228964,1.434349,3.245936,0.000926,0.003856,-0.001554,-0.000723,0.002781,-0.026222
8,3389463.427511454,-0.228959,1.434343,3.245916,0.001213,0.004466,-0.001820,-0.000826,0.003178,-0.029971
9,3389463.432455302,-0.228953,1.434336,3.245893,0.001688,0.005112,-0.001954,-0.000930,0.003576,-0.033720
10,3389463.437368632,-0.228944,1.434328,3.245868,0.002027,0.005724,-0.002041,-0.001033,0.003971,-0.037447
11,3389463.442312479,-0.228933,1.434320,3.245839,0.002417,0.006189,-0.002321,-0.001136,0.004369,-0.041196
12,3389463.447256327,-0.228921,1.434310,3.245808,0.002725,0.006746,-0.002502,-0.001239,0.004766,-0.044945
13,3389463.452200175,-0.228906,1.434300,3.245774,0.002993,0.007282,-0.002652,-0.001343,0.005164,-0.048694
14,3389463.457144022,-0.228891,1.434290,3.245738,0.003149,0.007672,-0.002849,-0.001446,0.005561,-0.052444
15,3389463.462087870,-0.228874,1.434278,3.245699,0.003319,0.008068,-0.003118,-0.001549,0.005959,-0.056193
16,3389463.467031718,-0.228857,1.434265,3.245659,0.003372,0.008364,-0.003284,-0.001653,0.006357,-0.059942
17,3389463.471975565,-0.228840,1.434252,3.245617,0.003301,0.008667,-0.003544,-0.001756,0.006754,-0.063692
18,3389463.476888895,-0.228823,1.434237,3.245573,0.003302,0.008873,-0.003886,-0.001859,0.007149,-0.067418
19,3389463.481802225,-0.228806,1.434221,3.245529,0.003311,0.009113,-0.004142,-0.001962,0.007544,-0.071144
20,3389463.486746073,-0.228789,1.434204,3.245483,0.003354,0.009254,-0.004532,-0.002065,0.007942,-0.074893
21,3389463.491689921,-0.228772,1.434185,3.245436,0.003355,0.009210,-0.004737,-0.002168,0.008340,-0.078642
22,3389463.496633768,-0.228754,1.434165,3.245389,0.003354,0.009140,-0.004924,-0.002272,0.008737,-0.082392
23,3389463.501577616,-0.228737,1.434144,3.245342,0.003367,0.009135,-0.004956,-0.002375,0.009135,-0.086141
24,3389463.506521464,-0.228720,1.434122,3.245296,0.003553,0.009277,-0.005020,-0.002479,0.009532,-0.089890
25,3389463.511434794,-0.228702,1.434101,3.245249,0.003684,0.009423,-0.005167,-0.002581,0.009927,-0.093616
26,3389463.516378641,-0.228684,1.434079,3.245201,0.003721,0.009751,-0.005306,-0.002685,0.010325,-0.097366
27,3389463.521322489,-0.228665,1.434056,3.245151,0.003746,0.010228,-0.005386,-0.002788,0.010723,-0.101115
28,3389463.526266337,-0.228646,1.434033,3.245099,0.003805,0.010674,-0.005383,-0.002891,0.011120,-0.104864
29,3389463.531210184,-0.228626,1.434010,3.245045,0.003836,0.011078,-0.005312,-0.002995,0.011518,-0.108613
30,3389463.536154032,-0.228607,1.433988,3.244988,0.003938,0.011705,-0.005275,-0.003098,0.011915,-0.112363
