,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,-0.225612,-0.252807,0.251675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,-0.225612,-0.252807,0.251675,-0.000061,0.000402,-0.000074,0.000000,0.000000,0.000000
2,3389463.397878886,-0.225612,-0.252805,0.251675,-0.000145,0.000806,-0.000166,0.000000,0.000000,0.000000
3,3389463.402792216,-0.225613,-0.252801,0.251674,-0.000111,0.001217,-0.000332,0.000000,0.000000,0.000000
4,3389463.407736063,-0.225614,-0.252795,0.251672,0.000107,0.001690,-0.000700,0.000000,0.000000,0.000000
5,3389463.412679911,-0.225613,-0.252787,0.251669,0.000352,0.002349,-0.000918,0.000000,0.000000,0.000000
6,3389463.417623759,-0.225611,-0.252775,0.251664,0.000663,0.002857,-0.001218,0.000000,0.000000,0.000000
7,3389463.422567606,-0.225608,-0.252761,0.251658,0.000923,0.003465,-0.001558,0.000000,0.000000,0.000000
8,3389463.427511454,-0.225603,-0.252744,0.251650,0.001210,0.003944,-0.001826,0.000000,0.000000,0.000000
9,3389463.432455302,-0.225597,-0.252724,0.251641,0.001684,0.004442,-0.001961,0.000000,0.000000,0.000000
10,3389463.437368632,-0.225589,-0.252702,0.251632,0.002022,0.004887,-0.002050,0.000000,0.000000,0.000000
11,3389463.442312479,-0.225579,-0.252678,0.251622,0.002411,0.005165,-0.002332,0.000000,0.000000,0.000000
12,3389463.447256327,-0.225567,-0.252653,0.251610,0.002718,0.005518,-0.002516,0.000000,0.000000,0.000000
13,3389463.452200175,-0.225554,-0.252626,0.251598,0.002985,0.005831,-0.002668,0.000000,0.000000,0.000000
14,3389463.457144022,-0.225539,-0.252597,0.251585,0.003139,0.005978,-0.002868,0.000000,0.000000,0.000000
15,3389463.462087870,-0.225524,-0.252567,0.251570,0.003309,0.006113,-0.003139,0.000000,0.000000,0.000000
16,3389463.467031718,-0.225507,-0.252537,0.251555,0.003360,0.006130,-0.003309,0.000000,0.000000,0.000000
17,3389463.471975565,-0.225491,-0.252507,0.251538,0.003288,0.006135,-0.003572,0.000000,0.000000,0.000000
18,3389463.476888895,-0.225474,-0.252476,0.251521,0.003288,0.006026,-0.003918,0.000000,0.000000,0.000000
19,3389463.481802225,-0.225458,-0.252447,0.251502,0.003295,0.005933,-0.004178,0.000000,0.000000,0.000000
20,3389463.486746073,-0.225442,-0.252418,0.251481,0.003336,0.005720,-0.004572,0.000000,0.000000,0.000000
21,3389463.491689921,-0.225426,-0.252389,0.251458,0.003337,0.005303,-0.004782,0.000000,0.000000,0.000000
22,3389463.496633768,-0.225409,-0.252363,0.251435,0.003334,0.004843,-0.004972,0.000000,0.000000,0.000000
23,3389463.501577616,-0.225393,-0.252339,0.251410,0.003346,0.004428,-0.005009,0.000000,0.000000,0.000000
24,3389463.506521464,-0.225376,-0.252317,0.251385,0.003530,0.004141,-0.005078,0.000000,0.000000,0.000000
25,3389463.511434794,-0.225359,-0.252297,0.251360,0.003659,0.003843,-0.005229,0.000000,0.000000,0.000000
26,3389463.516378641,-0.225341,-0.252278,0.251335,0.003695,0.003705,-0.005374,0.000000,0.000000,0.000000
27,3389463.521322489,-0.225322,-0.252260,0.251308,0.003717,0.003699,-0.005458,0.000000,0.000000,0.000000
28,3389463.526266337,-0.225304,-0.252241,0.251281,0.003775,0.003642,-0.005461,0.000000,0.000000,0.000000
29,3389463.531210184,-0.225285,-0.252223,0.251254,0.003804,0.003524,-0.005395,0.000000,0.000000,0.000000
30,3389463.536154032,-0.225266,-0.252206,0.251227,0.003905,0.003611,-0.005364,0.000000,0.000000,0.000000
31,3389463.541067362,-0.225247,-0.252188,0.251201,0.004018,0.003843,-0.005374,0.000000,0.000000,0.000000
32,3389463.546011210,-0.225227,-0.252169,0.251174,0.004075,0.004004,-0.005333,0.000000,0.000000,0.000000
33,3389463.550955057,-0.225207,-0.252149,0.251148,0.004149,0.004040,-0.005171,0.000000,0.000000,0.000000
34,3389463.555898905,-0.225187,-0.252129,0.251123,0.004310,0.004135,-0.005013,0.000000,0.000000,0.000000
35,3389463.560842753,-0.225165,-0.252109,0.251098,0.004405,0.004217,-0.004834,0.000000,0.000000,0.000000
36,3389463.565756083,-0.225144,-0.252088,0.251074,0.004463,0.004436,-0.004758,0.000000,0.000000,0.000000
37,3389463.570699931,-0.225122,-0.252066,0.251050,0.004641,0.004660,-0.004672,0.000000,0.000000,0.000000
38,3389463.575613261,-0.225099,-0.252043,0.251028,0.004750,0.004891,-0.004441,0.000000,0.000000,0.000000
39,3389463.580587626,-0.225075,-0.252019,0.251005,0.004676,0.005109,-0.004449,0.000000,0.000000,0.000000
40,3389463.585531473,-0.225052,-0.251994,0.250983,0.004687,0.005195,-0.004467,0.000000,0.000000,0.000000
41,3389463.590475321,-0.225029,-0.251968,0.250961,0.004710,0.005386,-0.004325,0.000000,0.000000,0.000000
42,3389463.595419169,-0.225006,-0.251941,0.250940,0.004732,0.005450,-0.004506,0.000000,0.000000,0.000000
43,3389463.600332499,-0.224982,-0.251915,0.250918,0.004693,0.005533,-0.004683,0.000000,0.000000,0.000000
44,3389463.605276347,-0.224959,-0.251887,0.250895,0.004760,0.005746,-0.004851,0.000000,0.000000,0.000000
45,3389463.610220194,-0.224936,-0.251859,0.250871,0.004785,0.006120,-0.005039,0.000000,0.000000,0.000000
46,3389463.615164042,-0.224912,-0.251829,0.250846,0.004800,0.006290,-0.005256,0.000000,0.000000,0.000000
47,3389463.620107889,-0.224888,-0.251798,0.250820,0.004778,0.006339,-0.005399,0.000000,0.000000,0.000000
48,3389463.625051737,-0.224865,-0.251766,0.250793,0.004639,0.006577,-0.005610,0.000000,0.000000,0.000000
49,3389463.629965067,-0.224842,-0.251734,0.250766,0.004588,0.006708,-0.005733,0.000000,0.000000,0.000000
50,3389463.634908915,-0.224819,-0.251701,0.250737,0.004602,0.006795,-0.005829,0.000000,0.000000,0.000000
51,3389463.639852763,-0.224797,-0.251667,0.250708,0.004493,0.006747,-0.005930,0.000000,0.000000,0.000000
52,3389463.644796610,-0.224774,-0.251634,0.250679,0.004417,0.006718,-0.005982,0.000000,0.000000,0.000000
53,3389463.649740458,-0.224752,-0.251601,0.250649,0.004429,0.006670,-0.005928,0.000000,0.000000,0.000000
54,3389463.654653788,-0.224731,-0.251568,0.250620,0.004452,0.006626,-0.005937,0.000000,0.000000,0.000000
55,3389463.659597636,-0.224709,-0.251535,0.250591,0.004523,0.006626,-0.005913,0.000000,0.000000,0.000000
56,3389463.664541483,-0.224686,-0.251502,0.250562,0.004655,0.006661,-0.005808,0.000000,0.000000,0.000000
57,3389463.669454813,-0.224663,-0.251470,0.250533,0.004855,0.006581,-0.005789,0.000000,0.000000,0.000000
58,3389463.674368143,-0.224640,-0.251437,0.250505,0.004974,0.006486,-0.005709,0.000000,0.000000,0.000000
59,3389463.679342509,-0.224615,-0.251405,0.250476,0.005016,0.006259,-0.005660,0.000000,0.000000,0.000000
60,3389463.684286356,-0.224590,-0.251374,0.250448,0.005075,0.006125,-0.005360,0.000000,0.000000,0.000000
61,3389463.689260722,-0.224565,-0.251344,0.250422,0.005045,0.005904,-0.005239,0.000000,0.000000,0.000000
62,3389463.694204569,-0.224540,-0.251314,0.250396,0.005148,0.005893,-0.005204,0.000000,0.000000,0.000000
63,3389463.699148417,-0.224514,-0.251285,0.250370,0.005400,0.005821,-0.005125,0.000000,0.000000,0.000000
64,3389463.704092264,-0.224488,-0.251256,0.250345,0.005476,0.005782,-0.004990,0.000000,0.000000,0.000000
65,3389463.709036112,-0.224461,-0.251228,0.250320,0.005649,0.005931,-0.004931,0.000000,0.000000,0.000000
66,3389463.713949442,-0.224433,-0.251199,0.250296,0.005857,0.006025,-0.004828,0.000000,0.000000,0.000000
67,3389463.718893290,-0.224404,-0.251169,0.250272,0.006115,0.006169,-0.004817,0.000000,0.000000,0.000000
68,3389463.723837138,-0.224374,-0.251138,0.250248,0.006263,0.006271,-0.004838,0.000000,0.000000,0.000000
69,3389463.728780985,-0.224343,-0.251107,0.250224,0.006533,0.006469,-0.004869,0.000000,0.000000,0.000000
70,3389463.733694315,-0.224311,-0.251076,0.250200,0.006783,0.006665,-0.004876,0.000000,0.000000,0.000000
71,3389463.738638163,-0.224277,-0.251043,0.250176,0.006868,0.006775,-0.004950,0.000000,0.000000,0.000000
72,3389463.743582011,-0.224243,-0.251009,0.250152,0.006910,0.006969,-0.004981,0.000000,0.000000,0.000000
73,3389463.748525858,-0.224209,-0.250975,0.250127,0.007065,0.007238,-0.005138,0.000000,0.000000,0.000000
74,3389463.753469706,-0.224174,-0.250939,0.250102,0.007176,0.007337,-0.005391,0.000000,0.000000,0.000000
75,3389463.758413554,-0.224139,-0.250903,0.250075,0.007219,0.007598,-0.005563,0.000000,0.000000,0.000000
76,3389463.763357401,-0.224103,-0.250865,0.250048,0.007246,0.007660,-0.005795,0.000000,0.000000,0.000000
77,3389463.768301249,-0.224067,-0.250827,0.250019,0.007231,0.007626,-0.005904,0.000000,0.000000,0.000000
78,3389463.773245097,-0.224031,-0.250790,0.249990,0.007158,0.007675,-0.006084,0.000000,0.000000,0.000000
79,3389463.778188944,-0.223996,-0.250752,0.249960,0.007196,0.007648,-0.006342,0.000000,0.000000,0.000000
80,3389463.783132792,-0.223960,-0.250714,0.249928,0.007278,0.007691,-0.006408,0.000000,0.000000,0.000000
81,3389463.788046122,-0.223925,-0.250676,0.249897,0.007328,0.007812,-0.006201,0.000000,0.000000,0.000000
82,3389463.792989970,-0.223888,-0.250637,0.249866,0.007367,0.007893,-0.006229,0.000000,0.000000,0.000000
83,3389463.797903300,-0.223852,-0.250599,0.249836,0.007428,0.007947,-0.006247,0.000000,0.000000,0.000000
84,3389463.802877665,-0.223815,-0.250559,0.249804,0.007542,0.008008,-0.006112,0.000000,0.000000,0.000000
85,3389463.807790995,-0.223778,-0.250520,0.249774,0.007689,0.008179,-0.005963,0.000000,0.000000,0.000000
86,3389463.817617655,-0.223703,-0.250439,0.249716,0.008369,0.008739,-0.005696,0.000000,0.000000,0.000000
