,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,-0.195330,0.533305,0.887375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,-0.195330,0.533305,0.887375,-0.000235,0.000332,-0.000074,-0.000151,-0.000006,0.000104
2,3389463.397878886,-0.195329,0.533307,0.887375,-0.000493,0.000654,-0.000166,-0.000301,-0.000011,0.000207
3,3389463.402792216,-0.195330,0.533311,0.887374,-0.000648,0.001035,-0.000332,-0.000451,-0.000016,0.000310
4,3389463.407736063,-0.195329,0.533317,0.887372,-0.000666,0.001553,-0.000700,-0.000601,-0.000022,0.000413
5,3389463.412679911,-0.195327,0.533324,0.887368,-0.000746,0.002249,-0.000918,-0.000752,-0.000027,0.000517
6,3389463.417623759,-0.195323,0.533335,0.887363,-0.000698,0.002839,-0.001218,-0.000903,-0.000033,0.000620
7,3389463.422567606,-0.195318,0.533348,0.887356,-0.000742,0.003494,-0.001558,-0.001053,-0.000038,0.000724
8,3389463.427511454,-0.195310,0.533364,0.887347,-0.000704,0.004046,-0.001825,-0.001204,-0.000044,0.000827
9,3389463.432455302,-0.195301,0.533381,0.887337,-0.000508,0.004697,-0.001961,-0.001354,-0.000050,0.000931
10,3389463.437368632,-0.195289,0.533401,0.887326,-0.000410,0.005239,-0.002049,-0.001504,-0.000055,0.001034
11,3389463.442312479,-0.195275,0.533422,0.887315,-0.000193,0.005655,-0.002331,-0.001655,-0.000060,0.001137
12,3389463.447256327,-0.195259,0.533444,0.887302,-0.000082,0.006100,-0.002514,-0.001805,-0.000066,0.001241
13,3389463.452200175,-0.195241,0.533468,0.887288,0.000010,0.006489,-0.002666,-0.001956,-0.000071,0.001344
14,3389463.457144022,-0.195222,0.533493,0.887274,0.000076,0.006681,-0.002866,-0.002107,-0.000077,0.001448
15,3389463.462087870,-0.195202,0.533518,0.887258,0.000161,0.006866,-0.003137,-0.002257,-0.000082,0.001551
