,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,0.150646,1.958769,0.807137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,0.150646,1.958769,0.807137,-0.000235,0.000332,-0.000074,-0.000085,0.000024,-0.000177
2,3389463.397878886,0.150646,1.958770,0.807135,-0.000493,0.000656,-0.000166,-0.000170,0.000048,-0.000353
3,3389463.402792216,0.150644,1.958773,0.807133,-0.000649,0.001039,-0.000332,-0.000255,0.000071,-0.000528
4,3389463.407736063,0.150643,1.958777,0.807129,-0.000668,0.001562,-0.000699,-0.000340,0.000095,-0.000705
5,3389463.412679911,0.150642,1.958783,0.807122,-0.000749,0.002263,-0.000917,-0.000426,0.000119,-0.000882
6,3389463.417623759,0.150642,1.958792,0.807112,-0.000703,0.002859,-0.001218,-0.000511,0.000143,-0.001058
7,3389463.422567606,0.150643,1.958802,0.807101,-0.000748,0.003523,-0.001558,-0.000596,0.000167,-0.001235
8,3389463.427511454,0.150644,1.958815,0.807086,-0.000713,0.004085,-0.001825,-0.000681,0.000191,-0.001411
9,3389463.432455302,0.150647,1.958829,0.807069,-0.000519,0.004747,-0.001960,-0.000767,0.000214,-0.001588
10,3389463.437368632,0.150652,1.958846,0.807051,-0.000423,0.005302,-0.002048,-0.000851,0.000238,-0.001763
11,3389463.442312479,0.150658,1.958866,0.807031,-0.000209,0.005732,-0.002330,-0.000937,0.000262,-0.001940
12,3389463.447256327,0.150665,1.958886,0.807010,-0.000101,0.006192,-0.002513,-0.001022,0.000286,-0.002116
13,3389463.452200175,0.150674,1.958908,0.806987,-0.000012,0.006598,-0.002665,-0.001107,0.000310,-0.002293
14,3389463.457144022,0.150684,1.958931,0.806962,0.000050,0.006808,-0.002865,-0.001192,0.000334,-0.002469
15,3389463.462087870,0.150694,1.958955,0.806937,0.000130,0.007013,-0.003136,-0.001277,0.000357,-0.002646
16,3389463.467031718,0.150705,1.958979,0.806910,0.000157,0.007060,-0.003305,-0.001363,0.000381,-0.002822
17,3389463.471975565,0.150717,1.959003,0.806882,0.000078,0.007043,-0.003568,-0.001448,0.000405,-0.002999
18,3389463.476888895,0.150728,1.959026,0.806853,0.000114,0.006955,-0.003913,-0.001533,0.000429,-0.003174
19,3389463.481802225,0.150740,1.959048,0.806822,0.000150,0.006887,-0.004172,-0.001617,0.000453,-0.003350
20,3389463.486746073,0.150752,1.959070,0.806791,0.000268,0.006727,-0.004566,-0.001703,0.000476,-0.003526
21,3389463.491689921,0.150765,1.959089,0.806758,0.000440,0.006367,-0.004774,-0.001788,0.000500,-0.003703
22,3389463.496633768,0.150778,1.959107,0.806726,0.000629,0.005968,-0.004964,-0.001873,0.000524,-0.003879
23,3389463.501577616,0.150792,1.959122,0.806693,0.000809,0.005616,-0.005000,-0.001958,0.000548,-0.004056
24,3389463.506521464,0.150806,1.959136,0.806661,0.001085,0.005457,-0.005068,-0.002044,0.000572,-0.004232
25,3389463.511434794,0.150822,1.959148,0.806630,0.001317,0.005263,-0.005219,-0.002128,0.000595,-0.004408
26,3389463.516378641,0.150838,1.959159,0.806599,0.001392,0.005172,-0.005362,-0.002213,0.000619,-0.004584
27,3389463.521322489,0.150855,1.959169,0.806567,0.001395,0.005192,-0.005446,-0.002299,0.000643,-0.004761
28,3389463.526266337,0.150872,1.959180,0.806535,0.001452,0.005184,-0.005448,-0.002384,0.000667,-0.004937
29,3389463.531210184,0.150889,1.959190,0.806502,0.001510,0.005109,-0.005381,-0.002469,0.000691,-0.005114
30,3389463.536154032,0.150907,1.959200,0.806471,0.001539,0.005250,-0.005349,-0.002554,0.000715,-0.005290
31,3389463.541067362,0.150924,1.959210,0.806439,0.001514,0.005527,-0.005358,-0.002639,0.000738,-0.005466
32,3389463.546011210,0.150942,1.959222,0.806407,0.001469,0.005715,-0.005315,-0.002724,0.000762,-0.005642
33,3389463.550955057,0.150960,1.959235,0.806374,0.001494,0.005801,-0.005152,-0.002810,0.000786,-0.005819
34,3389463.555898905,0.150978,1.959248,0.806342,0.001571,0.005978,-0.004993,-0.002895,0.000810,-0.005995
35,3389463.560842753,0.150996,1.959263,0.806311,0.001593,0.006115,-0.004813,-0.002980,0.000834,-0.006172
36,3389463.565756083,0.151015,1.959278,0.806280,0.001521,0.006358,-0.004736,-0.003065,0.000857,-0.006347
37,3389463.570699931,0.151033,1.959295,0.806249,0.001552,0.006661,-0.004649,-0.003150,0.000881,-0.006524
38,3389463.575613261,0.151052,1.959313,0.806218,0.001518,0.006939,-0.004416,-0.003235,0.000905,-0.006699
39,3389463.580587626,0.151071,1.959333,0.806187,0.001325,0.007124,-0.004424,-0.003321,0.000929,-0.006877
40,3389463.585531473,0.151089,1.959354,0.806155,0.001267,0.007230,-0.004439,-0.003406,0.000953,-0.007053
41,3389463.590475321,0.151107,1.959376,0.806123,0.001172,0.007436,-0.004297,-0.003491,0.000977,-0.007230
42,3389463.595419169,0.151124,1.959398,0.806091,0.001131,0.007528,-0.004476,-0.003576,0.001001,-0.007406
43,3389463.600332499,0.151142,1.959421,0.806059,0.001028,0.007611,-0.004651,-0.003661,0.001024,-0.007582
44,3389463.605276347,0.151159,1.959444,0.806025,0.000960,0.007858,-0.004818,-0.003746,0.001048,-0.007758
45,3389463.610220194,0.151177,1.959467,0.805990,0.000781,0.008230,-0.005004,-0.003831,0.001072,-0.007935
