,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,0.710616,1.244545,0.913106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,0.710616,1.244545,0.913106,-0.000235,0.000332,-0.000074,-0.003162,-0.000648,0.006233
2,3389463.397878886,0.710616,1.244547,0.913105,-0.000493,0.000620,-0.000166,-0.006323,-0.001295,0.012466
3,3389463.402792216,0.710616,1.244550,0.913104,-0.000650,0.000934,-0.000333,-0.009465,-0.001939,0.018660
4,3389463.407736063,0.710617,1.244556,0.913102,-0.000671,0.001350,-0.000701,-0.012627,-0.002586,0.024893
5,3389463.412679911,0.710618,1.244563,0.913098,-0.000754,0.001911,-0.000920,-0.015788,-0.003234,0.031125
6,3389463.417623759,0.710622,1.244572,0.913093,-0.000710,0.002331,-0.001222,-0.018950,-0.003882,0.037358
7,3389463.422567606,0.710626,1.244583,0.913086,-0.000758,0.002783,-0.001563,-0.022111,-0.004529,0.043591
8,3389463.427511454,0.710632,1.244596,0.913078,-0.000726,0.003098,-0.001833,-0.025273,-0.005177,0.049824
9,3389463.432455302,0.710639,1.244609,0.913068,-0.000535,0.003478,-0.001970,-0.028434,-0.005824,0.056057
10,3389463.437368632,0.710648,1.244623,0.913057,-0.000444,0.003717,-0.002061,-0.031576,-0.006468,0.062251
11,3389463.442312479,0.710658,1.244638,0.913046,-0.000233,0.003795,-0.002346,-0.034738,-0.007115,0.068484
12,3389463.447256327,0.710669,1.244653,0.913034,-0.000130,0.003867,-0.002533,-0.037899,-0.007763,0.074716
13,3389463.452200175,0.710680,1.244667,0.913020,-0.000047,0.003850,-0.002688,-0.041061,-0.008411,0.080949
14,3389463.457144022,0.710692,1.244681,0.913006,0.000010,0.003601,-0.002892,-0.044223,-0.009058,0.087182
15,3389463.462087870,0.710704,1.244694,0.912991,0.000085,0.003313,-0.003168,-0.047384,-0.009706,0.093415
16,3389463.467031718,0.710714,1.244705,0.912975,0.000106,0.002831,-0.003341,-0.050546,-0.010353,0.099648
17,3389463.471975565,0.710724,1.244715,0.912958,0.000021,0.002249,-0.003609,-0.053707,-0.011001,0.105880
18,3389463.476888895,0.710731,1.244722,0.912939,0.000050,0.001565,-0.003960,-0.056849,-0.011645,0.112075
19,3389463.481802225,0.710736,1.244727,0.912920,0.000079,0.000866,-0.004224,-0.059991,-0.012288,0.118269
20,3389463.486746073,0.710739,1.244729,0.912899,0.000190,0.000036,-0.004624,-0.063153,-0.012936,0.124502
21,3389463.491689921,0.710740,1.244727,0.912876,0.000355,-0.001028,-0.004839,-0.066314,-0.013583,0.130734
22,3389463.496633768,0.710738,1.244720,0.912852,0.000535,-0.002168,-0.005036,-0.069476,-0.014231,0.136967
23,3389463.501577616,0.710733,1.244709,0.912828,0.000708,-0.003296,-0.005078,-0.072637,-0.014879,0.143200
24,3389463.506521464,0.710726,1.244692,0.912804,0.000975,-0.004266,-0.005153,-0.075799,-0.015526,0.149433
25,3389463.511434794,0.710716,1.244672,0.912780,0.001198,-0.005301,-0.005310,-0.078941,-0.016170,0.155627
26,3389463.516378641,0.710704,1.244646,0.912755,0.001264,-0.006274,-0.005461,-0.082103,-0.016817,0.161860
27,3389463.521322489,0.710689,1.244617,0.912730,0.001258,-0.007170,-0.005552,-0.085264,-0.017465,0.168093
28,3389463.526266337,0.710672,1.244584,0.912704,0.001305,-0.008130,-0.005562,-0.088426,-0.018112,0.174325
29,3389463.531210184,0.710651,1.244547,0.912679,0.001353,-0.009192,-0.005503,-0.091587,-0.018760,0.180558
30,3389463.536154032,0.710628,1.244506,0.912654,0.001372,-0.010075,-0.005479,-0.094749,-0.019408,0.186791
31,3389463.541067362,0.710602,1.244462,0.912630,0.001336,-0.010849,-0.005496,-0.097891,-0.020051,0.192985
32,3389463.546011210,0.710573,1.244414,0.912605,0.001280,-0.011754,-0.005462,-0.101052,-0.020699,0.199218
33,3389463.550955057,0.710541,1.244364,0.912581,0.001294,-0.012796,-0.005308,-0.104214,-0.021346,0.205451
34,3389463.555898905,0.710506,1.244309,0.912558,0.001360,-0.013783,-0.005158,-0.107375,-0.021994,0.211684
35,3389463.560842753,0.710468,1.244251,0.912536,0.001370,-0.014844,-0.004988,-0.110537,-0.022642,0.217916
36,3389463.565756083,0.710427,1.244189,0.912516,0.001285,-0.015828,-0.004920,-0.113679,-0.023285,0.224111
37,3389463.570699931,0.710382,1.244123,0.912495,0.001304,-0.016794,-0.004843,-0.116840,-0.023933,0.230344
38,3389463.575613261,0.710335,1.244054,0.912476,0.001258,-0.017813,-0.004620,-0.119983,-0.024576,0.236538
39,3389463.580587626,0.710283,1.243980,0.912457,0.001052,-0.018975,-0.004638,-0.123164,-0.025228,0.242809
40,3389463.585531473,0.710228,1.243903,0.912439,0.000981,-0.020245,-0.004664,-0.126325,-0.025876,0.249042
41,3389463.590475321,0.710168,1.243821,0.912420,0.000872,-0.021450,-0.004533,-0.129487,-0.026523,0.255275
42,3389463.595419169,0.710104,1.243735,0.912403,0.000818,-0.022803,-0.004723,-0.132648,-0.027171,0.261507
43,3389463.600332499,0.710036,1.243645,0.912385,0.000701,-0.024193,-0.004909,-0.135790,-0.027814,0.267702
44,3389463.605276347,0.709963,1.243549,0.912367,0.000619,-0.025462,-0.005087,-0.138952,-0.028462,0.273935
45,3389463.610220194,0.709886,1.243448,0.912348,0.000425,-0.026642,-0.005285,-0.142113,-0.029109,0.280167
46,3389463.615164042,0.709804,1.243344,0.912328,0.000313,-0.028041,-0.005512,-0.145275,-0.029757,0.286400
47,3389463.620107889,0.709717,1.243234,0.912307,0.000222,-0.029601,-0.005666,-0.148436,-0.030405,0.292633
48,3389463.625051737,0.709625,1.243119,0.912286,-0.000060,-0.031079,-0.005886,-0.151598,-0.031052,0.298866
49,3389463.629965067,0.709528,1.242999,0.912264,-0.000216,-0.032638,-0.006020,-0.154740,-0.031696,0.305060
50,3389463.634908915,0.709425,1.242874,0.912242,-0.000295,-0.034252,-0.006126,-0.157902,-0.032343,0.311293
51,3389463.639852763,0.709317,1.242742,0.912220,-0.000424,-0.036075,-0.006238,-0.161063,-0.032991,0.317525
52,3389463.644796610,0.709202,1.242604,0.912197,-0.000535,-0.037903,-0.006300,-0.164225,-0.033639,0.323758
53,3389463.649740458,0.709081,1.242459,0.912175,-0.000558,-0.039741,-0.006257,-0.167386,-0.034286,0.329991
54,3389463.654653788,0.708955,1.242308,0.912153,-0.000575,-0.041595,-0.006275,-0.170528,-0.034930,0.336185
55,3389463.659597636,0.708823,1.242149,0.912131,-0.000569,-0.043434,-0.006262,-0.173690,-0.035577,0.342418
56,3389463.664541483,0.708684,1.241983,0.912110,-0.000526,-0.045249,-0.006167,-0.176851,-0.036225,0.348651
57,3389463.669454813,0.708541,1.241812,0.912090,-0.000371,-0.047159,-0.006158,-0.179993,-0.036869,0.354845
