,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,3389463.387991190,-0.225612,-0.252807,0.251675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3389463.392935038,-0.225612,-0.252807,0.000000,-0.000235,0.000332,-0.000074,0.000000,0.000000,0.000000
2,3389463.397878886,-0.225613,-0.252805,0.000000,-0.000492,0.000655,-0.000166,0.000000,0.000000,0.000000
3,3389463.402792216,-0.225616,-0.252802,0.000000,-0.000646,0.001037,-0.000332,0.000000,0.000000,0.000000
4,3389463.407736063,-0.225619,-0.252797,0.000000,-0.000663,0.001558,-0.000700,0.000000,0.000000,0.000000
5,3389463.412679911,-0.225622,-0.252789,0.000000,-0.000741,0.002257,-0.000918,0.000000,0.000000,0.000000
6,3389463.417623759,-0.225626,-0.252778,0.000000,-0.000691,0.002850,-0.001218,0.000000,0.000000,0.000000
7,3389463.422567606,-0.225629,-0.252764,0.000000,-0.000732,0.003510,-0.001558,0.000000,0.000000,0.000000
8,3389463.427511454,-0.225633,-0.252747,0.000000,-0.000692,0.004067,-0.001826,0.000000,0.000000,0.000000
9,3389463.432455302,-0.225636,-0.252727,0.000000,-0.000492,0.004725,-0.001961,0.000000,0.000000,0.000000
10,3389463.437368632,-0.225639,-0.252703,0.000000,-0.000390,0.005274,-0.002050,0.000000,0.000000,0.000000
11,3389463.442312479,-0.225641,-0.252677,0.000000,-0.000167,0.005698,-0.002332,0.000000,0.000000,0.000000
12,3389463.447256327,-0.225641,-0.252649,0.000000,-0.000052,0.006151,-0.002516,0.000000,0.000000,0.000000
13,3389463.452200175,-0.225642,-0.252619,0.000000,0.000046,0.006550,-0.002668,0.000000,0.000000,0.000000
14,3389463.457144022,-0.225641,-0.252586,0.000000,0.000118,0.006751,-0.002868,0.000000,0.000000,0.000000
15,3389463.462087870,-0.225641,-0.252553,0.000000,0.000209,0.006948,-0.003139,0.000000,0.000000,0.000000
16,3389463.467031718,-0.225640,-0.252519,0.000000,0.000247,0.006986,-0.003309,0.000000,0.000000,0.000000
17,3389463.471975565,-0.225639,-0.252484,0.000000,0.000180,0.006958,-0.003572,0.000000,0.000000,0.000000
18,3389463.476888895,-0.225638,-0.252450,0.000000,0.000229,0.006860,-0.003918,0.000000,0.000000,0.000000
19,3389463.481802225,-0.225637,-0.252416,0.000000,0.000278,0.006781,-0.004178,0.000000,0.000000,0.000000
20,3389463.486746073,-0.225635,-0.252383,0.000000,0.000410,0.006609,-0.004572,0.000000,0.000000,0.000000
21,3389463.491689921,-0.225633,-0.252350,0.000000,0.000598,0.006237,-0.004782,0.000000,0.000000,0.000000
