,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,3734787665110834,0.077301,9.829971,1.544647,9.840771,1.359318,0.575986,0.057724,-0.027664,0.013474,-0.029153,0.004864,0.058356,0.526742,0.456284,0.463322,0.547431,0.000445,0.011169
1,3734787670054682,0.113815,9.820999,1.546432,9.830926,1.355121,0.610542,0.055603,-0.02446,0.013474,-0.025882,0.005156,0.056348,0.526692,0.456401,0.463346,0.54736,0.00035,0.011185
2,3734787674998530,0.123978,9.787476,1.480606,9.79652,1.288706,0.608017,0.054535,-0.023392,0.009216,-0.024827,0.001115,0.054668,0.526635,0.456526,0.463387,0.547277,0.000249,0.011198
3,3734787679942377,0.127579,9.805435,1.446487,9.814096,1.253861,0.605431,0.047073,-0.020203,0.008148,-0.021434,0.001168,0.047219,0.526578,0.456643,0.46343,0.547198,0.000144,0.011205
4,3734787684886225,0.127579,9.810822,1.444092,9.819565,1.251071,0.60418,0.041748,-0.013809,0.008148,-0.014889,0.001893,0.042127,0.526519,0.456745,0.463474,0.547133,3.3e-05,0.011207
5,3734787689830073,0.150314,9.788666,1.452469,9.796961,1.255824,0.626546,0.035355,-0.009552,0.006027,-0.010476,0.000715,0.035599,0.526463,0.456832,0.463509,0.547083,-8.3e-05,0.011203
6,3734787694773920,0.180252,9.815613,1.469223,9.823381,1.266747,0.658689,0.032166,-0.007416,0.004959,-0.008262,0.000119,0.032341,0.526407,0.456915,0.463534,0.547047,-0.000206,0.011194
7,3734787699687250,0.199402,9.80423,1.474014,9.811667,1.268015,0.677416,0.027908,-0.006348,0.003891,-0.007086,-0.000299,0.028,0.526355,0.456991,0.46355,0.547021,-0.000334,0.01118
8,3734787704631098,0.179657,9.831161,1.490173,9.839421,1.286124,0.660652,0.024704,-0.003159,0.000687,-0.003846,-0.003026,0.024429,0.526313,0.457048,0.463571,0.546996,-0.000467,0.01116
9,3734787709544428,0.176651,9.831161,1.544647,9.840228,1.339933,0.665813,0.022583,3.1e-05,0.001755,-0.000585,-0.001698,0.02258,0.526279,0.457085,0.46358,0.546989,-0.000605,0.011136
10,3734787714488276,0.208984,9.797653,1.55661,9.806075,1.346648,0.69854,0.024704,0.001099,0.001755,0.000423,-0.002035,0.024703,0.526239,0.457127,0.463582,0.54699,-0.000748,0.011108
11,3734787719432123,0.184433,9.823395,1.567383,9.832709,1.360194,0.676419,0.024704,3.1e-05,-0.001434,-0.000684,-0.005167,0.02419,0.526211,0.45716,0.463591,0.546983,-0.000888,0.011077
12,3734787724375971,0.185638,9.836548,1.581161,9.846071,1.372969,0.679719,0.025772,-0.003159,-0.000366,-0.003889,-0.00422,0.025325,0.526186,0.457197,0.463593,0.546974,-0.001036,0.01104
13,3734787729289301,0.209579,9.828781,1.601501,9.837994,1.388954,0.705876,0.02684,-0.004227,-0.001434,-0.004999,-0.005418,0.026191,0.526162,0.457236,0.463585,0.546971,-0.001182,0.011002
14,3734787734233149,0.189224,9.837753,1.645798,9.848187,1.435183,0.692251,0.030029,-0.007416,-0.000366,-0.008262,-0.004792,0.029422,0.526149,0.45727,0.463572,0.546966,-0.001328,0.01096
15,3734787739176996,0.174271,9.849716,1.669144,9.860957,1.459966,0.680718,0.033234,-0.01062,-0.000366,-0.011553,-0.005223,0.032506,0.526144,0.457304,0.463558,0.546955,-0.001474,0.010915
