,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,4599127944761,0.167679,10.019119,0.54567,-9.866246,0.914415,-1.590502,0.040436,0.000732,-0.017654,0.004688,-0.01575,-0.040954,0.555234,0.514765,-0.458019,-0.46578,-0.00315,-0.001809
1,4599132888609,0.198212,9.998169,0.537277,-9.84136,0.905006,-1.618605,0.040436,0.007126,-0.013397,-0.001507,-0.011277,-0.041664,0.555166,0.514854,-0.458011,-0.46577,-0.00314,-0.001793
2,4599137832457,0.224548,10.022705,0.504959,-9.862708,0.873483,-1.650492,0.037247,0.01033,-0.010208,-0.005047,-0.008131,-0.038816,0.555107,0.514941,-0.458012,-0.465744,-0.00313,-0.001777
3,4599142776304,0.228729,10.028091,0.505554,-9.867365,0.873159,-1.656199,0.034042,0.013519,-0.011276,-0.008698,-0.009235,-0.036164,0.555055,0.515027,-0.458004,-0.465717,-0.003121,-0.001761
4,4599147720152,0.244293,10.049042,0.565414,-9.884041,0.933417,-1.672469,0.03299,0.014587,-0.008072,-0.009813,-0.00605,-0.035119,0.555026,0.515093,-0.45799,-0.465694,-0.003112,-0.001746
5,4599152664000,0.234116,9.999954,0.567215,-9.836918,0.931999,-1.655889,0.036179,0.011383,-0.008072,-0.006174,-0.006026,-0.037805,0.554989,0.515159,-0.45798,-0.465674,-0.003104,-0.001732
6,4599157607847,0.197601,9.972427,0.497772,-9.817053,0.858624,-1.61998,0.03511,0.011383,-0.00914,-0.006359,-0.007147,-0.036801,0.554931,0.515247,-0.457974,-0.465652,-0.003097,-0.001721
7,4599162521177,0.213165,9.950287,0.449295,-9.794205,0.808832,-1.635476,0.030853,0.015656,-0.00914,-0.011205,-0.007194,-0.033215,0.554877,0.515341,-0.457969,-0.465617,-0.003091,-0.001713
8,4599167465025,0.198807,9.916168,0.398422,-9.763964,0.754761,-1.61983,0.026596,0.016708,-0.00914,-0.012868,-0.007355,-0.029161,0.554817,0.515444,-0.457964,-0.465579,-0.003086,-0.001706
9,4599172378355,0.19162,9.944901,0.421158,-9.792701,0.776827,-1.616998,0.021271,0.022049,-0.007004,-0.018868,-0.005278,-0.024573,0.554776,0.515539,-0.457943,-0.465544,-0.003082,-0.001701
10,4599177322203,0.144333,9.953278,0.404999,-9.808306,0.757253,-1.573625,0.019135,0.02417,-0.005936,-0.021246,-0.004239,-0.022721,0.55473,0.515645,-0.45791,-0.465514,-0.003078,-0.001698
11,4599182266050,0.136551,9.9832,0.376266,-9.839748,0.727473,-1.573074,0.018066,0.02417,-0.007004,-0.021429,-0.00536,-0.021718,0.554676,0.51576,-0.457878,-0.465482,-0.003075,-0.001695
12,4599187209898,0.144928,9.979004,0.322403,-9.835722,0.672243,-1.584955,0.012741,0.029495,-0.005936,-0.027446,-0.004351,-0.017185,0.554627,0.515881,-0.457847,-0.465437,-0.003072,-0.001694
13,4599192153746,0.177261,10.002945,0.325989,-9.854319,0.676723,-1.622066,0.006348,0.034821,-0.005936,-0.033652,-0.004453,-0.011651,0.5546,0.515992,-0.457808,-0.465385,-0.00307,-0.001693
14,4599197097593,0.139542,10.020905,0.381653,-9.875919,0.729675,-1.586639,-4.6e-05,0.036957,-0.007004,-0.036735,-0.005732,-0.005703,0.554586,0.516093,-0.457738,-0.465358,-0.003056,-0.001699
15,4599202041441,0.140747,10.078964,0.388245,-9.932734,0.736699,-1.598134,-0.004303,0.041214,-0.008072,-0.041601,-0.006845,-0.00218,0.554583,0.516193,-0.457655,-0.465332,-0.003041,-0.001706
16,4599206985289,0.210175,10.059219,0.404404,-9.902196,0.754379,-1.665218,-0.007492,0.04335,-0.004883,-0.044098,-0.003731,0.000801,0.554607,0.516269,-0.457582,-0.465291,-0.003025,-0.001715
17,4599211929136,0.213165,10.075378,0.412186,-9.917211,0.761965,-1.672482,-0.011765,0.046539,-0.007004,-0.047942,-0.005931,0.004442,0.55464,0.516344,-0.457497,-0.465254,-0.003009,-0.001724
18,4599216842466,0.215561,10.115479,0.413986,-9.956085,0.76434,-1.683099,-0.014954,0.049744,-0.00914,-0.051643,-0.008099,0.007005,0.554677,0.516419,-0.457402,-0.465218,-0.002991,-0.001734
19,4599221786314,0.273026,10.132843,0.502563,-9.961897,0.855639,-1.740693,-0.016022,0.052933,-0.008072,-0.054927,-0.006975,0.007627,0.554751,0.516464,-0.457298,-0.465182,-0.002972,-0.001746
20,4599226730162,0.33168,10.165161,0.522919,-9.984084,0.879993,-1.804917,-0.016022,0.052933,-0.005936,-0.054871,-0.004842,0.007715,0.554842,0.516491,-0.457207,-0.465134,-0.002951,-0.001758
21,4599231674009,0.285599,10.108902,0.527115,-9.934801,0.880077,-1.753394,-0.010696,0.052933,-0.00914,-0.054163,-0.007809,0.002284,0.554915,0.516536,-0.457106,-0.465095,-0.002929,-0.001772
22,4599236617857,0.235916,10.108292,0.50676,-9.941748,0.856826,-1.708066,-0.006424,0.058258,-0.010208,-0.058815,-0.008513,-0.002793,0.554974,0.51661,-0.456995,-0.465052,-0.002905,-0.001788
23,4599241531187,0.300552,10.099915,0.469055,-9.924277,0.821517,-1.775473,-0.005371,0.061462,-0.010208,-0.061822,-0.00836,-0.004327,0.555039,0.516683,-0.456903,-0.464983,-0.002879,-0.001806
24,4599246475035,0.32869,10.050232,0.457672,-9.870688,0.809712,-1.799612,-0.005371,0.06572,-0.010208,-0.066029,-0.008217,-0.004982,0.555113,0.516758,-0.456814,-0.4649,-0.002852,-0.001826
25,4599251388365,0.298767,10.041855,0.437332,-9.8669,0.787553,-1.77294,-0.005371,0.064651,-0.010208,-0.064971,-0.008254,-0.004843,0.555176,0.516841,-0.456723,-0.464821,-0.002824,-0.001846
