,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2253431419388,-0.119034,9.858109,0.926941,-0.296555,1.764763,-9.739268,-0.011505,-0.015701,0.0177,-0.011681,0.015992,0.017321,0.736765,0.675995,0.003581,-0.013968,-0.001055,-0.004495
1,2253436363236,-0.094482,9.890427,0.959854,-0.27377,1.802259,-9.768703,-0.008301,-0.014633,0.016647,-0.008465,0.015115,0.016125,0.73681,0.675947,0.003482,-0.013921,-0.001084,-0.004779
2,2253441307083,-0.032837,9.871277,0.958069,-0.212402,1.801521,-9.750414,-0.005112,-0.01889,0.013443,-0.005128,0.011638,0.020048,0.73685,0.675906,0.003364,-0.013869,-0.001113,-0.005067
3,2253446250931,-0.069946,9.858704,0.946686,-0.249725,1.789112,-9.738166,-0.002975,-0.01889,0.011322,-0.002938,0.009578,0.019837,0.736882,0.675872,0.00326,-0.013834,-0.001141,-0.00536
4,2253451194779,-0.089691,9.840744,0.905991,-0.268965,1.747107,-9.723404,-0.001907,-0.019958,0.010254,-0.001825,0.008448,0.020794,0.736902,0.675852,0.003164,-0.013808,-0.001175,-0.005563
5,2253456138626,-0.098679,9.846725,0.832367,-0.277103,1.674127,-9.735559,-0.004044,-0.019958,0.008118,-0.003908,0.006269,0.02064,0.736903,0.675851,0.003074,-0.013788,-0.001209,-0.005771
6,2253461082474,-0.109451,9.812607,0.873672,-0.289057,1.712488,-9.697746,-0.004044,-0.019958,0.009186,-0.003929,0.007332,0.020733,0.736917,0.675836,0.002987,-0.013771,-0.001242,-0.00598
7,2253465995804,-0.113037,9.845535,0.891022,-0.294119,1.733046,-9.728885,-0.004044,-0.014633,0.005997,-0.003941,0.004614,0.015153,0.736935,0.675817,0.002916,-0.013751,-0.001274,-0.00619
8,2253470939652,-0.129196,9.848526,0.92395,-0.311686,1.766545,-9.728615,-0.005112,-0.014633,0.002792,-0.004934,0.001395,0.014892,0.736964,0.675786,0.002855,-0.013743,-0.001306,-0.006403
9,2253475883499,-0.136383,9.859894,0.9431,-0.320091,1.787238,-9.73801,-0.001907,-0.014633,0.00386,-0.001753,0.002535,0.014939,0.736992,0.675756,0.002795,-0.013735,-0.001339,-0.006618
10,2253480796829,-0.169312,9.869476,0.934128,-0.353727,1.778845,-9.747745,0.00235,-0.016769,0.000656,0.002612,-0.000739,0.016727,0.73701,0.675737,0.002746,-0.013746,-0.001373,-0.006835
