,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,2257.838768021,-0.022942,-0.285817,-0.009902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2257.843711869,-0.022942,-0.285817,-0.009902,-0.000163,0.000055,0.000028,-0.000035,-0.000004,-0.000043
2,2257.848686234,-0.022943,-0.285817,-0.009902,-0.000358,0.000145,0.000010,-0.000069,-0.000008,-0.000087
3,2257.853630081,-0.022945,-0.285816,-0.009902,-0.000469,0.000241,0.000027,-0.000104,-0.000012,-0.000130
4,2257.858573929,-0.022947,-0.285815,-0.009902,-0.000719,0.000334,0.000034,-0.000139,-0.000016,-0.000174
5,2257.863487259,-0.022950,-0.285813,-0.009902,-0.001026,0.000266,0.000161,-0.000173,-0.000021,-0.000217
6,2257.868431107,-0.022956,-0.285812,-0.009901,-0.001189,0.000147,0.000253,-0.000208,-0.000025,-0.000260
7,2257.873374954,-0.022961,-0.285811,-0.009899,-0.001244,-0.000028,0.000325,-0.000242,-0.000029,-0.000303
8,2257.878318802,-0.022968,-0.285811,-0.009898,-0.001457,-0.000203,0.000453,-0.000277,-0.000033,-0.000347
9,2257.883262650,-0.022975,-0.285812,-0.009896,-0.001501,-0.000261,0.000623,-0.000312,-0.000037,-0.000390
10,2257.888175980,-0.022982,-0.285814,-0.009893,-0.001568,-0.000339,0.000775,-0.000346,-0.000041,-0.000433
11,2257.893119828,-0.022990,-0.285815,-0.009889,-0.001589,-0.000610,0.000833,-0.000381,-0.000045,-0.000476
12,2257.898063675,-0.022998,-0.285818,-0.009885,-0.001607,-0.000925,0.001026,-0.000415,-0.000049,-0.000520
13,2257.903007523,-0.023006,-0.285823,-0.009880,-0.001725,-0.001293,0.001359,-0.000450,-0.000053,-0.000563
14,2257.907920853,-0.023014,-0.285829,-0.009873,-0.001830,-0.001695,0.001652,-0.000484,-0.000058,-0.000606
15,2257.912864701,-0.023023,-0.285838,-0.009865,-0.001804,-0.002238,0.001905,-0.000519,-0.000062,-0.000649
16,2257.917808548,-0.023032,-0.285849,-0.009855,-0.001752,-0.002770,0.002241,-0.000554,-0.000066,-0.000693
17,2257.922752396,-0.023041,-0.285862,-0.009844,-0.001664,-0.003268,0.002627,-0.000588,-0.000070,-0.000736
