,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,2257.838768021,-0.022942,-0.285817,-0.009902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2257.843711869,-0.022942,-0.285817,-0.009902,-0.000163,0.000055,0.000028,-0.000035,-0.000009,-0.000046
2,2257.848686234,-0.022943,-0.285817,-0.009902,-0.000358,0.000145,0.000010,-0.000071,-0.000018,-0.000092
3,2257.853630081,-0.022945,-0.285816,-0.009902,-0.000469,0.000241,0.000027,-0.000106,-0.000026,-0.000138
4,2257.858573929,-0.022947,-0.285815,-0.009902,-0.000720,0.000334,0.000034,-0.000142,-0.000035,-0.000184
5,2257.863487259,-0.022950,-0.285813,-0.009902,-0.001026,0.000266,0.000161,-0.000177,-0.000044,-0.000229
6,2257.868431107,-0.022956,-0.285812,-0.009901,-0.001189,0.000147,0.000253,-0.000212,-0.000053,-0.000275
7,2257.873374954,-0.022961,-0.285811,-0.009899,-0.001245,-0.000028,0.000325,-0.000247,-0.000062,-0.000321
8,2257.878318802,-0.022968,-0.285811,-0.009898,-0.001457,-0.000203,0.000452,-0.000283,-0.000070,-0.000367
9,2257.883262650,-0.022975,-0.285812,-0.009896,-0.001501,-0.000261,0.000622,-0.000318,-0.000079,-0.000413
10,2257.888175980,-0.022982,-0.285814,-0.009893,-0.001568,-0.000338,0.000774,-0.000353,-0.000088,-0.000459
11,2257.893119828,-0.022990,-0.285815,-0.009889,-0.001589,-0.000609,0.000832,-0.000389,-0.000097,-0.000504
12,2257.898063675,-0.022998,-0.285818,-0.009885,-0.001607,-0.000924,0.001024,-0.000424,-0.000106,-0.000550
13,2257.903007523,-0.023006,-0.285823,-0.009880,-0.001725,-0.001292,0.001357,-0.000459,-0.000114,-0.000596
14,2257.907920853,-0.023014,-0.285829,-0.009873,-0.001830,-0.001694,0.001649,-0.000494,-0.000123,-0.000642
15,2257.912864701,-0.023023,-0.285838,-0.009865,-0.001805,-0.002237,0.001902,-0.000530,-0.000132,-0.000688
16,2257.917808548,-0.023032,-0.285849,-0.009855,-0.001754,-0.002769,0.002237,-0.000565,-0.000141,-0.000733
17,2257.922752396,-0.023041,-0.285862,-0.009844,-0.001666,-0.003267,0.002623,-0.000600,-0.000150,-0.000779
18,2257.927696244,-0.023049,-0.285878,-0.009831,-0.001488,-0.003866,0.002927,-0.000636,-0.000158,-0.000825
19,2257.932640091,-0.023056,-0.285898,-0.009817,-0.001248,-0.004434,0.003199,-0.000671,-0.000167,-0.000871
20,2257.937583939,-0.023063,-0.285919,-0.009801,-0.001049,-0.004911,0.003422,-0.000706,-0.000176,-0.000917
21,2257.942497269,-0.023068,-0.285944,-0.009784,-0.000824,-0.005316,0.003581,-0.000742,-0.000185,-0.000963
22,2257.952384964,-0.023076,-0.285996,-0.009749,-0.000385,-0.005764,0.003823,-0.000812,-0.000202,-0.001054
23,2257.957328812,-0.023078,-0.286025,-0.009730,-0.000098,-0.005854,0.003735,-0.000848,-0.000211,-0.001100
24,2257.962272660,-0.023078,-0.286054,-0.009711,0.000057,-0.005772,0.003539,-0.000883,-0.000220,-0.001146
25,2257.967216507,-0.023078,-0.286082,-0.009694,0.000392,-0.005454,0.003346,-0.000918,-0.000229,-0.001192
26,2257.972160355,-0.023076,-0.286109,-0.009677,0.000654,-0.005072,0.003004,-0.000954,-0.000238,-0.001238
27,2257.977073685,-0.023073,-0.286134,-0.009663,0.000964,-0.004589,0.002580,-0.000989,-0.000246,-0.001283
28,2257.982017533,-0.023068,-0.286157,-0.009650,0.001229,-0.004127,0.002022,-0.001024,-0.000255,-0.001329
29,2257.986961380,-0.023062,-0.286177,-0.009640,0.001336,-0.003716,0.001505,-0.001060,-0.000264,-0.001375
30,2257.991905228,-0.023055,-0.286195,-0.009632,0.001489,-0.003260,0.001078,-0.001095,-0.000273,-0.001421
31,2257.996860270,-0.023048,-0.286212,-0.009627,0.001756,-0.002745,0.000804,-0.001130,-0.000282,-0.001467
32,2258.001804117,-0.023039,-0.286225,-0.009623,0.002004,-0.002146,0.000429,-0.001166,-0.000291,-0.001513
33,2258.006747965,-0.023029,-0.286236,-0.009621,0.002229,-0.001798,0.000303,-0.001201,-0.000299,-0.001559
34,2258.011661295,-0.023018,-0.286245,-0.009620,0.002390,-0.001466,0.000034,-0.001236,-0.000308,-0.001604
35,2258.016605143,-0.023007,-0.286252,-0.009619,0.002568,-0.001144,-0.000043,-0.001271,-0.000317,-0.001650
36,2258.021548990,-0.022994,-0.286258,-0.009620,0.002632,-0.000822,-0.000173,-0.001307,-0.000326,-0.001696
37,2258.026462320,-0.022981,-0.286262,-0.009620,0.002706,-0.000690,-0.000234,-0.001342,-0.000335,-0.001742
38,2258.031406168,-0.022968,-0.286265,-0.009622,0.002803,-0.000569,-0.000177,-0.001377,-0.000343,-0.001788
39,2258.036350016,-0.022954,-0.286268,-0.009622,0.002981,-0.000435,-0.000077,-0.001413,-0.000352,-0.001834
40,2258.041293863,-0.022939,-0.286270,-0.009623,0.003124,-0.000432,0.000184,-0.001448,-0.000361,-0.001879
41,2258.046237711,-0.022924,-0.286272,-0.009622,0.003196,-0.000484,0.000497,-0.001483,-0.000370,-0.001925
42,2258.051151041,-0.022908,-0.286274,-0.009619,0.003118,-0.000615,0.000696,-0.001518,-0.000379,-0.001971
43,2258.056094889,-0.022892,-0.286278,-0.009616,0.003258,-0.000925,0.001037,-0.001554,-0.000387,-0.002017
44,2258.061038736,-0.022876,-0.286282,-0.009611,0.003386,-0.001112,0.001350,-0.001589,-0.000396,-0.002063
45,2258.065952066,-0.022860,-0.286288,-0.009604,0.003317,-0.001342,0.001535,-0.001624,-0.000405,-0.002108
46,2258.070895914,-0.022843,-0.286294,-0.009597,0.003288,-0.001628,0.001701,-0.001660,-0.000414,-0.002154
47,2258.075839762,-0.022827,-0.286302,-0.009588,0.003291,-0.001973,0.001901,-0.001695,-0.000423,-0.002200
48,2258.080783609,-0.022811,-0.286312,-0.009579,0.003352,-0.002293,0.002050,-0.001730,-0.000431,-0.002246
49,2258.085727457,-0.022794,-0.286323,-0.009569,0.003338,-0.002588,0.002209,-0.001766,-0.000440,-0.002292
50,2258.090640787,-0.022778,-0.286336,-0.009558,0.003258,-0.002738,0.002261,-0.001801,-0.000449,-0.002337
51,2258.095584635,-0.022762,-0.286350,-0.009547,0.003291,-0.003046,0.002216,-0.001836,-0.000458,-0.002383
52,2258.100528482,-0.022745,-0.286365,-0.009536,0.003243,-0.003305,0.002149,-0.001871,-0.000467,-0.002429
53,2258.105472330,-0.022729,-0.286381,-0.009525,0.003068,-0.003522,0.002025,-0.001907,-0.000475,-0.002475
54,2258.110416178,-0.022714,-0.286398,-0.009515,0.002972,-0.003738,0.001821,-0.001942,-0.000484,-0.002521
55,2258.115360025,-0.022700,-0.286417,-0.009506,0.002781,-0.003988,0.001686,-0.001977,-0.000493,-0.002567
56,2258.120303873,-0.022686,-0.286437,-0.009498,0.002616,-0.004317,0.001531,-0.002013,-0.000502,-0.002613
57,2258.125217203,-0.022673,-0.286458,-0.009490,0.002453,-0.004523,0.001327,-0.002048,-0.000511,-0.002658
58,2258.130161051,-0.022661,-0.286480,-0.009484,0.002177,-0.004734,0.001215,-0.002083,-0.000519,-0.002704
59,2258.135104898,-0.022650,-0.286504,-0.009478,0.002103,-0.004996,0.001129,-0.002119,-0.000528,-0.002750
60,2258.140048746,-0.022640,-0.286528,-0.009472,0.002036,-0.005182,0.000961,-0.002154,-0.000537,-0.002796
61,2258.144962076,-0.022630,-0.286554,-0.009467,0.002011,-0.005233,0.000787,-0.002189,-0.000546,-0.002841
62,2258.149905924,-0.022620,-0.286580,-0.009464,0.002057,-0.005434,0.000559,-0.002224,-0.000555,-0.002887
63,2258.154849772,-0.022610,-0.286606,-0.009461,0.002032,-0.005407,0.000501,-0.002260,-0.000563,-0.002933
64,2258.159793619,-0.022600,-0.286633,-0.009458,0.002072,-0.005417,0.000528,-0.002295,-0.000572,-0.002979
65,2258.164706949,-0.022589,-0.286660,-0.009456,0.002026,-0.005579,0.000481,-0.002330,-0.000581,-0.003025
66,2258.169650797,-0.022579,-0.286687,-0.009453,0.001989,-0.005679,0.000637,-0.002366,-0.000590,-0.003071
67,2258.174594645,-0.022569,-0.286715,-0.009450,0.002004,-0.005564,0.000674,-0.002401,-0.000599,-0.003116
68,2258.184482340,-0.022550,-0.286770,-0.009443,0.002035,-0.005451,0.000695,-0.002472,-0.000616,-0.003208
69,2258.189395670,-0.022540,-0.286797,-0.009440,0.002176,-0.005610,0.000987,-0.002507,-0.000625,-0.003254
70,2258.194309000,-0.022529,-0.286825,-0.009435,0.002178,-0.005696,0.001159,-0.002542,-0.000634,-0.003299
71,2258.199252848,-0.022518,-0.286853,-0.009429,0.002202,-0.005819,0.001285,-0.002577,-0.000642,-0.003345
72,2258.204196695,-0.022507,-0.286882,-0.009423,0.002146,-0.005863,0.001361,-0.002613,-0.000651,-0.003391
73,2258.209140543,-0.022497,-0.286911,-0.009416,0.002075,-0.005930,0.001528,-0.002648,-0.000660,-0.003437
74,2258.214053873,-0.022487,-0.286940,-0.009409,0.002039,-0.005984,0.001683,-0.002683,-0.000669,-0.003483
75,2258.218967203,-0.022476,-0.286969,-0.009401,0.002062,-0.006023,0.001729,-0.002718,-0.000678,-0.003528
76,2258.223941568,-0.022466,-0.286999,-0.009392,0.002013,-0.006165,0.001812,-0.002754,-0.000686,-0.003574
77,2258.228885416,-0.022456,-0.287030,-0.009383,0.001963,-0.006284,0.001857,-0.002789,-0.000695,-0.003620
78,2258.233829264,-0.022447,-0.287061,-0.009374,0.001833,-0.006129,0.001757,-0.002824,-0.000704,-0.003666
79,2258.238773111,-0.022438,-0.287091,-0.009365,0.001656,-0.006023,0.001505,-0.002860,-0.000713,-0.003712
80,2258.243716959,-0.022429,-0.287121,-0.009358,0.001507,-0.006009,0.001374,-0.002895,-0.000722,-0.003758
81,2258.248660807,-0.022422,-0.287151,-0.009351,0.001226,-0.005961,0.001406,-0.002931,-0.000731,-0.003804
82,2258.253604654,-0.022416,-0.287180,-0.009344,0.000934,-0.005930,0.001310,-0.002966,-0.000739,-0.003850
83,2258.258517984,-0.022411,-0.287209,-0.009338,0.000546,-0.005794,0.001156,-0.003001,-0.000748,-0.003895
84,2258.263461832,-0.022409,-0.287238,-0.009332,0.000189,-0.005603,0.001084,-0.003036,-0.000757,-0.003941
85,2258.268405680,-0.022408,-0.287266,-0.009327,-0.000125,-0.005356,0.001133,-0.003072,-0.000766,-0.003987
86,2258.273349527,-0.022408,-0.287292,-0.009321,-0.000608,-0.005218,0.001046,-0.003107,-0.000775,-0.004033
87,2258.278293375,-0.022411,-0.287318,-0.009316,-0.000898,-0.005138,0.000880,-0.003142,-0.000783,-0.004079
88,2258.283237223,-0.022416,-0.287343,-0.009311,-0.000999,-0.004869,0.000908,-0.003178,-0.000792,-0.004125
89,2258.288150553,-0.022421,-0.287367,-0.009307,-0.001228,-0.004616,0.000948,-0.003213,-0.000801,-0.004170
90,2258.293094400,-0.022427,-0.287390,-0.009302,-0.001393,-0.004290,0.000994,-0.003248,-0.000810,-0.004216
91,2258.298038248,-0.022434,-0.287411,-0.009297,-0.001448,-0.004059,0.001072,-0.003284,-0.000819,-0.004262
92,2258.302982096,-0.022441,-0.287431,-0.009292,-0.001480,-0.003773,0.001129,-0.003319,-0.000827,-0.004308
93,2258.307895426,-0.022448,-0.287450,-0.009286,-0.001354,-0.003599,0.001258,-0.003354,-0.000836,-0.004353
94,2258.312839273,-0.022455,-0.287468,-0.009280,-0.001227,-0.003501,0.001543,-0.003389,-0.000845,-0.004399
95,2258.317783121,-0.022461,-0.287485,-0.009273,-0.001185,-0.003332,0.001580,-0.003425,-0.000854,-0.004445
96,2258.322726969,-0.022467,-0.287501,-0.009265,-0.001058,-0.003230,0.001669,-0.003460,-0.000863,-0.004491
97,2258.327670816,-0.022472,-0.287517,-0.009257,-0.000728,-0.003259,0.001766,-0.003495,-0.000871,-0.004537
98,2258.332614664,-0.022475,-0.287533,-0.009248,-0.000567,-0.003221,0.001829,-0.003531,-0.000880,-0.004583
99,2258.337558512,-0.022478,-0.287549,-0.009239,-0.000517,-0.003178,0.001900,-0.003566,-0.000889,-0.004629
100,2258.342471842,-0.022481,-0.287565,-0.009229,-0.000328,-0.003172,0.001936,-0.003601,-0.000898,-0.004674
101,2258.347415690,-0.022482,-0.287581,-0.009220,-0.000101,-0.003224,0.001964,-0.003637,-0.000907,-0.004720
102,2258.352359537,-0.022483,-0.287597,-0.009210,0.000005,-0.003267,0.001889,-0.003672,-0.000915,-0.004766
103,2258.357272867,-0.022483,-0.287613,-0.009201,-0.000035,-0.003237,0.001760,-0.003707,-0.000924,-0.004812
104,2258.362216715,-0.022483,-0.287629,-0.009192,-0.000125,-0.003273,0.001687,-0.003742,-0.000933,-0.004858
105,2258.367160563,-0.022484,-0.287645,-0.009184,-0.000073,-0.003209,0.001731,-0.003778,-0.000942,-0.004903
106,2258.372104410,-0.022484,-0.287661,-0.009175,-0.000228,-0.003197,0.001892,-0.003813,-0.000951,-0.004949
107,2258.381961588,-0.022486,-0.287692,-0.009157,-0.000522,-0.003252,0.001922,-0.003884,-0.000968,-0.005041
108,2258.386905436,-0.022489,-0.287708,-0.009147,-0.000682,-0.003441,0.001920,-0.003919,-0.000977,-0.005087
109,2258.391849283,-0.022492,-0.287725,-0.009138,-0.000842,-0.003610,0.002049,-0.003954,-0.000986,-0.005133
110,2258.396793131,-0.022496,-0.287743,-0.009128,-0.000982,-0.003812,0.002120,-0.003990,-0.000995,-0.005178
111,2258.401736979,-0.022501,-0.287762,-0.009117,-0.001173,-0.004053,0.002120,-0.004025,-0.001003,-0.005224
112,2258.406680826,-0.022507,-0.287782,-0.009107,-0.001206,-0.004435,0.002322,-0.004060,-0.001012,-0.005270
113,2258.411624674,-0.022513,-0.287804,-0.009095,-0.001223,-0.004675,0.002499,-0.004096,-0.001021,-0.005316
114,2258.416538004,-0.022519,-0.287827,-0.009083,-0.001292,-0.004949,0.002566,-0.004131,-0.001030,-0.005362
115,2258.421481852,-0.022525,-0.287851,-0.009070,-0.001599,-0.005270,0.002645,-0.004166,-0.001039,-0.005408
116,2258.426425699,-0.022533,-0.287877,-0.009057,-0.001715,-0.005595,0.002815,-0.004201,-0.001047,-0.005453
117,2258.431339029,-0.022542,-0.287905,-0.009043,-0.001724,-0.006008,0.003008,-0.004237,-0.001056,-0.005499
118,2258.436282877,-0.022550,-0.287935,-0.009028,-0.001817,-0.006228,0.003134,-0.004272,-0.001065,-0.005545
119,2258.441196207,-0.022559,-0.287965,-0.009013,-0.001920,-0.006351,0.003112,-0.004307,-0.001074,-0.005590
120,2258.446140055,-0.022569,-0.287997,-0.008998,-0.002064,-0.006413,0.003032,-0.004342,-0.001083,-0.005636
121,2258.451083902,-0.022579,-0.288028,-0.008983,-0.002132,-0.006362,0.003018,-0.004378,-0.001091,-0.005682
122,2258.456027750,-0.022589,-0.288060,-0.008968,-0.002113,-0.006398,0.002943,-0.004413,-0.001100,-0.005728
123,2258.460941080,-0.022600,-0.288091,-0.008953,-0.002184,-0.006369,0.002841,-0.004448,-0.001109,-0.005774
124,2258.465884928,-0.022611,-0.288123,-0.008939,-0.002302,-0.006250,0.002628,-0.004484,-0.001118,-0.005820
125,2258.470828775,-0.022622,-0.288154,-0.008926,-0.002425,-0.006136,0.002330,-0.004519,-0.001127,-0.005865
126,2258.475772623,-0.022634,-0.288184,-0.008915,-0.002500,-0.005846,0.002223,-0.004554,-0.001135,-0.005911
127,2258.480716471,-0.022646,-0.288213,-0.008904,-0.002483,-0.005591,0.001968,-0.004590,-0.001144,-0.005957
128,2258.485660318,-0.022659,-0.288240,-0.008894,-0.002628,-0.005336,0.001694,-0.004625,-0.001153,-0.006003
129,2258.490573648,-0.022671,-0.288267,-0.008886,-0.002628,-0.005127,0.001482,-0.004660,-0.001162,-0.006049
130,2258.495517496,-0.022684,-0.288292,-0.008878,-0.002604,-0.004866,0.001232,-0.004695,-0.001171,-0.006095
131,2258.500461344,-0.022697,-0.288316,-0.008872,-0.002591,-0.004622,0.001105,-0.004731,-0.001179,-0.006140
132,2258.505405191,-0.022710,-0.288339,-0.008867,-0.002622,-0.004538,0.000989,-0.004766,-0.001188,-0.006186
133,2258.510349039,-0.022723,-0.288361,-0.008862,-0.002625,-0.004442,0.000994,-0.004801,-0.001197,-0.006232
134,2258.515262369,-0.022736,-0.288383,-0.008857,-0.002464,-0.004274,0.000956,-0.004837,-0.001206,-0.006278
135,2258.520206217,-0.022748,-0.288404,-0.008852,-0.002418,-0.004149,0.000938,-0.004872,-0.001215,-0.006324
136,2258.525150065,-0.022760,-0.288425,-0.008848,-0.002372,-0.004047,0.000833,-0.004907,-0.001223,-0.006370
137,2258.530093912,-0.022772,-0.288445,-0.008843,-0.002413,-0.003990,0.000853,-0.004943,-0.001232,-0.006415
138,2258.535037760,-0.022784,-0.288465,-0.008839,-0.002448,-0.004111,0.000853,-0.004978,-0.001241,-0.006461
139,2258.539951090,-0.022796,-0.288485,-0.008835,-0.002427,-0.004085,0.000772,-0.005013,-0.001250,-0.006507
140,2258.544894938,-0.022808,-0.288505,-0.008831,-0.002326,-0.004025,0.000720,-0.005048,-0.001259,-0.006553
141,2258.549838785,-0.022819,-0.288525,-0.008828,-0.002294,-0.003953,0.000760,-0.005084,-0.001267,-0.006599
142,2258.554782633,-0.022831,-0.288544,-0.008824,-0.002324,-0.003931,0.000695,-0.005119,-0.001276,-0.006645
143,2258.559695963,-0.022842,-0.288564,-0.008820,-0.002352,-0.003851,0.000683,-0.005154,-0.001285,-0.006690
144,2258.564639811,-0.022854,-0.288583,-0.008817,-0.002266,-0.003859,0.000689,-0.005190,-0.001294,-0.006736
145,2258.569583658,-0.022865,-0.288602,-0.008814,-0.002201,-0.003880,0.000517,-0.005225,-0.001303,-0.006782
146,2258.574527506,-0.022876,-0.288621,-0.008811,-0.002263,-0.004005,0.000437,-0.005260,-0.001311,-0.006828
147,2258.579471354,-0.022887,-0.288641,-0.008809,-0.002143,-0.004030,0.000284,-0.005296,-0.001320,-0.006874
148,2258.584415201,-0.022898,-0.288661,-0.008808,-0.002072,-0.004024,0.000182,-0.005331,-0.001329,-0.006920
149,2258.589328531,-0.022908,-0.288680,-0.008807,-0.002136,-0.004067,0.000308,-0.005366,-0.001338,-0.006965
150,2258.594272379,-0.022918,-0.288701,-0.008805,-0.002055,-0.004136,0.000389,-0.005401,-0.001347,-0.007011
151,2258.599216227,-0.022928,-0.288721,-0.008803,-0.002080,-0.004104,0.000363,-0.005437,-0.001355,-0.007057
152,2258.604160074,-0.022939,-0.288741,-0.008801,-0.002051,-0.004132,0.000458,-0.005472,-0.001364,-0.007103
153,2258.609073404,-0.022949,-0.288762,-0.008799,-0.002037,-0.004291,0.000459,-0.005494,-0.001354,-0.006943
154,2258.614017252,-0.022959,-0.288783,-0.008797,-0.002153,-0.004304,0.000411,-0.005515,-0.001344,-0.006781
155,2258.618930582,-0.022969,-0.288804,-0.008795,-0.002350,-0.004275,0.000474,-0.005537,-0.001334,-0.006621
156,2258.623904947,-0.022981,-0.288825,-0.008793,-0.002457,-0.004285,0.000559,-0.005559,-0.001323,-0.006459
157,2258.628848795,-0.022993,-0.288846,-0.008790,-0.002471,-0.004258,0.000507,-0.005580,-0.001313,-0.006298
158,2258.633792643,-0.023006,-0.288868,-0.008787,-0.002586,-0.004166,0.000430,-0.005602,-0.001303,-0.006136
