,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,4662116222240,0.348434,9.96405,1.147202,-9.437352,1.846168,-2.871894,0.040436,-0.010986,-0.005936,0.021384,-0.002695,-0.036421,0.602716,0.52289,-0.412928,-0.439101,0.002016,-0.007849
1,4662121135570,0.307739,9.962845,1.072983,-9.45049,1.766851,-2.840916,0.039383,-0.010986,-0.005936,0.021095,-0.002804,-0.035413,0.602624,0.52297,-0.412969,-0.439094,0.001994,-0.008057
2,4662126079418,0.304153,9.949081,1.06041,-9.438994,1.751548,-2.835216,0.034042,-0.00885,-0.007004,0.01754,-0.004245,-0.030993,0.602537,0.523047,-0.413002,-0.439089,0.001971,-0.008267
3,4662131023266,0.283203,9.955673,1.059814,-9.451359,1.747812,-2.81705,0.028717,-0.007782,-0.004883,0.015139,-0.002587,-0.025946,0.602458,0.52312,-0.413025,-0.43909,0.001946,-0.008478
4,4662135997631,0.305939,9.92334,1.077774,-9.413634,1.764439,-2.828106,0.023392,-0.007782,-0.004883,0.013684,-0.003105,-0.020849,0.602394,0.523175,-0.413044,-0.439095,0.00192,-0.008689
5,4662140941479,0.346649,9.928726,1.085556,-9.407592,1.77562,-2.867524,0.020203,-0.007782,-0.004883,0.012812,-0.003415,-0.017797,0.602343,0.523215,-0.413068,-0.439095,0.001893,-0.008903
6,4662145854809,0.303543,9.935318,1.055634,-9.427116,1.740874,-2.831225,0.018066,-0.00885,-0.007004,0.013174,-0.005801,-0.015702,0.602278,0.523267,-0.413083,-0.439107,0.001863,-0.009116
7,4662150798656,0.28978,9.974823,1.003555,-9.471088,1.689033,-2.834405,0.012741,-0.006714,-0.005936,0.009708,-0.005113,-0.011058,0.602209,0.523329,-0.413098,-0.439114,0.001831,-0.00933
8,4662155742504,0.297562,9.929337,1.028687,-9.424418,1.710593,-2.82714,0.007416,-0.006714,-0.004883,0.008294,-0.004581,-0.005843,0.602164,0.52338,-0.413096,-0.439117,0.001797,-0.009541
9,4662160686352,0.27243,9.919159,1.008942,-9.422393,1.686636,-2.802799,0.004227,-0.005661,-0.003815,0.006452,-0.003757,-0.002954,0.602116,0.523434,-0.41309,-0.439124,0.001759,-0.009758
10,4662165630199,0.274826,9.92334,0.947891,-9.428192,1.625289,-2.813225,-0.003235,-0.006714,-0.002747,0.005467,-0.003484,0.004589,0.602066,0.52349,-0.413088,-0.439127,0.001721,-0.009961
11,4662170574047,0.298767,9.934723,1.011337,-9.430321,1.690731,-2.832173,-0.012817,-0.001389,0.000443,-0.002148,-0.000886,0.012689,0.602048,0.523507,-0.413076,-0.439143,0.001679,-0.010173
12,4662175517895,0.325104,9.940704,1.08017,-9.426366,1.761806,-2.851297,-0.016022,-0.000336,0.000443,-0.004035,-0.001126,0.015475,0.602055,0.523499,-0.413053,-0.439166,0.001637,-0.010371
