,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,4666.232372143,-0.003855,-0.074320,-0.029717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4666.237315990,-0.003855,-0.074320,-0.029717,0.000405,0.000226,0.000041,-0.000093,0.000027,0.000023
2,4666.242259838,-0.003853,-0.074319,-0.029717,0.000726,0.000326,0.000008,-0.000186,0.000053,0.000047
3,4666.247203686,-0.003849,-0.074317,-0.029717,0.001108,0.000451,0.000022,-0.000279,0.000080,0.000070
4,4666.252147533,-0.003844,-0.074315,-0.029717,0.001496,0.000604,-0.000104,-0.000372,0.000107,0.000094
5,4666.257091381,-0.003837,-0.074312,-0.029717,0.002006,0.000700,-0.000088,-0.000465,0.000134,0.000117
6,4666.262035229,-0.003827,-0.074309,-0.029718,0.002346,0.000899,-0.000130,-0.000558,0.000160,0.000141
7,4666.266948559,-0.003815,-0.074304,-0.029718,0.002788,0.000964,-0.000039,-0.000650,0.000187,0.000164
8,4666.271892406,-0.003801,-0.074299,-0.029718,0.003323,0.001049,0.000034,-0.000743,0.000214,0.000187
9,4666.276836254,-0.003785,-0.074294,-0.029718,0.003670,0.001319,-0.000055,-0.000836,0.000240,0.000211
10,4666.281780102,-0.003767,-0.074288,-0.029719,0.004145,0.001542,-0.000150,-0.000929,0.000267,0.000234
11,4666.286723949,-0.003746,-0.074280,-0.029719,0.004572,0.001834,-0.000384,-0.001022,0.000294,0.000258
12,4666.291637279,-0.003724,-0.074271,-0.029721,0.004895,0.002029,-0.000662,-0.001114,0.000321,0.000281
13,4666.296581127,-0.003700,-0.074261,-0.029724,0.005237,0.002282,-0.000952,-0.001207,0.000347,0.000304
14,4666.301524975,-0.003674,-0.074250,-0.029729,0.005413,0.002471,-0.001179,-0.001300,0.000374,0.000328
15,4666.306468822,-0.003647,-0.074238,-0.029735,0.005551,0.002571,-0.001402,-0.001393,0.000401,0.000351
16,4666.311382152,-0.003620,-0.074225,-0.029742,0.005766,0.002586,-0.001583,-0.001485,0.000427,0.000375
17,4666.316326000,-0.003591,-0.074212,-0.029750,0.005951,0.002567,-0.001908,-0.001578,0.000454,0.000398
18,4666.321269848,-0.003562,-0.074199,-0.029759,0.006061,0.002559,-0.002005,-0.001671,0.000481,0.000422
19,4666.326213695,-0.003532,-0.074187,-0.029769,0.006002,0.002477,-0.002043,-0.001764,0.000508,0.000445
