,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1124980647539601,-0.141174,8.699905,4.860611,8.618816,4.47494,2.241618,0.072678,-0.018417,-0.0047,-0.017753,-0.039696,0.061257,0.614659,0.355272,0.362232,0.603958,-0.001487,0.000399
1,1124980652483449,-0.188461,8.733429,4.831879,8.651948,4.474799,2.185232,0.076935,0.012466,-0.011093,0.013261,-0.046768,0.061922,0.614598,0.355357,0.362381,0.603879,-0.001491,0.000399
2,1124980657427296,-0.214203,8.744797,4.789978,8.662932,4.452572,2.142319,0.08226,0.040161,-0.014282,0.041037,-0.051605,0.065088,0.614512,0.355409,0.362593,0.60381,-0.001494,0.000399
3,1124980662371144,-0.24054,8.741806,4.789383,8.658531,4.466577,2.120104,0.08226,0.066803,-0.014282,0.067657,-0.051085,0.065162,0.614404,0.355416,0.362849,0.603762,-0.001498,0.000399
4,1124980667284474,-0.238739,8.763351,4.742096,8.679456,4.426478,2.100991,0.081192,0.09343,-0.012146,0.094209,-0.048174,0.065366,0.614266,0.355392,0.363147,0.603737,-0.001501,0.000399
5,1124980672228322,-0.26268,8.791489,4.728333,8.706159,4.428069,2.076394,0.078003,0.109406,-0.005753,0.110016,-0.040706,0.065777,0.614105,0.355345,0.363468,0.603735,-0.001505,0.000401
6,1124980677172169,-0.268066,8.79747,4.730133,8.710632,4.433617,2.075893,0.069473,0.113663,-0.001495,0.114107,-0.032749,0.060457,0.613942,0.355282,0.363777,0.603751,-0.00151,0.000403
7,1124980682116017,-0.28183,8.807053,4.725342,8.718877,4.437194,2.065173,0.056702,0.113663,0.00383,0.113903,-0.0219,0.05192,0.613783,0.355204,0.364066,0.603785,-0.001514,0.000407
8,1124980687059865,-0.265671,8.821411,4.761856,8.731588,4.462046,2.100636,0.044983,0.107285,0.011292,0.107298,-0.009818,0.045296,0.61363,0.355122,0.364313,0.60384,-0.00152,0.000411
9,1124980692003712,-0.293808,8.77533,4.774429,8.684222,4.485885,2.085424,0.027939,0.094498,0.015549,0.09433,0.001896,0.032412,0.613502,0.355028,0.36451,0.603906,-0.001526,0.000417
10,1124980696917042,-0.314148,8.751984,4.831879,8.659105,4.545262,2.09845,0.01622,0.077454,0.02301,0.077084,0.013764,0.025695,0.613398,0.354935,0.364649,0.603983,-0.001532,0.000423
11,1124980701830373,-0.345276,8.690933,4.866592,8.596976,4.588945,2.090187,0.005569,0.05188,0.028336,0.051364,0.023089,0.018817,0.613326,0.354855,0.364724,0.604058,-0.001539,0.000429
12,1124980706774220,-0.343491,8.682556,4.911484,8.587741,4.626542,2.114999,-0.000824,0.024185,0.028336,0.023647,0.025659,0.013074,0.613288,0.3548,0.364741,0.604118,-0.001545,0.000434
13,1124980711718068,-0.305771,8.670578,4.882156,8.576897,4.581398,2.134352,-0.006149,-0.002441,0.031525,-0.003052,0.030532,0.009802,0.613268,0.354789,0.364704,0.604167,-0.001553,0.000439
14,1124980716661916,-0.273453,8.658615,4.892334,8.565693,4.573242,2.166956,-0.007217,-0.026947,0.033661,-0.027592,0.032474,0.009767,0.613267,0.354818,0.36462,0.604202,-0.001558,0.000434
15,1124980721605763,-0.277649,8.646637,4.927048,8.55403,4.604222,2.17875,-0.007217,-0.045059,0.032593,-0.045676,0.031215,0.009167,0.613288,0.354866,0.364505,0.604222,-0.001565,0.000427
16,1124980726549611,-0.212997,8.634659,4.939621,8.543371,4.582381,2.239475,-0.000824,-0.05571,0.032593,-0.056291,0.027947,0.014729,0.613308,0.354948,0.364371,0.604235,-0.001571,0.000419
17,1124980731493459,-0.208206,8.636459,4.895935,8.547242,4.540565,2.220308,0.008759,-0.057831,0.032593,-0.05836,0.023293,0.023128,0.613317,0.355053,0.364254,0.604233,-0.001579,0.000408
18,1124980736406789,-0.220184,8.652023,4.873779,8.564269,4.526319,2.196694,0.020477,-0.05571,0.028336,-0.056102,0.013957,0.031362,0.61332,0.355171,0.364169,0.604213,-0.001587,0.000396
19,1124980741350636,-0.208817,8.672379,4.845047,8.586186,4.495333,2.190341,0.031128,-0.048248,0.026199,-0.048545,0.007088,0.039703,0.613306,0.355299,0.364115,0.604184,-0.001596,0.00038
