,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.098488,0.121617,-0.020956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.098488,0.121617,-0.020956,-0.000125,-0.000187,0.000255,0.000096,0.000082,-0.000083
2,632381.545495524,-0.098488,0.121616,-0.020955,-0.000144,-0.000271,0.000646,0.000192,0.000163,-0.000166
3,632381.550439372,-0.098489,0.121614,-0.020952,-0.000105,-0.000389,0.000793,0.000288,0.000245,-0.000250
4,632381.555352702,-0.098489,0.121612,-0.020948,-0.000011,-0.000363,0.000821,0.000383,0.000326,-0.000332
5,632381.560296549,-0.098489,0.121611,-0.020944,0.000215,-0.000078,0.000791,0.000479,0.000407,-0.000416
6,632381.565240397,-0.098488,0.121610,-0.020940,0.000384,0.000335,0.000470,0.000574,0.000489,-0.000499
7,632381.570184245,-0.098486,0.121612,-0.020938,0.000530,0.000920,0.000140,0.000670,0.000570,-0.000582
8,632381.575128092,-0.098484,0.121617,-0.020937,0.000631,0.001565,-0.000139,0.000766,0.000652,-0.000665
9,632381.580071940,-0.098482,0.121625,-0.020938,0.000989,0.002309,-0.000475,0.000862,0.000733,-0.000748
10,632381.584985270,-0.098479,0.121637,-0.020940,0.001340,0.002958,-0.000826,0.000957,0.000814,-0.000831
11,632381.589929118,-0.098474,0.121653,-0.020945,0.001474,0.003738,-0.001266,0.001053,0.000896,-0.000914
12,632381.594872965,-0.098469,0.121672,-0.020951,0.001659,0.004426,-0.001797,0.001149,0.000977,-0.000998
13,632381.599816813,-0.098464,0.121694,-0.020960,0.001855,0.005043,-0.002262,0.001245,0.001059,-0.001081
14,632381.604791178,-0.098458,0.121720,-0.020972,0.001969,0.005758,-0.002741,0.001341,0.001141,-0.001164
15,632381.609704508,-0.098453,0.121749,-0.020986,0.001925,0.006487,-0.003099,0.001436,0.001222,-0.001247
16,632381.614617838,-0.098448,0.121782,-0.021002,0.001941,0.007133,-0.003490,0.001532,0.001303,-0.001330
17,632381.619561686,-0.098443,0.121818,-0.021019,0.001900,0.007350,-0.003848,0.001628,0.001384,-0.001413
18,632381.624505534,-0.098439,0.121855,-0.021039,0.001745,0.007314,-0.004145,0.001723,0.001466,-0.001496
19,632381.629449381,-0.098435,0.121892,-0.021060,0.001659,0.007342,-0.004497,0.001819,0.001548,-0.001580
20,632381.634362711,-0.098432,0.121928,-0.021083,0.001526,0.007247,-0.004828,0.001915,0.001629,-0.001662
21,632381.639306559,-0.098429,0.121964,-0.021107,0.001284,0.007198,-0.004986,0.002010,0.001710,-0.001745
22,632381.644250407,-0.098428,0.122000,-0.021132,0.001155,0.007127,-0.005038,0.002106,0.001792,-0.001829
23,632381.649194254,-0.098427,0.122036,-0.021158,0.000909,0.006950,-0.004982,0.002202,0.001873,-0.001912
24,632381.654138102,-0.098428,0.122070,-0.021183,0.000637,0.006822,-0.005022,0.002298,0.001955,-0.001995
25,632381.659051432,-0.098429,0.122103,-0.021208,0.000361,0.006557,-0.004868,0.002393,0.002036,-0.002078
26,632381.663995280,-0.098432,0.122135,-0.021232,-0.000093,0.006210,-0.004624,0.002489,0.002117,-0.002161
