,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.067689,-3.077934,0.029431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.067689,-3.077934,0.029431,-0.000049,-0.000219,0.000255,0.000009,0.000605,-0.000655
2,632381.545495524,-0.067689,-3.077935,0.029432,-0.000037,-0.000302,0.000646,0.000017,0.001209,-0.001310
3,632381.550439372,-0.067690,-3.077936,0.029436,0.000038,-0.000391,0.000793,0.000026,0.001814,-0.001965
4,632381.555352702,-0.067691,-3.077938,0.029440,0.000109,-0.000322,0.000821,0.000035,0.002415,-0.002616
5,632381.560296549,-0.067691,-3.077940,0.029444,0.000207,0.000038,0.000791,0.000044,0.003019,-0.003271
6,632381.565240397,-0.067690,-3.077940,0.029447,0.000203,0.000500,0.000470,0.000052,0.003624,-0.003926
7,632381.570184245,-0.067688,-3.077938,0.029450,0.000113,0.001117,0.000139,0.000061,0.004228,-0.004581
8,632381.575128092,-0.067685,-3.077934,0.029451,-0.000044,0.001777,-0.000140,0.000070,0.004833,-0.005236
9,632381.580071940,-0.067681,-3.077926,0.029450,0.000001,0.002625,-0.000477,0.000079,0.005438,-0.005891
10,632381.584985270,-0.067675,-3.077915,0.029447,0.000071,0.003386,-0.000828,0.000087,0.006038,-0.006542
11,632381.589929118,-0.067666,-3.077900,0.029443,-0.000109,0.004194,-0.001268,0.000096,0.006643,-0.007197
12,632381.594872965,-0.067656,-3.077882,0.029437,-0.000212,0.004937,-0.001800,0.000105,0.007248,-0.007851
13,632381.599816813,-0.067645,-3.077860,0.029428,-0.000280,0.005621,-0.002266,0.000114,0.007852,-0.008506
14,632381.604791178,-0.067632,-3.077836,0.029417,-0.000463,0.006370,-0.002745,0.000122,0.008461,-0.009165
15,632381.609704508,-0.067619,-3.077807,0.029403,-0.000800,0.007077,-0.003104,0.000131,0.009061,-0.009816
16,632381.614617838,-0.067605,-3.077775,0.029388,-0.001053,0.007732,-0.003495,0.000140,0.009662,-0.010467
17,632381.619561686,-0.067590,-3.077739,0.029371,-0.001205,0.007970,-0.003854,0.000148,0.010267,-0.011122
18,632381.624505534,-0.067576,-3.077702,0.029352,-0.001372,0.007934,-0.004151,0.000157,0.010871,-0.011777
19,632381.629449381,-0.067562,-3.077665,0.029331,-0.001502,0.007986,-0.004505,0.000166,0.011476,-0.012432
20,632381.634362711,-0.067549,-3.077627,0.029309,-0.001632,0.007909,-0.004836,0.000175,0.012077,-0.013083
21,632381.639306559,-0.067536,-3.077589,0.029285,-0.001882,0.007839,-0.004995,0.000183,0.012681,-0.013738
22,632381.644250407,-0.067525,-3.077551,0.029260,-0.002022,0.007793,-0.005048,0.000192,0.013286,-0.014393
23,632381.649194254,-0.067515,-3.077513,0.029235,-0.002234,0.007609,-0.004993,0.000201,0.013891,-0.015048
24,632381.654138102,-0.067505,-3.077475,0.029211,-0.002490,0.007464,-0.005035,0.000210,0.014495,-0.015703
25,632381.659051432,-0.067498,-3.077437,0.029186,-0.002702,0.007192,-0.004881,0.000218,0.015096,-0.016354
26,632381.663995280,-0.067491,-3.077399,0.029162,-0.003052,0.006784,-0.004639,0.000227,0.015701,-0.017009
27,632381.668939127,-0.067488,-3.077363,0.029139,-0.003433,0.006289,-0.004150,0.000236,0.016305,-0.017664
28,632381.673882975,-0.067487,-3.077328,0.029118,-0.003972,0.005604,-0.003481,0.000245,0.016910,-0.018319
29,632381.678826823,-0.067490,-3.077294,0.029101,-0.004568,0.005033,-0.002973,0.000253,0.017514,-0.018974
30,632381.683740153,-0.067497,-3.077261,0.029086,-0.005263,0.004605,-0.002498,0.000262,0.018115,-0.019625
31,632381.688684000,-0.067509,-3.077229,0.029073,-0.005900,0.003991,-0.002039,0.000271,0.018720,-0.020280
32,632381.693658366,-0.067524,-3.077197,0.029063,-0.006674,0.003472,-0.001473,0.000280,0.019328,-0.020939
33,632381.698571696,-0.067544,-3.077166,0.029056,-0.007498,0.003188,-0.000973,0.000288,0.019929,-0.021590
34,632381.703515543,-0.067569,-3.077134,0.029051,-0.008429,0.002955,-0.000437,0.000297,0.020534,-0.022245
35,632381.708459391,-0.067598,-3.077100,0.029048,-0.009267,0.002756,0.000060,0.000306,0.021138,-0.022900
36,632381.713403239,-0.067631,-3.077066,0.029048,-0.010087,0.002754,0.000201,0.000314,0.021743,-0.023554
37,632381.718347086,-0.067667,-3.077029,0.029049,-0.011021,0.002887,0.000309,0.000323,0.022347,-0.024209
38,632381.723260417,-0.067707,-3.076990,0.029050,-0.011915,0.003047,0.000183,0.000332,0.022948,-0.024860
39,632381.728234782,-0.067751,-3.076948,0.029051,-0.012861,0.003157,-0.000131,0.000341,0.023557,-0.025519
40,632381.733178629,-0.067799,-3.076903,0.029049,-0.013762,0.003536,-0.000250,0.000349,0.024161,-0.026174
41,632381.738091959,-0.067849,-3.076854,0.029048,-0.014741,0.004176,-0.000450,0.000358,0.024762,-0.026825
42,632381.743035807,-0.067902,-3.076800,0.029045,-0.015710,0.004822,-0.000825,0.000367,0.025367,-0.027480
43,632381.747979655,-0.067958,-3.076741,0.029041,-0.016705,0.005187,-0.001158,0.000376,0.025971,-0.028135
44,632381.752923502,-0.068017,-3.076678,0.029034,-0.017828,0.005560,-0.001640,0.000384,0.026576,-0.028790
45,632381.757867350,-0.068079,-3.076610,0.029026,-0.018880,0.005850,-0.002020,0.000393,0.027180,-0.029445
46,632381.762780680,-0.068146,-3.076539,0.029015,-0.020041,0.006278,-0.002405,0.000402,0.027781,-0.030096
47,632381.767724528,-0.068216,-3.076463,0.029003,-0.021087,0.006674,-0.002720,0.000411,0.028386,-0.030751
48,632381.772668375,-0.068291,-3.076383,0.028988,-0.022111,0.007094,-0.002816,0.000419,0.028990,-0.031406
49,632381.777612223,-0.068368,-3.076299,0.028974,-0.023229,0.007434,-0.002676,0.000428,0.029595,-0.032061
50,632381.782556071,-0.068450,-3.076210,0.028960,-0.024302,0.007724,-0.002667,0.000437,0.030200,-0.032716
51,632381.787469401,-0.068534,-3.076118,0.028946,-0.025149,0.007959,-0.002544,0.000445,0.030800,-0.033367
52,632381.792413249,-0.068623,-3.076022,0.028933,-0.025925,0.008134,-0.002404,0.000454,0.031405,-0.034022
53,632381.797357096,-0.068714,-3.075924,0.028920,-0.026583,0.008087,-0.002227,0.000463,0.032010,-0.034677
54,632381.802300944,-0.068808,-3.075824,0.028908,-0.026945,0.008133,-0.002000,0.000472,0.032614,-0.035332
55,632381.807214274,-0.068904,-3.075723,0.028897,-0.027153,0.008205,-0.001867,0.000480,0.033215,-0.035983
56,632381.812158122,-0.069000,-3.075622,0.028887,-0.027362,0.008219,-0.001760,0.000489,0.033820,-0.036638
57,632381.817071452,-0.069097,-3.075520,0.028878,-0.027393,0.008249,-0.001670,0.000498,0.034420,-0.037289
58,632381.822015299,-0.069194,-3.075418,0.028868,-0.027126,0.008333,-0.001640,0.000507,0.035025,-0.037944
59,632381.826959147,-0.069290,-3.075315,0.028859,-0.026794,0.008380,-0.001464,0.000515,0.035630,-0.038598
60,632381.831902995,-0.069385,-3.075214,0.028851,-0.026409,0.008476,-0.001387,0.000524,0.036234,-0.039253
61,632381.836846842,-0.069477,-3.075113,0.028844,-0.026042,0.008512,-0.001243,0.000533,0.036839,-0.039908
62,632381.841760172,-0.069568,-3.075013,0.028837,-0.025680,0.008524,-0.001169,0.000541,0.037440,-0.040559
63,632381.846704020,-0.069657,-3.074914,0.028830,-0.025277,0.008474,-0.001069,0.000550,0.038044,-0.041214
64,632381.851647868,-0.069745,-3.074815,0.028824,-0.024995,0.008453,-0.000967,0.000559,0.038649,-0.041869
65,632381.856591715,-0.069832,-3.074718,0.028818,-0.024783,0.008486,-0.000852,0.000568,0.039253,-0.042524
