,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.006856,-0.004101,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.006856,-0.004101,0.000111,-0.000049,-0.000219,0.000255,0.000000,0.000000,0.000000
2,632381.545495524,-0.006856,-0.004102,0.000112,-0.000035,-0.000306,0.000646,0.000000,0.000000,0.000000
3,632381.550439372,-0.006856,-0.004104,0.000115,0.000044,-0.000402,0.000793,0.000000,0.000000,0.000000
4,632381.555352702,-0.006856,-0.004106,0.000119,0.000121,-0.000346,0.000821,0.000000,0.000000,0.000000
5,632381.560296549,-0.006856,-0.004107,0.000123,0.000227,-0.000001,0.000791,0.000000,0.000000,0.000000
6,632381.565240397,-0.006854,-0.004107,0.000127,0.000233,0.000441,0.000470,0.000000,0.000000,0.000000
7,632381.570184245,-0.006853,-0.004105,0.000130,0.000155,0.001034,0.000140,0.000000,0.000000,0.000000
8,632381.575128092,-0.006853,-0.004100,0.000130,0.000012,0.001667,-0.000140,0.000000,0.000000,0.000000
9,632381.580071940,-0.006852,-0.004092,0.000130,0.000073,0.002484,-0.000476,0.000000,0.000000,0.000000
10,632381.584985270,-0.006852,-0.004080,0.000127,0.000162,0.003210,-0.000828,0.000000,0.000000,0.000000
11,632381.589929118,-0.006851,-0.004064,0.000123,0.000001,0.003979,-0.001268,0.000000,0.000000,0.000000
12,632381.594872965,-0.006851,-0.004044,0.000117,-0.000079,0.004678,-0.001799,0.000000,0.000000,0.000000
13,632381.599816813,-0.006852,-0.004021,0.000108,-0.000124,0.005315,-0.002264,0.000000,0.000000,0.000000
14,632381.604791178,-0.006852,-0.003994,0.000097,-0.000281,0.006014,-0.002744,0.000000,0.000000,0.000000
15,632381.609704508,-0.006854,-0.003965,0.000083,-0.000589,0.006665,-0.003102,0.000000,0.000000,0.000000
16,632381.614617838,-0.006857,-0.003932,0.000068,-0.000813,0.007262,-0.003493,0.000000,0.000000,0.000000
17,632381.619561686,-0.006861,-0.003896,0.000051,-0.000933,0.007438,-0.003852,0.000000,0.000000,0.000000
18,632381.624505534,-0.006865,-0.003859,0.000032,-0.001066,0.007335,-0.004149,0.000000,0.000000,0.000000
19,632381.629449381,-0.006871,-0.003823,0.000011,-0.001159,0.007317,-0.004502,0.000000,0.000000,0.000000
20,632381.634362711,-0.006876,-0.003787,-0.000011,-0.001251,0.007166,-0.004834,0.000000,0.000000,0.000000
21,632381.639306559,-0.006882,-0.003752,-0.000035,-0.001461,0.007017,-0.004992,0.000000,0.000000,0.000000
22,632381.644250407,-0.006890,-0.003717,-0.000059,-0.001560,0.006889,-0.005045,0.000000,0.000000,0.000000
23,632381.649194254,-0.006897,-0.003683,-0.000084,-0.001727,0.006619,-0.004989,0.000000,0.000000,0.000000
24,632381.654138102,-0.006906,-0.003650,-0.000109,-0.001937,0.006384,-0.005030,0.000000,0.000000,0.000000
25,632381.659051432,-0.006915,-0.003619,-0.000134,-0.002101,0.006018,-0.004877,0.000000,0.000000,0.000000
26,632381.663995280,-0.006926,-0.003589,-0.000158,-0.002401,0.005512,-0.004634,0.000000,0.000000,0.000000
27,632381.668939127,-0.006938,-0.003562,-0.000181,-0.002731,0.004915,-0.004145,0.000000,0.000000,0.000000
28,632381.673882975,-0.006951,-0.003538,-0.000201,-0.003215,0.004124,-0.003474,0.000000,0.000000,0.000000
29,632381.678826823,-0.006967,-0.003517,-0.000218,-0.003755,0.003443,-0.002966,0.000000,0.000000,0.000000
