,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.006856,-0.004101,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.006856,-0.004101,0.000111,-0.000125,-0.000187,0.000255,-0.000005,0.000011,-0.000002
2,632381.545495524,-0.006857,-0.004102,0.000112,-0.000145,-0.000272,0.000646,-0.000010,0.000022,-0.000004
3,632381.550439372,-0.006858,-0.004103,0.000115,-0.000106,-0.000391,0.000793,-0.000015,0.000033,-0.000006
4,632381.555352702,-0.006859,-0.004105,0.000119,-0.000013,-0.000366,0.000821,-0.000020,0.000044,-0.000008
5,632381.560296549,-0.006859,-0.004106,0.000123,0.000211,-0.000084,0.000791,-0.000025,0.000055,-0.000010
6,632381.565240397,-0.006858,-0.004107,0.000127,0.000378,0.000326,0.000470,-0.000030,0.000067,-0.000012
7,632381.570184245,-0.006856,-0.004106,0.000130,0.000521,0.000907,0.000141,-0.000035,0.000078,-0.000014
8,632381.575128092,-0.006853,-0.004102,0.000130,0.000619,0.001549,-0.000139,-0.000040,0.000089,-0.000016
9,632381.580071940,-0.006848,-0.004095,0.000130,0.000973,0.002288,-0.000475,-0.000045,0.000100,-0.000018
10,632381.584985270,-0.006842,-0.004085,0.000127,0.001320,0.002932,-0.000826,-0.000050,0.000111,-0.000020
11,632381.589929118,-0.006832,-0.004072,0.000123,0.001450,0.003706,-0.001266,-0.000055,0.000122,-0.000022
12,632381.594872965,-0.006822,-0.004055,0.000117,0.001631,0.004388,-0.001797,-0.000060,0.000133,-0.000024
13,632381.599816813,-0.006810,-0.004035,0.000108,0.001821,0.004998,-0.002262,-0.000065,0.000144,-0.000026
14,632381.604791178,-0.006797,-0.004012,0.000097,0.001929,0.005705,-0.002741,-0.000070,0.000155,-0.000028
15,632381.609704508,-0.006783,-0.003986,0.000083,0.001879,0.006426,-0.003099,-0.000075,0.000166,-0.000030
16,632381.614617838,-0.006768,-0.003957,0.000068,0.001889,0.007063,-0.003489,-0.000080,0.000177,-0.000032
17,632381.619561686,-0.006752,-0.003924,0.000050,0.001840,0.007271,-0.003848,-0.000085,0.000189,-0.000034
18,632381.624505534,-0.006737,-0.003891,0.000031,0.001679,0.007225,-0.004144,-0.000090,0.000200,-0.000036
19,632381.629449381,-0.006722,-0.003857,0.000010,0.001585,0.007243,-0.004497,-0.000095,0.000211,-0.000038
20,632381.634362711,-0.006708,-0.003824,-0.000012,0.001443,0.007136,-0.004828,-0.000100,0.000222,-0.000040
21,632381.639306559,-0.006695,-0.003790,-0.000036,0.001193,0.007075,-0.004985,-0.000105,0.000233,-0.000042
22,632381.644250407,-0.006683,-0.003757,-0.000061,0.001054,0.006993,-0.005038,-0.000110,0.000244,-0.000044
23,632381.649194254,-0.006671,-0.003724,-0.000086,0.000799,0.006803,-0.004981,-0.000115,0.000255,-0.000046
24,632381.654138102,-0.006661,-0.003692,-0.000110,0.000516,0.006662,-0.005021,-0.000120,0.000266,-0.000048
25,632381.659051432,-0.006653,-0.003660,-0.000135,0.000230,0.006383,-0.004867,-0.000125,0.000277,-0.000050
26,632381.663995280,-0.006646,-0.003630,-0.000160,-0.000235,0.006021,-0.004623,-0.000130,0.000288,-0.000051
27,632381.668939127,-0.006642,-0.003600,-0.000183,-0.000760,0.005587,-0.004133,-0.000135,0.000299,-0.000053
28,632381.673882975,-0.006641,-0.003573,-0.000203,-0.001501,0.005028,-0.003462,-0.000139,0.000311,-0.000055
29,632381.678826823,-0.006643,-0.003547,-0.000220,-0.002253,0.004592,-0.002953,-0.000144,0.000322,-0.000057
30,632381.683740153,-0.006650,-0.003523,-0.000235,-0.003045,0.004322,-0.002477,-0.000149,0.000333,-0.000059
31,632381.688684000,-0.006661,-0.003499,-0.000247,-0.003850,0.003853,-0.002015,-0.000154,0.000344,-0.000061
32,632381.693658366,-0.006677,-0.003477,-0.000258,-0.004747,0.003516,-0.001447,-0.000159,0.000355,-0.000063
33,632381.698571696,-0.006697,-0.003456,-0.000265,-0.005605,0.003415,-0.000946,-0.000164,0.000366,-0.000065
34,632381.703515543,-0.006721,-0.003434,-0.000270,-0.006543,0.003394,-0.000408,-0.000169,0.000377,-0.000067
35,632381.708459391,-0.006750,-0.003412,-0.000272,-0.007383,0.003368,0.000091,-0.000174,0.000388,-0.000069
