,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.006856,-0.004101,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.006856,-0.004101,0.000000,-0.000125,-0.000187,0.000255,0.000000,0.000000,0.000000
2,632381.545495524,-0.006857,-0.004102,0.000000,-0.000144,-0.000272,0.000646,0.000000,0.000000,0.000000
3,632381.550439372,-0.006857,-0.004103,0.000000,-0.000106,-0.000391,0.000793,0.000000,0.000000,0.000000
4,632381.555352702,-0.006858,-0.004105,0.000000,-0.000013,-0.000366,0.000821,0.000000,0.000000,0.000000
5,632381.560296549,-0.006858,-0.004107,0.000000,0.000211,-0.000084,0.000791,0.000000,0.000000,0.000000
6,632381.565240397,-0.006857,-0.004107,0.000000,0.000378,0.000325,0.000470,0.000000,0.000000,0.000000
7,632381.570184245,-0.006855,-0.004106,0.000000,0.000522,0.000907,0.000140,0.000000,0.000000,0.000000
8,632381.575128092,-0.006852,-0.004101,0.000000,0.000619,0.001548,-0.000140,0.000000,0.000000,0.000000
9,632381.580071940,-0.006849,-0.004094,0.000000,0.000974,0.002286,-0.000476,0.000000,0.000000,0.000000
10,632381.584985270,-0.006845,-0.004082,0.000000,0.001321,0.002930,-0.000828,0.000000,0.000000,0.000000
11,632381.589929118,-0.006838,-0.004068,0.000000,0.001452,0.003704,-0.001268,0.000000,0.000000,0.000000
12,632381.594872965,-0.006831,-0.004050,0.000000,0.001633,0.004385,-0.001799,0.000000,0.000000,0.000000
13,632381.599816813,-0.006823,-0.004028,0.000000,0.001823,0.004994,-0.002264,0.000000,0.000000,0.000000
14,632381.604791178,-0.006814,-0.004003,0.000000,0.001932,0.005702,-0.002744,0.000000,0.000000,0.000000
15,632381.609704508,-0.006804,-0.003975,0.000000,0.001882,0.006421,-0.003102,0.000000,0.000000,0.000000
16,632381.614617838,-0.006795,-0.003944,0.000000,0.001892,0.007058,-0.003493,0.000000,0.000000,0.000000
17,632381.619561686,-0.006786,-0.003909,0.000000,0.001844,0.007265,-0.003852,0.000000,0.000000,0.000000
18,632381.624505534,-0.006777,-0.003873,0.000000,0.001683,0.007219,-0.004149,0.000000,0.000000,0.000000
19,632381.629449381,-0.006768,-0.003837,0.000000,0.001590,0.007236,-0.004502,0.000000,0.000000,0.000000
20,632381.634362711,-0.006760,-0.003802,0.000000,0.001449,0.007129,-0.004834,0.000000,0.000000,0.000000
21,632381.639306559,-0.006753,-0.003766,0.000000,0.001199,0.007067,-0.004992,0.000000,0.000000,0.000000
22,632381.644250407,-0.006747,-0.003731,0.000000,0.001061,0.006983,-0.005045,0.000000,0.000000,0.000000
23,632381.649194254,-0.006742,-0.003697,0.000000,0.000806,0.006792,-0.004989,0.000000,0.000000,0.000000
24,632381.654138102,-0.006738,-0.003663,0.000000,0.000525,0.006650,-0.005030,0.000000,0.000000,0.000000
25,632381.659051432,-0.006735,-0.003631,0.000000,0.000239,0.006370,-0.004877,0.000000,0.000000,0.000000
26,632381.663995280,-0.006734,-0.003599,0.000000,-0.000225,0.006008,-0.004634,0.000000,0.000000,0.000000
27,632381.668939127,-0.006735,-0.003569,0.000000,-0.000750,0.005572,-0.004145,0.000000,0.000000,0.000000
28,632381.673882975,-0.006739,-0.003542,0.000000,-0.001490,0.005013,-0.003474,0.000000,0.000000,0.000000
29,632381.678826823,-0.006746,-0.003517,0.000000,-0.002241,0.004576,-0.002966,0.000000,0.000000,0.000000
30,632381.683740153,-0.006757,-0.003495,0.000000,-0.003032,0.004304,-0.002491,0.000000,0.000000,0.000000
31,632381.688684000,-0.006772,-0.003473,0.000000,-0.003835,0.003834,-0.002030,0.000000,0.000000,0.000000
32,632381.693658366,-0.006792,-0.003454,0.000000,-0.004732,0.003496,-0.001464,0.000000,0.000000,0.000000
33,632381.698571696,-0.006815,-0.003437,0.000000,-0.005589,0.003393,-0.000963,0.000000,0.000000,0.000000
34,632381.703515543,-0.006842,-0.003420,0.000000,-0.006526,0.003371,-0.000426,0.000000,0.000000,0.000000
35,632381.708459391,-0.006875,-0.003404,0.000000,-0.007364,0.003343,0.000071,0.000000,0.000000,0.000000
36,632381.713403239,-0.006911,-0.003387,0.000000,-0.008114,0.003486,0.000213,0.000000,0.000000,0.000000
37,632381.718347086,-0.006951,-0.003370,0.000000,-0.008919,0.003793,0.000321,0.000000,0.000000,0.000000
38,632381.723260417,-0.006995,-0.003351,0.000000,-0.009677,0.004107,0.000195,0.000000,0.000000,0.000000
39,632381.728234782,-0.007043,-0.003331,0.000000,-0.010501,0.004387,-0.000118,0.000000,0.000000,0.000000
40,632381.733178629,-0.007095,-0.003309,0.000000,-0.011185,0.004898,-0.000236,0.000000,0.000000,0.000000
41,632381.738091959,-0.007150,-0.003285,0.000000,-0.011846,0.005677,-0.000436,0.000000,0.000000,0.000000
42,632381.743035807,-0.007209,-0.003257,0.000000,-0.012494,0.006452,-0.000811,0.000000,0.000000,0.000000
43,632381.747979655,-0.007270,-0.003225,0.000000,-0.013269,0.006971,-0.001144,0.000000,0.000000,0.000000
44,632381.752923502,-0.007336,-0.003191,0.000000,-0.014159,0.007539,-0.001626,0.000000,0.000000,0.000000
45,632381.757867350,-0.007406,-0.003153,0.000000,-0.015013,0.008000,-0.002006,0.000000,0.000000,0.000000
46,632381.762780680,-0.007480,-0.003114,0.000000,-0.015919,0.008627,-0.002391,0.000000,0.000000,0.000000
47,632381.767724528,-0.007558,-0.003071,0.000000,-0.016728,0.009175,-0.002705,0.000000,0.000000,0.000000
48,632381.772668375,-0.007641,-0.003026,0.000000,-0.017508,0.009734,-0.002801,0.000000,0.000000,0.000000
49,632381.777612223,-0.007728,-0.002978,0.000000,-0.018403,0.010248,-0.002661,0.000000,0.000000,0.000000
50,632381.782556071,-0.007819,-0.002927,0.000000,-0.019275,0.010695,-0.002651,0.000000,0.000000,0.000000
51,632381.787469401,-0.007913,-0.002875,0.000000,-0.019955,0.011006,-0.002528,0.000000,0.000000,0.000000
52,632381.792413249,-0.008012,-0.002820,0.000000,-0.020591,0.011228,-0.002387,0.000000,0.000000,0.000000
53,632381.797357096,-0.008114,-0.002765,0.000000,-0.021198,0.011196,-0.002210,0.000000,0.000000,0.000000
54,632381.802300944,-0.008219,-0.002709,0.000000,-0.021494,0.011139,-0.001982,0.000000,0.000000,0.000000
55,632381.807214274,-0.008324,-0.002655,0.000000,-0.021638,0.011047,-0.001849,0.000000,0.000000,0.000000
56,632381.812158122,-0.008431,-0.002600,0.000000,-0.021803,0.010895,-0.001742,0.000000,0.000000,0.000000
57,632381.817071452,-0.008538,-0.002546,0.000000,-0.021795,0.010691,-0.001651,0.000000,0.000000,0.000000
58,632381.822015299,-0.008646,-0.002494,0.000000,-0.021490,0.010422,-0.001620,0.000000,0.000000,0.000000
59,632381.826959147,-0.008752,-0.002442,0.000000,-0.021138,0.010091,-0.001443,0.000000,0.000000,0.000000
60,632381.831902995,-0.008857,-0.002392,0.000000,-0.020717,0.009781,-0.001365,0.000000,0.000000,0.000000
61,632381.836846842,-0.008959,-0.002344,0.000000,-0.020335,0.009418,-0.001221,0.000000,0.000000,0.000000
62,632381.841760172,-0.009059,-0.002298,0.000000,-0.019966,0.009032,-0.001146,0.000000,0.000000,0.000000
63,632381.846704020,-0.009158,-0.002253,0.000000,-0.019580,0.008567,-0.001045,0.000000,0.000000,0.000000
64,632381.851647868,-0.009255,-0.002211,0.000000,-0.019296,0.008169,-0.000943,0.000000,0.000000,0.000000
65,632381.856591715,-0.009350,-0.002170,0.000000,-0.019057,0.007842,-0.000828,0.000000,0.000000,0.000000
66,632381.861535563,-0.009444,-0.002131,0.000000,-0.018799,0.007718,-0.000991,0.000000,0.000000,0.000000
67,632381.866448893,-0.009537,-0.002094,0.000000,-0.018534,0.007750,-0.001103,0.000000,0.000000,0.000000
68,632381.871392741,-0.009628,-0.002055,0.000000,-0.018207,0.007745,-0.001214,0.000000,0.000000,0.000000
69,632381.876336588,-0.009718,-0.002017,0.000000,-0.017871,0.007970,-0.001342,0.000000,0.000000,0.000000
70,632381.881280436,-0.009807,-0.001977,0.000000,-0.017482,0.008363,-0.001308,0.000000,0.000000,0.000000
71,632381.886224284,-0.009893,-0.001936,0.000000,-0.016987,0.008746,-0.001234,0.000000,0.000000,0.000000
72,632381.891168131,-0.009977,-0.001893,0.000000,-0.016413,0.009300,-0.001036,0.000000,0.000000,0.000000
73,632381.896081461,-0.010058,-0.001847,0.000000,-0.015897,0.009969,-0.000870,0.000000,0.000000,0.000000
74,632381.901025309,-0.010136,-0.001798,0.000000,-0.015289,0.010674,-0.000749,0.000000,0.000000,0.000000
75,632381.905938639,-0.010211,-0.001745,0.000000,-0.014693,0.011200,-0.000668,0.000000,0.000000,0.000000
76,632381.910913004,-0.010285,-0.001690,0.000000,-0.014061,0.011682,-0.000606,0.000000,0.000000,0.000000
77,632381.915856852,-0.010354,-0.001632,0.000000,-0.013464,0.012066,-0.000533,0.000000,0.000000,0.000000
78,632381.920800700,-0.010421,-0.001572,0.000000,-0.012829,0.012512,-0.000214,0.000000,0.000000,0.000000
79,632381.925775065,-0.010484,-0.001510,0.000000,-0.012243,0.012854,0.000212,0.000000,0.000000,0.000000
