,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,0.020994,0.019142,0.110252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,0.020994,0.019142,0.110252,-0.000125,-0.000187,0.000255,-0.000015,0.000005,0.000005
2,632381.545495524,0.020993,0.019141,0.110254,-0.000145,-0.000272,0.000646,-0.000029,0.000009,0.000010
3,632381.550439372,0.020992,0.019140,0.110257,-0.000106,-0.000391,0.000793,-0.000044,0.000014,0.000015
4,632381.555352702,0.020992,0.019138,0.110261,-0.000014,-0.000366,0.000821,-0.000058,0.000019,0.000020
5,632381.560296549,0.020991,0.019136,0.110265,0.000210,-0.000084,0.000791,-0.000073,0.000023,0.000025
6,632381.565240397,0.020992,0.019136,0.110269,0.000377,0.000325,0.000470,-0.000087,0.000028,0.000030
7,632381.570184245,0.020994,0.019137,0.110271,0.000520,0.000906,0.000141,-0.000102,0.000033,0.000035
8,632381.575128092,0.020997,0.019141,0.110272,0.000617,0.001547,-0.000139,-0.000116,0.000037,0.000040
9,632381.580071940,0.021001,0.019149,0.110271,0.000971,0.002286,-0.000475,-0.000131,0.000042,0.000045
10,632381.584985270,0.021007,0.019159,0.110269,0.001318,0.002930,-0.000826,-0.000145,0.000047,0.000050
11,632381.589929118,0.021015,0.019173,0.110265,0.001448,0.003704,-0.001266,-0.000160,0.000051,0.000055
12,632381.594872965,0.021024,0.019191,0.110258,0.001628,0.004384,-0.001797,-0.000175,0.000056,0.000061
13,632381.599816813,0.021034,0.019211,0.110249,0.001817,0.004994,-0.002262,-0.000189,0.000061,0.000066
14,632381.604791178,0.021045,0.019235,0.110238,0.001926,0.005701,-0.002741,-0.000204,0.000065,0.000071
15,632381.609704508,0.021057,0.019262,0.110224,0.001875,0.006420,-0.003099,-0.000218,0.000070,0.000076
16,632381.614617838,0.021069,0.019293,0.110209,0.001884,0.007057,-0.003489,-0.000233,0.000075,0.000081
17,632381.619561686,0.021082,0.019326,0.110192,0.001835,0.007264,-0.003848,-0.000247,0.000079,0.000086
18,632381.624505534,0.021094,0.019361,0.110172,0.001672,0.007217,-0.004144,-0.000262,0.000084,0.000091
19,632381.629449381,0.021106,0.019396,0.110152,0.001577,0.007234,-0.004497,-0.000276,0.000089,0.000096
20,632381.634362711,0.021117,0.019430,0.110129,0.001435,0.007127,-0.004828,-0.000291,0.000093,0.000101
21,632381.639306559,0.021128,0.019465,0.110105,0.001184,0.007065,-0.004985,-0.000305,0.000098,0.000106
22,632381.644250407,0.021137,0.019499,0.110081,0.001044,0.006981,-0.005038,-0.000320,0.000103,0.000111
23,632381.649194254,0.021145,0.019532,0.110056,0.000788,0.006790,-0.004981,-0.000335,0.000108,0.000116
24,632381.654138102,0.021153,0.019565,0.110031,0.000505,0.006648,-0.005022,-0.000349,0.000112,0.000121
25,632381.659051432,0.021158,0.019597,0.110006,0.000217,0.006367,-0.004867,-0.000364,0.000117,0.000126
26,632381.663995280,0.021162,0.019629,0.109982,-0.000248,0.006004,-0.004624,-0.000378,0.000122,0.000131
27,632381.668939127,0.021164,0.019658,0.109959,-0.000775,0.005569,-0.004133,-0.000393,0.000126,0.000136
28,632381.673882975,0.021163,0.019686,0.109938,-0.001517,0.005009,-0.003463,-0.000407,0.000131,0.000141
29,632381.678826823,0.021158,0.019711,0.109921,-0.002270,0.004571,-0.002953,-0.000422,0.000136,0.000146
30,632381.683740153,0.021149,0.019734,0.109906,-0.003063,0.004300,-0.002477,-0.000436,0.000140,0.000151
31,632381.688684000,0.021136,0.019757,0.109894,-0.003869,0.003829,-0.002016,-0.000451,0.000145,0.000156
32,632381.693658366,0.021118,0.019778,0.109884,-0.004768,0.003491,-0.001448,-0.000466,0.000150,0.000161
33,632381.698571696,0.021097,0.019797,0.109876,-0.005627,0.003388,-0.000946,-0.000480,0.000154,0.000166
34,632381.703515543,0.021071,0.019816,0.109871,-0.006567,0.003365,-0.000408,-0.000495,0.000159,0.000172
35,632381.708459391,0.021040,0.019836,0.109869,-0.007407,0.003337,0.000090,-0.000509,0.000164,0.000177
