,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,0.045973,0.473539,-19.435606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,0.045973,0.473539,-19.435606,-0.000125,-0.000187,0.000255,-0.000010,-0.000014,0.000017
2,632381.545495524,0.045972,0.473537,-19.435606,-0.000145,-0.000272,0.000646,-0.000021,-0.000029,0.000033
3,632381.550439372,0.045972,0.473534,-19.435604,-0.000106,-0.000391,0.000793,-0.000031,-0.000043,0.000050
4,632381.555352702,0.045972,0.473530,-19.435601,-0.000013,-0.000367,0.000821,-0.000041,-0.000058,0.000067
5,632381.560296549,0.045973,0.473527,-19.435599,0.000211,-0.000085,0.000791,-0.000052,-0.000072,0.000084
6,632381.565240397,0.045975,0.473524,-19.435596,0.000378,0.000324,0.000470,-0.000062,-0.000086,0.000100
7,632381.570184245,0.045977,0.473525,-19.435594,0.000521,0.000904,0.000140,-0.000073,-0.000101,0.000117
8,632381.575128092,0.045980,0.473528,-19.435592,0.000618,0.001544,-0.000140,-0.000083,-0.000115,0.000134
9,632381.580071940,0.045984,0.473535,-19.435589,0.000973,0.002282,-0.000476,-0.000093,-0.000130,0.000150
10,632381.584985270,0.045989,0.473546,-19.435586,0.001320,0.002925,-0.000828,-0.000104,-0.000144,0.000167
11,632381.589929118,0.045996,0.473561,-19.435583,0.001450,0.003698,-0.001267,-0.000114,-0.000158,0.000184
12,632381.594872965,0.046003,0.473580,-19.435580,0.001630,0.004377,-0.001799,-0.000125,-0.000173,0.000200
13,632381.599816813,0.046011,0.473603,-19.435578,0.001820,0.004986,-0.002264,-0.000135,-0.000187,0.000217
14,632381.604791178,0.046019,0.473630,-19.435576,0.001929,0.005691,-0.002743,-0.000145,-0.000202,0.000234
15,632381.609704508,0.046028,0.473662,-19.435574,0.001878,0.006409,-0.003102,-0.000156,-0.000216,0.000251
16,632381.614617838,0.046036,0.473697,-19.435572,0.001888,0.007045,-0.003493,-0.000166,-0.000230,0.000267
17,632381.619561686,0.046045,0.473736,-19.435570,0.001839,0.007250,-0.003852,-0.000176,-0.000245,0.000284
18,632381.624505534,0.046052,0.473777,-19.435568,0.001677,0.007201,-0.004149,-0.000187,-0.000259,0.000301
19,632381.629449381,0.046059,0.473818,-19.435568,0.001583,0.007216,-0.004502,-0.000197,-0.000274,0.000317
20,632381.634362711,0.046065,0.473860,-19.435568,0.001442,0.007107,-0.004833,-0.000208,-0.000288,0.000334
21,632381.639306559,0.046069,0.473903,-19.435571,0.001191,0.007043,-0.004991,-0.000218,-0.000302,0.000351
22,632381.644250407,0.046072,0.473946,-19.435574,0.001052,0.006957,-0.005045,-0.000228,-0.000317,0.000367
23,632381.649194254,0.046075,0.473988,-19.435577,0.000796,0.006764,-0.004988,-0.000239,-0.000331,0.000384
24,632381.654138102,0.046076,0.474030,-19.435580,0.000514,0.006619,-0.005030,-0.000249,-0.000346,0.000401
25,632381.659051432,0.046076,0.474071,-19.435583,0.000227,0.006336,-0.004876,-0.000259,-0.000360,0.000418
26,632381.663995280,0.046074,0.474110,-19.435586,-0.000238,0.005971,-0.004633,-0.000270,-0.000374,0.000434
27,632381.668939127,0.046071,0.474147,-19.435588,-0.000764,0.005532,-0.004144,-0.000280,-0.000389,0.000451
28,632381.673882975,0.046065,0.474181,-19.435589,-0.001505,0.004969,-0.003474,-0.000291,-0.000403,0.000468
29,632381.678826823,0.046056,0.474211,-19.435588,-0.002257,0.004529,-0.002965,-0.000301,-0.000417,0.000484
30,632381.683740153,0.046044,0.474237,-19.435585,-0.003049,0.004255,-0.002490,-0.000311,-0.000432,0.000501
31,632381.688684000,0.046028,0.474260,-19.435580,-0.003854,0.003781,-0.002029,-0.000322,-0.000446,0.000518
32,632381.693658366,0.046009,0.474281,-19.435574,-0.004751,0.003439,-0.001462,-0.000332,-0.000461,0.000535
33,632381.698571696,0.045986,0.474298,-19.435565,-0.005609,0.003333,-0.000961,-0.000342,-0.000475,0.000551
34,632381.703515543,0.045960,0.474313,-19.435553,-0.006548,0.003307,-0.000425,-0.000353,-0.000489,0.000568
35,632381.708459391,0.045930,0.474326,-19.435538,-0.007388,0.003275,0.000073,-0.000363,-0.000504,0.000585
36,632381.713403239,0.045896,0.474338,-19.435520,-0.008138,0.003414,0.000215,-0.000374,-0.000518,0.000601
37,632381.718347086,0.045859,0.474349,-19.435500,-0.008945,0.003717,0.000323,-0.000384,-0.000533,0.000618
38,632381.723260417,0.045818,0.474362,-19.435479,-0.009704,0.004027,0.000197,-0.000394,-0.000547,0.000635
39,632381.728234782,0.045774,0.474376,-19.435455,-0.010531,0.004303,-0.000116,-0.000405,-0.000562,0.000652
40,632381.733178629,0.045725,0.474391,-19.435432,-0.011216,0.004809,-0.000234,-0.000415,-0.000576,0.000668
41,632381.738091959,0.045674,0.474409,-19.435406,-0.011878,0.005584,-0.000434,-0.000426,-0.000590,0.000685
42,632381.743035807,0.045619,0.474431,-19.435379,-0.012528,0.006354,-0.000809,-0.000436,-0.000605,0.000702
43,632381.747979655,0.045561,0.474456,-19.435350,-0.013304,0.006868,-0.001142,-0.000446,-0.000619,0.000718
44,632381.752923502,0.045499,0.474484,-19.435321,-0.014196,0.007431,-0.001623,-0.000457,-0.000633,0.000735
45,632381.757867350,0.045433,0.474516,-19.435290,-0.015052,0.007888,-0.002003,-0.000467,-0.000648,0.000752
46,632381.762780680,0.045363,0.474551,-19.435259,-0.015960,0.008509,-0.002388,-0.000477,-0.000662,0.000768
47,632381.767724528,0.045287,0.474588,-19.435227,-0.016770,0.009052,-0.002703,-0.000488,-0.000677,0.000785
48,632381.772668375,0.045208,0.474629,-19.435194,-0.017552,0.009605,-0.002798,-0.000498,-0.000691,0.000802
49,632381.777612223,0.045125,0.474672,-19.435158,-0.018449,0.010114,-0.002658,-0.000509,-0.000705,0.000819
50,632381.782556071,0.045039,0.474717,-19.435120,-0.019322,0.010556,-0.002648,-0.000519,-0.000720,0.000835
51,632381.787469401,0.044949,0.474763,-19.435079,-0.020005,0.010860,-0.002525,-0.000529,-0.000734,0.000852
52,632381.792413249,0.044855,0.474810,-19.435036,-0.020643,0.011077,-0.002384,-0.000540,-0.000749,0.000869
53,632381.797357096,0.044759,0.474858,-19.434991,-0.021252,0.011039,-0.002206,-0.000550,-0.000763,0.000885
54,632381.802300944,0.044659,0.474904,-19.434945,-0.021550,0.010976,-0.001979,-0.000560,-0.000777,0.000902
55,632381.807214274,0.044560,0.474950,-19.434898,-0.021696,0.010878,-0.001845,-0.000571,-0.000792,0.000919
56,632381.812158122,0.044459,0.474994,-19.434851,-0.021863,0.010720,-0.001738,-0.000581,-0.000806,0.000935
57,632381.817071452,0.044358,0.475038,-19.434803,-0.021858,0.010509,-0.001647,-0.000592,-0.000820,0.000952
58,632381.822015299,0.044256,0.475081,-19.434755,-0.021555,0.010234,-0.001616,-0.000602,-0.000835,0.000969
59,632381.826959147,0.044156,0.475123,-19.434709,-0.021205,0.009896,-0.001439,-0.000612,-0.000849,0.000986
60,632381.831902995,0.044057,0.475162,-19.434662,-0.020786,0.009580,-0.001361,-0.000623,-0.000864,0.001002
61,632381.836846842,0.043960,0.475201,-19.434617,-0.020406,0.009210,-0.001216,-0.000633,-0.000878,0.001019
62,632381.841760172,0.043866,0.475237,-19.434573,-0.020040,0.008817,-0.001141,-0.000643,-0.000892,0.001036
63,632381.846704020,0.043773,0.475272,-19.434530,-0.019656,0.008345,-0.001040,-0.000654,-0.000907,0.001052
64,632381.851647868,0.043682,0.475305,-19.434489,-0.019374,0.007939,-0.000938,-0.000664,-0.000921,0.001069
65,632381.856591715,0.043591,0.475336,-19.434448,-0.019138,0.007606,-0.000822,-0.000675,-0.000936,0.001086
66,632381.861535563,0.043502,0.475365,-19.434408,-0.018883,0.007474,-0.000986,-0.000685,-0.000950,0.001102
67,632381.866448893,0.043415,0.475394,-19.434369,-0.018620,0.007498,-0.001097,-0.000695,-0.000964,0.001119
68,632381.871392741,0.043328,0.475423,-19.434331,-0.018296,0.007486,-0.001208,-0.000706,-0.000979,0.001136
69,632381.876336588,0.043242,0.475453,-19.434294,-0.017962,0.007703,-0.001336,-0.000716,-0.000993,0.001153
70,632381.881280436,0.043158,0.475485,-19.434257,-0.017576,0.008088,-0.001302,-0.000726,-0.001008,0.001169
71,632381.886224284,0.043077,0.475517,-19.434220,-0.017084,0.008463,-0.001227,-0.000737,-0.001022,0.001186
72,632381.891168131,0.042997,0.475552,-19.434182,-0.016512,0.009009,-0.001030,-0.000747,-0.001036,0.001203
73,632381.896081461,0.042922,0.475588,-19.434142,-0.015999,0.009670,-0.000864,-0.000758,-0.001051,0.001219
74,632381.901025309,0.042849,0.475626,-19.434101,-0.015393,0.010367,-0.000742,-0.000768,-0.001065,0.001236
75,632381.905938639,0.042779,0.475667,-19.434058,-0.014800,0.010884,-0.000661,-0.000778,-0.001080,0.001253
76,632381.910913004,0.042712,0.475711,-19.434014,-0.014171,0.011357,-0.000599,-0.000789,-0.001094,0.001269
77,632381.915856852,0.042649,0.475757,-19.433969,-0.013577,0.011733,-0.000525,-0.000799,-0.001108,0.001286
78,632381.920800700,0.042589,0.475803,-19.433923,-0.012945,0.012169,-0.000206,-0.000810,-0.001123,0.001303
79,632381.925775065,0.042532,0.475852,-19.433876,-0.012362,0.012503,0.000220,-0.000820,-0.001137,0.001320
80,632381.930688395,0.042479,0.475900,-19.433828,-0.011738,0.012652,0.000616,-0.000830,-0.001152,0.001336
81,632381.935601725,0.042430,0.475948,-19.433778,-0.011026,0.012644,0.000983,-0.000841,-0.001166,0.001353
