,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,1.638711,1.173441,0.044898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,1.638711,1.173441,0.044898,-0.000125,-0.000187,0.000255,-0.000221,-0.000357,0.000426
2,632381.545495524,1.638710,1.173441,0.044899,-0.000145,-0.000275,0.000646,-0.000442,-0.000714,0.000852
3,632381.550439372,1.638709,1.173440,0.044903,-0.000108,-0.000399,0.000793,-0.000663,-0.001072,0.001279
4,632381.555352702,1.638708,1.173439,0.044906,-0.000018,-0.000383,0.000822,-0.000883,-0.001427,0.001702
5,632381.560296549,1.638707,1.173437,0.044910,0.000203,-0.000113,0.000792,-0.001104,-0.001784,0.002129
6,632381.565240397,1.638707,1.173436,0.044914,0.000366,0.000283,0.000472,-0.001325,-0.002141,0.002555
7,632381.570184245,1.638710,1.173436,0.044917,0.000505,0.000847,0.000142,-0.001546,-0.002498,0.002981
8,632381.575128092,1.638714,1.173439,0.044917,0.000597,0.001468,-0.000137,-0.001767,-0.002855,0.003407
9,632381.580071940,1.638719,1.173444,0.044917,0.000946,0.002184,-0.000472,-0.001988,-0.003213,0.003833
10,632381.584985270,1.638728,1.173452,0.044914,0.001286,0.002802,-0.000823,-0.002207,-0.003568,0.004257
11,632381.589929118,1.638740,1.173461,0.044910,0.001409,0.003548,-0.001262,-0.002428,-0.003925,0.004683
12,632381.594872965,1.638754,1.173474,0.044904,0.001580,0.004197,-0.001792,-0.002649,-0.004282,0.005110
13,632381.599816813,1.638771,1.173489,0.044895,0.001762,0.004773,-0.002256,-0.002870,-0.004639,0.005536
14,632381.604791178,1.638789,1.173506,0.044884,0.001860,0.005443,-0.002734,-0.003093,-0.004999,0.005965
15,632381.609704508,1.638809,1.173526,0.044871,0.001800,0.006123,-0.003091,-0.003312,-0.005354,0.006388
16,632381.614617838,1.638830,1.173549,0.044855,0.001798,0.006717,-0.003480,-0.003532,-0.005709,0.006812
17,632381.619561686,1.638853,1.173575,0.044838,0.001737,0.006879,-0.003838,-0.003753,-0.006066,0.007238
18,632381.624505534,1.638876,1.173601,0.044819,0.001563,0.006784,-0.004133,-0.003974,-0.006423,0.007664
19,632381.629449381,1.638898,1.173628,0.044798,0.001455,0.006749,-0.004484,-0.004195,-0.006780,0.008091
20,632381.634362711,1.638919,1.173654,0.044776,0.001299,0.006589,-0.004814,-0.004415,-0.007135,0.008514
21,632381.639306559,1.638939,1.173681,0.044753,0.001034,0.006470,-0.004969,-0.004636,-0.007493,0.008940
22,632381.644250407,1.638958,1.173707,0.044728,0.000879,0.006327,-0.005020,-0.004857,-0.007850,0.009367
