,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,341888.025023211,-0.019385,-0.029072,0.089113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,341888.029967059,-0.019385,-0.029072,0.089113,0.000026,0.000507,-0.000241,-0.000032,0.000002,-0.000047
2,341888.034880389,-0.019385,-0.029070,0.089112,-0.000071,0.000956,-0.000451,-0.000064,0.000004,-0.000093
3,341888.039824236,-0.019385,-0.029065,0.089110,-0.000139,0.001432,-0.000690,-0.000096,0.000007,-0.000139
4,341888.044737566,-0.019386,-0.029058,0.089106,-0.000359,0.001999,-0.000959,-0.000128,0.000009,-0.000186
5,341888.049711932,-0.019388,-0.029048,0.089101,-0.000541,0.002716,-0.001230,-0.000161,0.000011,-0.000233
6,341888.054625262,-0.019390,-0.029034,0.089095,-0.000685,0.003297,-0.001454,-0.000193,0.000013,-0.000279
7,341888.059569109,-0.019394,-0.029018,0.089088,-0.000896,0.003922,-0.001654,-0.000225,0.000015,-0.000326
8,341888.064512957,-0.019398,-0.028999,0.089080,-0.001084,0.004520,-0.001706,-0.000257,0.000018,-0.000372
9,341888.069456805,-0.019404,-0.028976,0.089072,-0.001204,0.005304,-0.001708,-0.000289,0.000020,-0.000419
10,341888.074400652,-0.019409,-0.028950,0.089063,-0.001357,0.005917,-0.001698,-0.000321,0.000022,-0.000465
11,341888.079344500,-0.019416,-0.028921,0.089055,-0.001311,0.006367,-0.001868,-0.000354,0.000024,-0.000512
12,341888.084257830,-0.019423,-0.028890,0.089046,-0.001460,0.006919,-0.002186,-0.000386,0.000026,-0.000558
13,341888.089201678,-0.019430,-0.028855,0.089035,-0.001602,0.007277,-0.002456,-0.000418,0.000029,-0.000605
14,341888.094145525,-0.019438,-0.028819,0.089023,-0.001781,0.007671,-0.002671,-0.000450,0.000031,-0.000651
15,341888.099089373,-0.019447,-0.028782,0.089009,-0.001844,0.008030,-0.002697,-0.000482,0.000033,-0.000698
16,341888.104033221,-0.019456,-0.028742,0.088996,-0.001917,0.008098,-0.002605,-0.000514,0.000035,-0.000745
17,341888.108946551,-0.019465,-0.028702,0.088983,-0.002059,0.008207,-0.002581,-0.000546,0.000037,-0.000791
18,341888.113890398,-0.019475,-0.028662,0.088971,-0.002172,0.008290,-0.002568,-0.000578,0.000040,-0.000838
